name,category,street,contact,state,township
AVSS [Australian Visa & Student Services],Overseas Employment Agencies,"127/A, 1st Flr, Shwe Gon Daing Rd., Infront Of Yuzana Hotel, Shwe Gon Daing (West) Ward,","tel: 09-5147227,tel: 09-450006944,tel: 09-73035503,tel: 09-450006955",Yangon Region,Bahan(Bahan)
Ah Lin Tan,Vinyl Printing,"307/A, Sein Pan Myaing St., Ward (7),","tel: 09-421029791,tel: 09-795210280",Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
Ellipia,LED Display Sales & Services,"Bldg F, Rm 001, G Flr, Thu Mingalar Rd., Thazin Min Yeik Thar,","tel: 09-261598004,tel: 09-8760377,tel: 09-261645173",Yangon Region,Thingangyun(Thingangyun)
Amazing K,Press & Printers [Offset],"140, U Chit Maung Rd., Saya San (North-East) Ward,","tel: 09-421076571,tel: 09-791443724,tel: 09-451357788,tel: 09-73228895",Yangon Region,Bahan(Bahan)
"Crescent Moon Travels & Tours Co.,Ltd.",Tourism Services,"100, 38th St., Lower Middle Block,","tel: 01-252720,tel: 09-421124781,tel: 09-421124782",Yangon Region,Kyauktada(Kyauktada)
AKA,Bags [School Bags],"512/A, Than Din Su St., Pauk Taw Ward,","tel: 09-5032424,tel: 09-73021289",Yangon Region,Insein(Insein)
"Columbus Travels & Tours Co.,Ltd.",Tourism Services,"253,Bo Aung Kyaw St.,Lower Middle Block","tel: 09-73032795,tel: 01-378535,tel: 01-378549,tel: 01-250125",Yangon Region,Kyauktada(Kyauktada)
"City Holiday Travels & Tours Co.,Ltd.",Tourism Services,"222/A, 35th St., Upper Block,","tel: 09-73040946,tel: 09-780556643,tel: 09-425303928",Yangon Region,Kyauktada(Kyauktada)
"City Vista Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"79/B, 1st Flr, Yangon-Insein Rd., Near Thukha Bus Stop, Ward (9),","tel: 01-525601,tel: 09-31949623",Yangon Region,Hlaing(Hlaing)
9 Colours,Vinyl Printing,"172/A, 34th St., Upper Block,","tel: 01-385398,tel: 09-261336361",Yangon Region,Kyauktada(Kyauktada)
TIME,,"182/202, 34th St.,  Upper Block,","tel: 01-376985,tel: 09-254839590",Kyauktada,
"Center of Universe Travels & Tours Co.,Ltd.",Tourism Services,"179/B, 1st Flr, 40th St., Upper Middle Block,","tel: 01-240645,tel: 09-5053918,tel: 09-5060288,tel: 09-73033454",Yangon Region,Kyauktada(Kyauktada)
Aye Aye Yi [Daw],Bags [School Bags],"501,Than Din Su St.,Pauk Taw Ward",tel: 09-421091131,Yangon Region,Insein(Insein)
"Cherry Chapter Travels & Tours Co.,Ltd.",Tourism Services,"135, Than Lwin Rd., Corner of Dhama Zedi Rd.,Shwe Taung Gyar Ward (2),","tel: 09-775077500,tel: 09-775007750,tel: 09-788800800,tel: 01-511141",Yangon Region,Bahan(Bahan)
"Chase Travels & Tours Co.,Ltd.",Tourism Services,"191, Anawrahta Rd.,","tel: 01-240893,tel: 01-245337,tel: 09-450032465",Yangon Region,Kyauktada(Kyauktada)
7 Stars,Vinyl Printing,"180, 37th St., Upper Middle Block,","tel: 01-386067,tel: 09-5029357,tel: 09-250641141",Yangon Region,Kyauktada(Kyauktada)
Aung La Pyae,Weaving Industries,"494/495, Set Hmu St., Ward (9),",tel: 09-776218859,Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
"VSK Int'l Co.,Ltd.",Electronic & Electrical Home Appliance,"47/49, Phone Gyee St., Middle Block,","tel: 01-2303013,tel: 01-2303014,tel: 01-224752,tel: 01-225648,tel: 01-215136,tel: 01-214085,tel: 01-216758,tel: 01-214009",Yangon Region,Lanmadaw(Lanmadaw)
"Super Shine Trading Co.,Ltd.",Electronic & Electrical Home Appliance,"171,Bo Aung Kyaw St.,Lower Middle Block","tel: 01-398495,tel: 01-398496~7",Yangon Region,Kyauktada(Kyauktada)
KZ,,"145/150, G Flr, 48th St.,","tel: 09-450062327,tel: 09-450975160,tel: 09-5146060",Botahtaung,
"United Electrical & Electronics Co.,Ltd.",Electronic & Electrical Home Appliance,"408/410, 1st Flr, Maha Bandoola Rd.,","tel: 01-249585,tel: 01-249587,tel: 01-384153",Yangon Region,Kyauktada(Kyauktada)
"Pyae Sone Win Naing Co.,Ltd.",Electronic & Electrical Home Appliance,"Bldg D/E, Rm 1/2, Myanma Gone Yee St., Shwe Mya Yar Housing,","tel: 01-205031~2,tel: 01-292565,tel: 01-296787,tel: 01-292661,tel: 01-203485,tel: 01-203484",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
Xenon,,"60/62, 45th St.,  Lower Block,  Beside of YMCA,","tel: 01-297606,tel: 01-297045",Botahtaung,
"BKK Future Dream Co.,Ltd.",Tourism Services,"6,1st Flr,West Ar Zar Ni St.,Saya San (North-West) Ward",,Yangon,Bahan(Bahan)
"Ayeyarwaddy Legend Travels & Tours Co.,Ltd.",Tourism Services,"104,37th St.,Lower Block","tel: 01-252007,tel: 01-252008,tel: 01-250909,tel: 01-398303,tel: 01-377697",Yangon Region,Kyauktada(Kyauktada)
Multi World,Television Sales & Services,"141/145, Bo Aung Kyaw St., United Condo, Lower Middle Block,","tel: 01-374188,tel: 01-242054,tel: 01-389688",Yangon Region,Kyauktada(Kyauktada)
"Elijah & Elisha Travels & Tours Co.,Ltd.",Tourism Services,"185,2nd Flr,36th St.,Middle Block","tel: 09-2054366,tel: 09-421177027",Yangon Region,Kyauktada(Kyauktada)
"Easy [Myanmar] Travels & Tours Co.,Ltd.",Tourism Services,"174/176, 1st Flr, Sule Pagoda Rd., Upper Block, Ward (1),","tel: 01-245676,tel: 09-73072222,tel: 09-265005551~2",Yangon Region,Kyauktada(Kyauktada)
"Bagan Princess Int'l Tourism Co.,Ltd.",Tourism Services,"131, 40th St., Lower Middle Block,","tel: 01-243245,tel: 01-372906,tel: 01-381089,tel: 01-391612,tel: 01-398511",Yangon Region,Kyauktada(Kyauktada)
"Exotic Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"225/227, Rm 1504, 15th Flr, Bo Aung Kyaw St., Olympic Tower,","tel: 01-392778~9,tel: 01-392482,tel: 01-386539,tel: 01-378720,tel: 09-5019851,tel: 09-5036476,tel: 09-5141241,tel: 01-378721",Yangon Region,Kyauktada(Kyauktada)
City Light,Vinyl Printing,"Thu Dhamar Rd.,Mee Yahtar Shop Room,Kyauk Yae Dwin Ward","tel: 09-256206977,tel: 09-799201300",Yangon Region,North Okkalapa (North Okkalapa )
"Kangaroo Myanmar Co.,Ltd.",Electronic & Electrical Home Appliance,"81/1, New University Avenue Rd., Saya San Ward,","tel: 01-8604619,tel: 01-8604620,tel: 09-402666999",Yangon Region,Bahan(Bahan)
"Channel Co.,Ltd.",Vinyl Printing,"86, Padamyar 2nd St., Ward (10),","tel: 01-8010620,tel: 09-420104080,tel: 09-73234503,tel: 09-73902722",Yangon Region,East Dagon(East Dagon)
Blue Pixel,Vinyl Printing,"14, Thamain Bayan Rd., Ma Hlwa Gone Htay Kywe Ward,","tel: 01-557545,tel: 09-36807837,tel: 09-963357458,tel: 09-422206106",Yangon Region,Tarmwe(Tarmwe)
"Aung Say Paing Co.,Ltd.",Vinyl Printing,"31,63rd St.",,Yangon,Botahtaung(Botahtaung)
Color Plus,Vinyl Printing,"306,Zabu Thiri St.,Between Zabu Thiri 8th St. and Zabu Thiri 9th St.,Ward (6-West)","tel: 01-450004,tel: 09-49258640",Yangon Region,Thaketa(Thaketa)
"Anormar Thukhuma Entertainment Media Co.,Ltd.",Vinyl Printing,"1065, Thu Mingalar Rd., Ward (6),","tel: 09-5150506,tel: 09-450281307",Yangon Region,South Okkalapa (South Okkalapa )
"ATL Export & Import Co.,Ltd.",Export & Import Companies,"200/206, Set Yon Rd. (Mill Rd.), Ma U Gone Ward,","tel: 01-200624,tel: 01-200841,tel: 01-200860,tel: 01-294841,tel: 01-8619280,tel: 01-9000828",Yangon Region,Tarmwe(Tarmwe)
"Dynamic Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"516, Ou Yin St., Saya San Ward,","tel: 09-5121046,tel: 09-73080104,tel: 01-554982,tel: 09-43095099,tel: 09-420042404",Yangon Region,Bahan(Bahan)
"Sharp [Showroom] [SDM Co.,Ltd.]",Electrical Goods Sales,"173/175, Pansoedan St., Middle Block,","tel: 01-249591,tel: 01-253425,tel: 09-5011179",Yangon Region,Kyauktada(Kyauktada)
Color Zone,Vinyl Printing,"75, G Flr, Kun Ywe Dan St., Zay Gyi (East) Ward,","tel: 09-975975570,tel: 09-788788369",Yangon Region,Kyeemyin Daing(Kyeemyin Daing)
Grand Electronics,Television Sales & Services,"207/209, Bo Soon Pat St., Upper Middle Block,","tel: 01-377533,tel: 01-240842",Yangon Region,Pabedan(Pabedan)
"Dream Paradise Travels & Tours Co.,Ltd.",Tourism Services,"Bldg 1, Rm 103, 1st Flr, Bayint Naung Rd., Zeyar Mon Housing,","tel: 01-9688778,tel: 09-420002089,tel: 09-420002090",Yangon Region,Mayangone(Mayangone)
"Dandelion Travels & Tours Co.,Ltd.",Tourism Services,"54, Ahlone Rd., Corner of Baho Rd.,Pyay (West) Ward,","tel: 01-2302011,tel: 09-5172589",Yangon Region,Dagon(Dagon)
"Dream Land Travels & Tours Co.,Ltd.",Tourism Services,"206, G Flr, 39th St., Upper Middle Block,","tel: 01-385232,tel: 01-377080,tel: 09-73113244,tel: 09-5661603,tel: 09-5101120",Yangon Region,Kyauktada(Kyauktada)
"Crystal World Travels & Tours Co.,Ltd.",Tourism Services,"171/A, 1st Flr, 38th St., Upper Middle Block,","tel: 01-383368,tel: 09-5181937",Yangon Region,Kyauktada(Kyauktada)
Aung Brother,Vinyl Printing,"315, Thu Mingalar Rd., Ward (4),",tel: 09-780004934,Yangon Region,South Okkalapa (South Okkalapa )
Diamond Thayet Travels & Tours,Tourism Services,"41, Thiri Mingalar Lane, Ward (8),","tel: 01-527341,tel: 09-253510774,tel: 09-961963119,tel: 09-786749181",Yangon Region,Hlaing(Hlaing)
Aung,Vinyl Printing,"1042/B, Sat San Htun St., Ward (1),","tel: 09-421057552,tel: 09-795656645",Yangon Region,East Dagon(East Dagon)
Kaung Set,Yogurt,"21,U Phee St.,Sanchaung (South) Ward",,Yangon,Sanchaung(Sanchaung)
