contact,name,category,township,street,state
"tel: 09-5008490,tel: 01-8550401",Aung Chan Thar,Timber Merchants,South Okkalapa (South Okkalapa ),"72/B, Set Hmu 1st St., Industrial Zone,",Yangon Region
"tel: 01-642043,tel: 09-785039886,tel: 09-965039886,tel: 09-5039886",Golden Light Family,Tiles [Wall/Floor],Insein(Insein),"33 Shed, Rm 5, Kyauk Sein 5th St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 01-548187,tel: 09-250367407",Aung Chan Thar,Timber Merchants,Bahan(Bahan),"47, Ngwe La Yaung St., Saya San (South) Ward,",Yangon Region
"tel: 09-5152627,tel: 09-785152627,tel: 01-581354,tel: 09-965152627",Aung Chan Thar,Timber Merchants,North Dagon(North Dagon),"49/50, Bo Hmu Ba Htoo Rd., Corner of Bandoola Rd.,Ward (46),",Yangon Region
"tel: 09-789080556,tel: 09-795855590,tel: 09-421023178",Aung Khaing,Timber Merchants,East Dagon(East Dagon),"No.(2) Main Rd.,Near Ah Kyaw Tae Bus Stop,Ywar Thar Gyi Ward",Yangon Region
tel: 09-73046246,Aung,Timber Merchants,South Okkalapa (South Okkalapa ),"Set Hmu 6th St.,Industrial Zone",Yangon Region
tel: 09-73150029,Aung Aung Family,Timber Merchants,Thaketa(Thaketa),"1073, 7th Zay St., A Yat Sai Curve Bus Stop, Ward (6-East),",Yangon Region
"tel: 09-420045960,tel: 09-428033270",Aung Family,Timber Merchants,South Dagon(South Dagon),"323/B, Kyan Sit Thar Rd., Ward (70),",Yangon Region
tel: 09-43136685,Ah Nyar Thar @ Maung Myint,Timber Merchants,South Dagon(South Dagon),"139, Hlaw Gar Rd., Corner of Shwe Inwa St.,Ward (55),",Yangon Region
"tel: 09-254260337,tel: 09-254272649,tel: 09-250681377,tel: 09-30090375","Fuji Tiles Co.,Ltd.",Tiles [Wall/Floor],Insein(Insein),"6/D/36, Lan Thit Rd., Nant Thar Gone Ward,",Yangon Region
"tel: 01-378015,tel: 09-795748015",Myat Yar Pyae [Ko Myo],Terrazzo,Pabedan(Pabedan),"26, 28th St., Lower Block,",Yangon Region
"tel: 09-73153675,tel: 01-2300595,tel: 01-229727",Royal Myanmar Trading,,,"139/141, 15th St.,",Lanmadaw
"tel: 01-665583,tel: 09-5115763,tel: 01-665158","Myanma Kyauk Seinn Minn Han Co.,Ltd. [Terrazzo]",Machinery & Spare Parts Dealers,Mayangone(Mayangone),"81/C, Kaytumadi St., Kyauk Yae Twin, Ward (5),",Yangon Region
tel: 09-425027733,An Htaw Ni,Timber Merchants,Thaketa(Thaketa),"536, Myin Taw Thar Rd., Ward (4-South),",Yangon Region
"tel: 01-8550379,tel: 09-250144127,tel: 09-5008439",Aung,Timber Merchants,South Okkalapa (South Okkalapa ),"810, Waiza Yan Tar Rd., Ward (9),",Yangon Region
"tel: 09-5055669,tel: 09-5085997,tel: 01-578613 [Res]",Golden Fish,Terrazzo,Insein(Insein),"16 Shed, Rm 10, Kyauk Sein 7th St., Sawbwargyi Gone Warehouses,",Yangon Region
tel: 09-421123108,Aung Min [U],Timber Merchants,Yankin(Yankin),"22, Kanbei Butar Yon Rd., Ward (11),",Yangon Region
tel: 09-777641432,Aung Min [Ko],Timber Merchants,North Okkalapa (North Okkalapa ),"100, Kanaung 10th St., Shwe Pauk Kan Industrial Zone,",Yangon Region
"tel: 09-5115763,tel: 09-5115764,tel: 01-665583,tel: 01-665158,tel: 01-692083","Min Han Terrazzo Services Co.,Ltd.",Decoration Services,Mayangone(Mayangone),"81/C, Kaytumadi St., Ward (5),",Yangon Region
"tel: 01-661074,tel: 09-5005749,tel: 09-450022365,tel: 09-5406568",Aung Khaing [Ko],Terrazzo,North Dagon(North Dagon),"1270, Aye Mya Thar Yar St., Ward (32),",Yangon Region
"tel: 09-5114910,tel: 09-73184910",Aung Moe Hein,Timber Merchants,Tarmwe(Tarmwe),"8, 140th St., Ma U Gone Ward,",Yangon Region
tel: 09-5082716,Lucky 9,Threads,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Rm 205,1st Flr,Mingalar Market",Yangon Region
"tel: 09-5516777,tel: 09-5005431,tel: 01-370622 Ext.178",Kyi Maung [U],Threads,Pabedan(Pabedan),"138, Rm 1/A, 25th St., Upper Middle Block,",Yangon Region
"tel: 01-240600 Ext.4849,tel: 01-370622 Ext.178,tel: 01-371822 Ext.178,tel: 09-5005431,tel: 09-5156267",Kyi Maung [U],Threads,Pabedan(Pabedan),"B Shed, Rm 353, Thein Gyi Market,",Yangon Region
"tel: 01-254084,tel: 09-5147040,tel: 09-5505078",Maung Tun [Ko],Threads,Pabedan(Pabedan),"B Shed, Rm 349, Thein Gyi Market,",Yangon Region
"tel: 01-242775 Ext.2147,tel: 09-450005529,tel: 09-5175649,tel: 09-73121615",Hla Moe,Threads,Pabedan(Pabedan),"Bldg 4, C Shed, Rm 41, G Flr, Thein Gyi Market,",Yangon Region
"tel: 09-5123972,tel: 09-5103662,tel: 09-5034024","Myanmar Textile Alliance Co., Ltd.",Threads,Thingangyun(Thingangyun),"1, 1st Flr, Mingalar Yeik Thar St.,",Yangon Region
"tel: 09-788600738,tel: 09-253099603",Mr. Richard,,,"552, 83 St., Between 34 St. and 35 St.,",Chan Aye Thar Zan
"tel: 09-73211678,tel: 09-793269678",Hla Moe,Threads,Thaketa(Thaketa),"Yan Pyay St., Corner of Yan Pyay 17th St.,Yan Pyae Ward (3),",Yangon Region
"tel: 09-5131306,tel: 09-795957294",Nan Phan,Tiles [Wall/Floor],Insein(Insein),"101 Shed, Rm 4, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 09-5092232,tel: 09-5125002,tel: 09-73028252",Aung Kyaw Thu,Timber Merchants,South Dagon(South Dagon),"899, Pearl Yadanar St., Ward (18),",Yangon Region
"tel: 01-577928,tel: 09-73151775,tel: 01-8550394",Aung Kyaw Thein [2],Timber Merchants,South Okkalapa (South Okkalapa ),"15/A,Set Hmu 6th St.,Industrial Zone",Yangon Region
tel: 09-5135610,Madi Hline,Threads,South Dagon(South Dagon),"Wet Ma Soot Wun Htauk St., East Dagon Industrial Zone (2),",Yangon Region
tel: 09-253625743,Aung Kyaw Oo [U],Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"648, Bo Aung Kyaw St., Ward (14),",Yangon Region
"tel: 09-73073009,tel: 09-73091060,tel: 01-638044,tel: 09-73252722",Aung Lan,Timber Merchants,Mingalardon(Mingalardon),"214, No.(3) Main Rd., Pearl Myoe Thit, Pearl Myoe Thit Ward (2),",Yangon Region
"tel: 09-43151384,tel: 09-450021403",Aung Kyin,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"5/A,Anawrahta Rd.,Ward (11)",Yangon Region
"tel: 01-252126,tel: 09-5131306",Nan Fang,Tiles [Wall/Floor],Pabedan(Pabedan),"49, Kon Zay Dan St., Lower Middle Block,",Yangon Region
"tel: 09-261734589,tel: 09-73032650",Nadi Family,Tiles [Wall/Floor],Hlaing Thar Yar(Hlaing Thar Yar),"152/A, Bo Aung Kyaw St., Ward (14),",Yangon Region
"tel: 09-5119728,tel: 09-971825445,tel: 01-240600 Ext.4528,tel: 01-370622 Ext.528",Hla Thein [U],Threads,Pabedan(Pabedan),"B Shed, Rm 328, Thein Gyi Market,",Yangon Region
"tel: 09-5115763,tel: 01-665583,tel: 01-665671","Myanmar Kyauk Seinn Minn Han Co.,Ltd.",Tiles [Wall/Floor],North Okkalapa (North Okkalapa ),"1036, Thudhamar Rd., Nga Ward,",Yangon Region
"tel: 01-254762,tel: 01-370622 Ext.548",Soe Oo [U],Threads,Pabedan(Pabedan),"A Shed, Rm 63, Thein Gyi Market,",Yangon Region
"tel: 09-5009826,tel: 09-5153314,tel: 01-579343,tel: 01-8550393,tel: 09-5003627",Aung Kyaw Thein,Timber Merchants,South Okkalapa (South Okkalapa ),"57/A, Set Hmu 4th St., Industrial Zone,",Yangon Region
"tel: 01-560796,tel: 09-73119710",Aung Kyaw,Timber Merchants,South Okkalapa (South Okkalapa ),"996,Myittar Rd.,Ward (9)",Yangon Region
"tel: 01-370622 Ext.405,tel: 09-5039384,tel: 01-377591 [Res]",Soe Myint [U] & Sons,Threads,Pabedan(Pabedan),"B Shed, Rm 166, Thein Gyi Market,",Yangon Region
tel: 09-778283893,"Myanmar Forlong Co.,Ltd.",Threads,Hlaing Thar Yar(Hlaing Thar Yar),"47, Twin Thin Tike Wun U Tun Nyo St., Shwe Linban Industrial Zone,",Yangon Region
"tel: 01-240600 Ext.4274,tel: 09-250171721,tel: 09-8626406",MS,Threads,Latha(Latha),"D Shed, Rm F/535, Underground, Thein Gyi Market,",Yangon Region
"tel: 01-240940,tel: 01-372537",Pauk Sa [U] & Sons,Threads,Pabedan(Pabedan),"C Shed, Thein Gyi Market,",Yangon Region
tel: 01-9190378,Kyi Kyi Win [Daw],Threads,Thaketa(Thaketa),"798, Man Pyay 2nd St., Corner of Man Pyay St.,Ward (2-South),",Yangon Region
"tel: 09-5175649,tel: 09-73121615",Hla Moe [Ko],Threads,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"30, 87th St., Kan Daw Kalay (West) Ward,",Yangon Region
"tel: 01-370622 Ext.578,tel: 09-5192128",Myat Htut [U],Threads,Pabedan(Pabedan),"A Shed, Rm 132, Thein Gyi Market,",Yangon Region
"tel: 09-250026944,tel: 09-5172655,tel: 09-254203404,tel: 09-375717,tel: 01-240600 Ext.4526",Moe Thein [U],Threads,Pabedan(Pabedan),"B Shed, Rm 332, Thein Gyi Market,",Yangon Region
"tel: 09-420745768,tel: 09-790986642",Mya Yadanar Aung,Tiles [Wall/Floor],Insein(Insein),"101 Shed, Rm 5, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 09-420328428,tel: 09-790986642,tel: 09-787992908,tel: 09-420745768",Mya Yadanar Aung,Tiles [Wall/Floor],Insein(Insein),"101 Shed, Rm 5, Shwe Wah St., Saw Bwar Gyi Gone Warehouses,",Yangon Region
"tel: 09-421047134,tel: 09-263211096",Ni Ni,Threads,Pabedan(Pabedan),"3 Shed, Rm 212, New Bogyoke Aung San Market,",Yangon Region
"tel: 01-641156,tel: 09-73097867,tel: 09-73157160",Moe Myint San,Tiles [Wall/Floor],Insein(Insein),"4/3 Shed, Rm A, Padamyar St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 09-73021736,tel: 09-440440207,tel: 09-5417784,tel: 09-43110312",Aung,Concrete Products,Insein(Insein),"241, Thiri Mingalar Rd., Ywar Ma (East) Ward,",Yangon Region
tel: 09-2003604,Thit Sar,,"နန္းေ႐ွ႕၊ Yan Kin Hill St. , Middle St.၊ ဘူးကုန္းရပ္ကြက္၊","Nan Shae, Yan Kin Hill St. , Middle St., Bukone Ward,",Patheingyi
"tel: 01-388872,tel: 01-246214,tel: 09-49299189,tel: 09-5146476,tel: 01-388873 [Res]",Ar Mat [Haji] [Family],Interior Decoration Materials & Services,Pabedan(Pabedan),"40, 28th St., Lower Middle Block,",Yangon Region
"tel: 01-398110,tel: 09-420711170","Netpro Myanmar Co.,Ltd.",Systems Integrators,Kyauktada(Kyauktada),"256, Pansoedan St., Upper Block,",Yangon Region
"tel: 01-540924,tel: 01-554770,tel: 09-5320648",Lwin,Tiles [Wall/Floor],Tarmwe(Tarmwe),"272, Kyaikkasan Rd., Ma Hlwa Gone Htay Kywe Ward,",Yangon Region
tel: 01-248053,"Myanmar DCR Co.,Ltd.",Computer Software Dealers,Pabedan(Pabedan),"608, Rm 11/E/F/C, 11th Flr, Merchant Rd., Bo Son Patt Tower,",Yangon Region
"tel: 01-249152,tel: 01-246634,tel: 01-395512,tel: 01-245762,tel: 01-395508~9,tel: 01-2304156",MCC,Computer Software Dealers,Pabedan(Pabedan),"Bldg 3/4, C Shed, 3rd Flr, Thein Gyi Market,",Yangon Region
"tel: 09-421069219,tel: 01-594136",Maung Maung Than [U],Tiles [Wall/Floor],South Dagon(South Dagon),"719/720, Sittaung St., Industrial Zone (2),",Yangon Region
tel: 09-5138437,Bo Bo Hein,Sewing Machines & Accessories,Pabedan(Pabedan),"Bldg 4, C Shed, Rm D, Thein Gyi Market,",Yangon Region
"tel: 01-210674 Ext-207,tel: 09-799688925,tel: 09-799688921","Industrial Provision Myanmar Co.,Ltd.",Inverters,Lanmadaw(Lanmadaw),"790, Rm 2, 2nd Flr, Bogyoke Aung San Rd.,",Yangon Region
"tel: 01-655163,tel: 09-425286528,tel: 09-973252737",Kyaw Kyar Trading,Tiles [Wall/Floor],Insein(Insein),"95 Shed, Rm 2, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 09-420121213,tel: 09-252815493",Aung Than [U] & Family,Timber Merchants,North Okkalapa (North Okkalapa ),"789,Ayeyar St.,Nya Ward",Yangon Region
,Royal Myint Soe,Tiles [Wall/Floor],Insein(Insein),"95 Shed,Rm 18/19,Shwe Wah St.,Sawbwargyi Gone Warehouses",Yangon
"tel: 01-642770,tel: 09-974404424",Sein Win,Tiles [Wall/Floor],Insein(Insein),"2 Shed, Rm 3/4, Pearl 7th St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 09-799696152,tel: 01-704659","Roma [Forever Agriculture & Livestock Development Co.,Ltd.]",Tiles [Wall/Floor],Insein(Insein),"116, Pyay Rd., Near 10 Mile Bus Stop, 10 Mile, Saw Bwar Gyi Gone Ward,",Yangon Region
"tel: 01-224464,tel: 01-224541,tel: 01-710380",Roman,Tiles [Wall/Floor],Thaketa(Thaketa),"238, Mya Khwar Nyo 3rd St., Industrial Zone,",Yangon Region
"tel: 09-254020360,tel: 09-2348226",Pan Thu [Geological Service Co-operative Ltd.],Tiles [Wall/Floor],South Dagon(South Dagon),"337/338, Bago St., Industrial Zone (1),",Yangon Region
,Phyo Thiha Kyaw,Tiles [Wall/Floor],Insein(Insein),"Shwd 63 Shed,Rm 8,Kyauk Sein 2nd St.,Sawbwargyi Gone Warehouses",Yangon
tel: 09-250139937,"Nine River Co.,Ltd.",Tiles [Wall/Floor],North Okkalapa (North Okkalapa ),"Bldg E, Rm 47, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
"tel: 01-572341,tel: 09-5008454,tel: 01-8550362,tel: 01-572341",Aung Si,Timber Merchants,South Okkalapa (South Okkalapa ),"103, Set Hmu 3rd St., Industrial Zone,",Yangon Region
"tel: 09-73237142,tel: 09-73237142",Aung San [Ko],Timber Merchants,Thaketa(Thaketa),"525/B, Myin Taw Thar Rd., Ward (4-South),",Yangon Region
"tel: 09-5009713,tel: 09-450065174,tel: 01-9691297",Aung Setkyar,Timber Merchants,North Okkalapa (North Okkalapa ),"531, Theingi St., Sa Lone Ward,",Yangon Region
"tel: 09-5051343,tel: 09-5070023",Aung Pyae Sone,Timber Merchants,South Dagon(South Dagon),"749/A, Kyan Sit Thar Rd., Ward (72),",Yangon Region
tel: 09-254083101,Aung Myo Naing [U],Timber Merchants,South Dagon(South Dagon),"1558/B,Hlaw Gar Rd.,Ward (107)",Yangon Region
