contact,name,category,township,street,state
" 0931647457, 09964046117, 09787750649",Kaung Eain San,Plastic Materials & Products,Lanmadaw,"18, 15th St., Lower Block,",Yangon Region
" 0973242084, 018010064",Kant Kaw Pwint,Plastic Materials & Products,North Dagon,"343,Maha Bandoola Rd.,Ward (47)",Yangon Region
" 09795977594, 0973013117",Chan Myae,Pawn Shops,Insein,"60, Bayint Naung Rd., Pauk Taw Ward,",Yangon Region
 01590564,Kaung Myat,Plastic Materials & Products,South Dagon,"90/92/94, Myeik St., Ward (24),",Yangon Region
 012315338,Aye,Pawn Shops,Ahlone,"61/63, Sin Min St., Near Sin Min Market, Sin Min Ward,",Yangon Region
" 01240661, 01384973","Myanmar Iberchem Co.,Ltd.",Perfumes & Body Sprays,Pabedan,"265, Kon Zay Dan St., Upper Middle Block,",Yangon Region
" 01537530, 01374594",PSH Petroleum Equipment,,,"29, Bayint Naung Rd., Shwe Padauk Yeikmon,",Kamayut
" 01225512, 095096369, 095197768, 0973004875","Peace, Happy",Pharmaceutical Manufacturers,Lanmadaw,"810, Rm 8, 3rd Flr, Bogyoke Aung San Rd., Green Gayhar (3),",Yangon Region
" 0973169029, 09420294634",Kaung Htike San,Plastic Materials & Products,Hlaing Thar Yar,"29/A, Phoe Yarzar St., Ward (7),",Yangon Region
 01707899,Aung Tagon,Pawn Shops,Ahlone,"Bldg 2, Rm 004, Strand Rd., Thiri Mingalar Housing,",Yangon Region
" 012300249, 09250375622",Parami,Pharmaceutical Manufacturers,Ahlone,"37, 3rd Flr, Thate Pan St., Sin Min Ward,",Yangon Region
" 01660548, 095195617, 09785195617",Nay Setkyar,Pharmaceutical Manufacturers,Mayangone,"465, Bayint Naung St., Kyauk Yae Twin, Ward (5),",Yangon Region
" 0943091011, 092402287",Nan Shwe Yee,Pharmaceutical Manufacturers,Mayangone,"149/C, Dhama Parla St., Kyauk Yae Twin, Ward (5),",Yangon Region
 01210030,Golden Apple,Pawn Shops,Lanmadaw,"822, 1st Flr, Maha Bandoola Rd.,",Yangon Region
" 095127162, 0973132149",May Mon,Jades,Mayangone,"1st Flr,Kaba Aye Pagoda Rd.,Myanma Gems Museum",Yangon Region
" 095132412, 095147279, 0943083060",Mahar Thu,Diamonds,Pabedan,"West D Shed, Rm 74/75, Bogyoke Aung San Market,",Yangon Region
 0973235470,Latt Shwin,Gold Shops/Goldsmiths,Pabedan,"Diamond Empire Hall Shed, Rm F/3, Bogyoke Aung San Market,",Yangon Region
 095031018,Lwin,Fancy Stores,Pabedan,"East B Shed, Rm 700, Bogyoke Aung San Market,",Yangon Region
" 018561294, 09795678966","Padamyar Yaung Chi Co.,Ltd.",Pharmaceutical Manufacturers,South Okkalapa ,"Parami Rd., Corner of Waiza Yan Tar Rd.,Near Parami Bridge, Ward (4),",Yangon Region
" 01644487, 0973060757",Khin,Plastic Materials & Products,Insein,"B Shed, Rm 2/63/64, Insein Market,",Yangon Region
" 095405624, 095411649, 095193101, 01386820 [Res], 09425026732",Hnin Pearl,Jades,Pabedan,"West C Shed, Rm 55/67/68/69/70/71, Bogyoke Aung San Market,",Yangon Region
" 095019838, 01251397, 09785019838",Jade Dear,Jades,Pabedan,"West D Shed, Rm 67, Bogyoke Aung San Market,",Yangon Region
" 09254375214, 095060835",Pann Wutt Hmone,Pharmaceutical Manufacturers,South Okkalapa ,"152/1, Shooting Range St., Cherry Garden Housing,",Yangon Region
 0973055375,Khaing,Plastic Materials & Products,Mingalar Taung Nyunt,"Rm 378,2nd Flr,Mingalar Market",Yangon Region
 0973116469,Khant Nyar Htet,Plastic Materials & Products,Hlaing Thar Yar,"Bldg 58, Rm 5, Anawrahta Rd., Shwe Kantharyar Shop House,",Yangon Region
 09259395121,Khaing,Plastic Materials & Products,Mingalar Taung Nyunt,"Rm I-11, G Flr, Yuzana Plaza,",Yangon Region
" 01399081, 01399176, 01379521, 01399383","Shine Khant Co.,Ltd.",Perfumes & Body Sprays,Mingalar Taung Nyunt,"33, 1st Flr, 87th St., Kan Daw Kalay (West) Ward,",Yangon Region
 09420136826,Khaing,Plastic Materials & Products,Mingalar Taung Nyunt,"Rm 335, Shwe Mingalar Market, Car Pat Lan,",Yangon Region
" 01252510, 01378829, 01375533","Ywar Taw International Co., Ltd.",,         Pantra Tower,"42, 4th Flr, Pan Tra St., Pantra Tower,",Dagon
" 01515129, 01539271, 01515130","Shwe Arr-Man Co.,Ltd. [Head Office] [K.Best Choice Co.,Ltd.]",Perfumes & Body Sprays,Kamayut,"Bldg F/S/17, 1st Flr, Bayint Naung Rd., Shwe Sabei Yeikmon,",Yangon Region
 01248142,Saleem,Perfumes & Body Sprays,Pabedan,"Central Hall Shed, Rm 50, Bogyoke Aung San Market,",Yangon Region
" 095121360, 095063946",John Cena,Gold Shops/Goldsmiths,Pabedan,"Central Hall Shed, Rm 112, Bogyoke Aung San Market,",Yangon Region
" 0973154311, 095177078, 095169063",Pwint Phyu,Perfumes & Body Sprays,Yankin,"Rm 28/29, 1st Flr, Yankin Center,",Yangon Region
" 01254082, 01399176, 01399081 [Office]",Shine Khant,Perfumes & Body Sprays,Pabedan,"West B Shed, Rm 66, Bogyoke Aung San Market,",Yangon Region
" 0973121963, 09421015352, 01395515",Kay Khaing,Plastic Materials & Products,Latha,"D Shed, Rm C/317, Underground, Thein Gyi Market,",Yangon Region
,Kay Khaing,Plastic Materials & Products,Latha,"D Shed, Rm A/317, Underground, Thein Gyi Market,",Yangon
 0973060028,Family,Pawn Shops,Insein,"224/B, Kha 6th St., Myo Thit (Ka/Kha) Ward,",Yangon Region
" 01389105, 0973164633, 095403900",Perfume Garden,Perfumes & Body Sprays,Dagon,"21, Rm 2, Yaw Min Gyi St., Yaw Min Gyi Ward,",Yangon Region
 0973011585,Scent Bar Perfume,Perfumes & Body Sprays,Tarmwe,"12, Thida St., Kyauk Myaung Gyi Ward,",Yangon Region
" 095112859, 095114091",Eaiksitan,Pawn Shops,Thingangyun,"569, Than Thu Mar Rd., Corner of Sanpya 4th St.,Sanpya Ward,",Yangon Region
 0973028197,Dagon San,Pawn Shops,East Dagon,"937/B, Tapin Shwe Htee St., Ward (8),",Yangon Region
" 095097384, 095231689",Kay Khaing [Daw],Plastic Materials & Products,South Dagon,"148, Taung Khwin Min Gyi St., East Dagon Industrial Zone (2),",Yangon Region
" 095051873, 0973017911",Chan Thar Gyi,Pawn Shops,Hlaing Thar Yar,"180/181, Bo Ba Htoo St., Ward (2),",Yangon Region
" 01374032, 095149454",Pearl Empress Diamond & Pearl Jewellery,Diamonds,Pabedan,"East Wing Shed, Rm 176/177, Bogyoke Aung San Market,",Yangon Region
" 0943123502, 0943139694",Kaung Myat Kyaw,Plastic Materials & Products,Hlaing Thar Yar,"Bldg 53, Rm 12, Anawrahta Rd., Shwe Kantharyar Shop House,",Yangon Region
" 01374032, 095149454, 09255788636",Pearl Empress Diamond & Pearl Jewellery,Jades,Pabedan,"Rm 176/177,Bogyoke Aung San Market",Yangon Region
" 01240600 Ext.4826, 0931546914",Zeal,Perfumes & Body Sprays,Pabedan,"A Shed, Rm 512, Thein Gyi Market,",Yangon Region
" 0936220770, 01502495",Chin Hwar,Pawn Shops,Sanchaung,"82, Min St., Sanchaung (South) Ward,",Yangon Region
 0973194040,Family,Pawn Shops,Hlaing Thar Yar,"611, Bo Aung Kyaw St., Ward (19),",Yangon Region
" 01370928, 01376207, 01380110, 01381365, 0973164800, 095116962","White Jasmine Co.,Ltd.",Perfumes & Body Sprays,Pabedan,"108/B, 28th St., Upper Middle Block,",Yangon Region
" 01665424, 0973013764",Chit Kyi,Pawn Shops,Mayangone,"13, Bogyoke St., Ward (3),",Yangon Region
" 01381365, 0973164800, 01375054","White Jasmine Co.,Ltd.",Perfumes & Body Sprays,Mingalar Taung Nyunt,"110, 1st Flr, 94th St., Kan Daw Kalay (East) Ward,",Yangon Region
" 09789753051, 09789753056",Treasure Cluster,Perfumes & Body Sprays,Bahan,"459/A, Rm 003, G Flr, New University Avenue Rd., Saya San Ward,",Yangon Region
" 09450036942, 09420099641",Chan Thar Gyi [I],Pawn Shops,Dawbon,"13, Min Nandar Rd., (1) Zay Kwe Bus Stop, Nwe Aye Ward,",Yangon Region
" 01541312, 01554291, 01401546",Vimpex Ltd.,Perfumes & Body Sprays,Bahan,"24/A, Saya San Rd., Sasana Yeikthar Ward,",Yangon Region
" 098568661, 09250027592",The Ninth Scent,Perfumes & Body Sprays,Thingangyun,"Rm C-19, 2nd Flr, AKK Shopping Mall,",Yangon Region
" 095161042, 09254259226, 09795826659",Nine Star,Gold Shops/Goldsmiths,Pabedan,"Nawarat Hall Shed, Rm 27, 1st Flr, Bogyoke Aung San Market,",Yangon Region
,White Jasmine,Perfumes & Body Sprays,Pabedan,"367, Bo Soon Pat St., Upper Block,",Yangon Region
" 095119369, 01579558 [Res]",Pae Pae [Daw],Diamonds,Pabedan,"Diamond Empire Hall Shed,Rm B/7/8,Bogyoke Aung San Market",Yangon Region
 0943070118,Myat Thitsar,Diamonds,Pabedan,"Super World 1 Shed, Rm A/33/34, Bogyoke Aung San Market,",Yangon Region
 095014623,Hla Pann San,Diamonds,Pabedan,"Diamond Empire Hall Shed, Rm D/4/5, Bogyoke Aung San Market,",Yangon Region
" 0973026155, 095007181, 01240966 Ext.834, 01256411 Ext.834, 01660563",Myanma Golden Web [MGW],Jades,Pabedan,"Face Wing Shed, Rm 16, Bogyoke Aung San Market,",Yangon Region
" 0943091011, 092402287",Nan Shwe Yee,Pharmaceutical Manufacturers,North Okkalapa ,"149/C, Dhama Parla St., Kyauk Yae Dwin Ward,",Yangon Region
" 01534744, 0973079407",Mya,Fancy Stores,Pabedan,"Central Hall Shed, Rm 84, Bogyoke Aung San Market,",Yangon Region
" 019667688, 09254174344, 019667708",The Shop For The Body,Perfumes & Body Sprays,Mayangone,"Rm Unit 2, Hotel Yangon,",Yangon Region
" 01209290, 01554828",Happy Pest Control Services,,,"45, Thamadeikhti St.,",Tarmwe
" 0973050132, 09450001750",Vieta Point [U.S.A Store],Perfumes & Body Sprays,Sanchaung,"Rm 18, 4th Flr, Dagon Centre II,",Yangon Region
" 0973041208, 098592062",Gruntek International,,,"22,Padamyar St, Myanma Gonyaung Housing, Myittar Nyunt Ward",Tarmwe
" 01200491, 095041238, 01200747 Ext.7006",Nail Syn,Pharmaceutical Manufacturers,Mingalar Taung Nyunt,"Bldg 1, Rm 011, 4th Flr, Set Yon Rd. (Mill Rd.), Tharyar Gone Ward,",Yangon Region
" 095029478, 0973176108",Pearl Moe,Gold Shops/Goldsmiths,Pabedan,"Super World 1 Shed,Rm A/18/19/20,Bogyoke Aung San Market",Yangon Region
" 095073213, 01240966, 095117920",Sein Thazin,Diamonds,Pabedan,"West D Shed, Rm 53, Bogyoke Aung San Market,",Yangon Region
" 01682112, 01684645",GITE,,,"Shwe Tharaphi 2nd St.,Corner of Sagawah St,   Infront of Sport Club",Hlaing Thar Yar
" 09421758781, 09790779612",PAGE Pest Control,, B- /    ,"B-4/55, 65 St., Myothit,",Chan Mya Tharsi
 019000494,Hote Shin,Pawn Shops,Pazundaung,"24, Upper Pazundaung Rd.,",Yangon Region
" 095152677, 0973208574",Chan Thar,Pawn Shops,North Dagon,"49, Maha Bandoola Rd., Near Bo Htoo Market, Ward (45),",Yangon Region
" 01618117, 01618625~6, 01211353, 01221203, 01709624","Royal Ruby Mfg Co.,Ltd.",Pharmaceutical Manufacturers,Shwe Pyi Thar,"64/84, Pade Wun U Shwe Bin St., Industrial Zone (3),",Yangon Region
" 095032638, 01256411",Sandar,Diamonds,Pabedan,"Diamond Empire Hall Shed, Rm C/8/9/10, Bogyoke Aung San Market,",Yangon Region
" 01541288, 095001477",Rakhine Gyi,Pharmaceutical Manufacturers,Mingalar Taung Nyunt,"45, Myo Patt St., Corner of Pathein Nyunt 6th St., Pathein Nyunt Ward,",Yangon Region
" 01512335, 095404533, 095016355, 095157709",Hoke Shin,Pawn Shops,Sanchaung,"58/B, Myint Moh St., Sanchaung (South) Ward,",Yangon Region
" 01571397, 0973019750, 018564311",Leo Pest Control Team,,,"9/A, Zaburit St., Kyauk Kone,  Ward (14)",Yankin
" 012314912, 01221203, 01211353, 012315443","Royal Ruby Co.,Ltd.",Pharmaceutical Manufacturers,Dagon,"30, Rm 101, 1st Flr, Sagawah St., Pyay (West) Ward,",Yangon Region
" 0943162363, 095402657",Pyae Phyo Kyaw,Pharmaceutical Manufacturers,Shwe Pyi Thar,"15/46, Taw Win 3rd St., Corner of Taw Win St., Near Than Phyu Bus Stop, Ward (3),",Yangon Region
" 01684083, 01685586, 09454192864","Progress Biochem Co.,Ltd.",Pharmaceutical Manufacturers,Hlaing Thar Yar,"145/B/146/A, Pade Wun U Shwe Bin St., Industrial Zone (1),",Yangon Region
" 01370622, 095401157, 01371822 Ext.160, 0973121983",Znt Trading,Perfumes & Body Sprays,Pabedan,"A Shed, Rm 258, Thein Gyi Market,",Yangon Region
" 01705914, 01201212",Phyu Sin Myittar,Pharmaceutical Manufacturers,Bahan,"56, Oak Tha Pha Yar St., Kyaikkasan Ward,",Yangon Region
" 01571352, 01561601, 012585238",Pop Pop [PP Pharmaceutical Enterprise],Pharmaceutical Manufacturers,East Dagon,"136/1, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone,",Yangon Region
 01392035,Ho Shin,Pawn Shops,Botahtaung,"475/A, Merchant Rd.,",Yangon Region
" 095640907, 09972600255, 09798484796",Treasure Island,Bird's Nest Supplement Food,Pabedan,"Nawarat Hall Shed, Rm 48, G Flr, Bogyoke Aung San Market,",Yangon Region
" 01392594, 01380175",Pyi Lone Kyan Mar,Pharmaceutical Manufacturers,Botahtaung,"131, 41st St., Lower Middle Block,",Yangon Region
" 0973183369, 09428023281",The Best,Jades,Pabedan,"West D Shed, Rm 44, Bogyoke Aung San Market,",Yangon Region
" 01503740, 0931298849, 09250651874",AUGUST,,,"34, Mya Kan Thar 4th St., Mya Kan Thar Housing,",Hlaing
" 09260054757, 019699779",Sa Sa,Pharmaceutical Manufacturers,North Okkalapa ,"524, May Darwi Rd., Ga Nge Ward,",Yangon Region
" 095311208, 095113398, 09790698644",Snow Pearl,Diamonds,Pabedan,"East Wing Shed, Rm 41, Bogyoke Aung San Market,",Yangon Region
 01387177,Hmwe,Pawn Shops,Pabedan,"454, Maha Bandoola Rd., Yathar Condo,",Yangon Region
" 095148282, 09795148282",Thitsar Yadanar,Diamonds,Pabedan,"West D Shed, Rm 46/47, Bogyoke Aung San Market,",Yangon Region
" 01544001, 095199682",Hmwe,Pawn Shops,Tarmwe,"34, Kyar Kwet Thit St., Between Seikta Thukha St. and Baya Thoddi St.,Pathein Nyunt Ward,",Yangon Region
" 01571352, 095122419, 09795221128, 018561601","PP Pharmaceutical Enterprise Co.,Ltd.",Pharmaceutical Manufacturers,Thingangyun,"25, Waiza Yan Tar Rd., Mi Gyaung Kan Ward (3),",Yangon Region
" 09251049025, 095393285",Hat Sein,Pawn Shops,Shwe Pyi Thar,"19, Hlaw Gar Rd., Near Nilar Market, Ward (16),",Yangon Region
" 095112003, 09423754918, 09783928380",Hein,Pawn Shops,Thingangyun,"117, Lay Daunt Kan Rd., Near Pha Yar Lane Bus Stop, (Sa-Lein/Ka) Ward,",Yangon Region
" 01243937, 095091896",Super World,Diamonds,Pabedan,"Super World 1 Shed, Rm B/23/24, Bogyoke Aung San Market,",Yangon Region
" 01250545, 095193420, 01537436 [Res], 095191389",Shwe Yee Pwint,Diamonds,Pabedan,"East Wing Shed, Rm 182, Bogyoke Aung San Market,",Yangon Region
" 0949249370, 09420043348","Environmental Essentials Co., Ltd.",,,"74, Pwe Sar Dan St.,   Upper Block,",Kyeemyin Daing
" 09250175856, 09797537513, 09402581881",DDNA,,     SH-B  ,"Rm 9, Bldg SH-B4, Yadanar Rd., Malikha Housing,",Thingangyun
" 01502919, 098634163",Green Pest Management,Pest Control Services,Kamayut,"Corner of Kyun Taw Rd.,",Yangon Region
 0973021833,Hein,Pawn Shops,Tarmwe,"312, Banyar Dala Rd., Kyauk Myaung Gyi Ward,",Yangon Region
" 095121155, 01531213 [Res]",Yadanar Moe,Diamonds,Pabedan,"New East D Shed, Rm 55, Bogyoke Aung San Market,",Yangon Region
" 09423713770, 09250064593",Zaw Yadanar,Fancy Stores,Pabedan,"West A Shed, Rm 298, Bogyoke Aung San Market,",Yangon Region
 09783928380,Hein,Pawn Shops,Thingangyun,"117, Lay Daunt Kan Rd., (Sa-Lein/Ka) Ward,",Yangon Region
" 01535221, 01710074, 095113864",Shwe Kyin,Pharmaceutical Manufacturers,Kamayut,"59/60, Than Lwin St., Ward (10),",Yangon Region
" 095153013, 09790703804",Yaung Ni Oo,Gold Shops/Goldsmiths,Pabedan,"Central Hall Shed, Rm 116, Bogyoke Aung San Market,",Yangon Region
" 095051223, 095650241",Zue Zue,Fancy Stores,Pabedan,"Central Hall Shed, Rm 66, Bogyoke Aung San Market,",Yangon Region
" 019690587, 095416476, 01691079",Saya Moe [Monywa],Pharmaceutical Manufacturers,North Okkalapa ,"356, May Darwi Rd., Near Yadanar Theingi Market, Za Myin Zwel Ward,",Yangon Region
" 0973045119, 095411699",Setkyar Min,Pharmaceutical Manufacturers,Mingalardon,"261, 6th St., Yangon Industrial Zone,",Yangon Region
" 019691635, 09263455775, 01663260, 01691840","Sandi Phamaceutical Mfg Co.,Ltd.",Pharmaceutical Manufacturers,North Okkalapa ,"83,Yaezalar St.,Industrial Zone",Yangon Region
,Zabu Tun,Art & Craft Materials,Pabedan,"West D Shed,Rm 88,Bogyoke Aung San Market",Yangon
" 0973036398, 09262655577",Kaung Wai,Pawn Shops,Mingalar Taung Nyunt,"123, 93th St., Kan Daw Kalay (East) Ward,",Yangon Region
" 09979311308, 09789734085, 098572644, 09254509436, 09250084351",San Thiha,Pharmaceutical Manufacturers,Bahan,"90, Ngar Htat Kyee Pagoda Rd., Traditional Medicine Hospital, Bo Cho Ward (2),",Yangon Region
 095167552,Kaung Loon San,Pawn Shops,Dagon,"3, Rm 2, Bo Yar Nyunt St., Yaw Min Gyi Ward,",Yangon Region
" 095014667, 0949301561, 095059519, 095109681, 0949344674, 09450008944",Saya Kho [Dawdanda],Pharmaceutical Manufacturers,South Dagon,"Rm 4/5, Dote Hta Waddy St., Industrial Zone (2),",Yangon Region
" 0973002042, 09254050790",Hein Aung,Pawn Shops,Sanchaung,"25, Aung Taw Mu St., Myae Ni Gone (South) Ward,",Yangon Region
" 019690178, 019699938, 095149498, 019690178~9, 01708521",Saya U Aye Myint,Pharmaceutical Manufacturers,North Okkalapa ,"19,Khay Mar Thi 1st St.,Sa Lein Ward",Yangon Region
" 019699757, 095118842",Sein Ta Lone,Pharmaceutical Manufacturers,North Okkalapa ,"375, May Darwi Rd., Za Myin Zwel Ward,",Yangon Region
 0943033297,Kaung Kaung,Pawn Shops,Bahan,"3, West Race Course Rd., Tarmway Roundabout Bus Stop, Bo Sein Hman Ward,",Yangon Region
 0943120186,Kant Kaw,Pawn Shops,Kamayut,"58/B, Hledan Rd., Ward (3),",Yangon Region
 09795977593,Htate Tan,Pawn Shops,Insein,"61, Hlaing River Rd., Infront Of Insein Market, Zay Gone (West) Ward,",Yangon Region
 018500355,Sate Ma Soe,Pharmaceutical Manufacturers,South Okkalapa ,"Bldg 2, Rm 101, Than Thu Mar Rd., Zizawa Garden Housing,",Yangon Region
" 01241851, 01376274, 095121706",Sae Paung Aung,Pharmaceutical Manufacturers,Latha,"57/A, 6th Flr, Bo Ywe St.,",Yangon Region
 095158027,Htate Tan,Pawn Shops,Kyeemyin Daing,"286, Kyee Myin Daing Kannar Rd., Corner of Pan Pin Gyi St.,Ma Gyee Dan (North-East) Ward,",Yangon Region
" 095156293, 09975175405",Htet,Pawn Shops,Tarmwe,"65,Thamain Bayan Rd.,Nat Chaung Ward",Yangon Region
" 095098538, 01579137",Kaday Oo,Pawn Shops,Thaketa,"50/A, Zingama Rd., Anawmar Bus Stop, Ward (2-North),",Yangon Region
" 0973141093, 09253244525",333,Pet Shops,Pabedan,"A Shed, Rm 345/346, Thein Gyi Market,",Yangon Region
 09795975823,Lin Paing,,,"Myay Padaethar Garden,  In Front Of Japan Embassy,",Bahan
" 095016355, 098622335",Hote Shin,Pawn Shops,Shwe Pyi Thar,"380, Bayint Naung Rd., Ward (8),",Yangon Region
" 095076469, 0943138243",Water World,Pet Shops,Tarmwe,"130, Rm 4, Thamain Bayan Rd., Tarmway Gyee (Kha) Ward,",Yangon Region
 01249477,La Pyae,Pawn Shops,Mingalar Taung Nyunt,"65/B, 93th St., Kan Daw Kalay (South) Ward,",Yangon Region
" 09784410896, 01553332",Kyi,Pawn Shops,Thaketa,"127, Yadanar Pon 2nd St, Ward (10-North),",Yangon Region
 09260486287,Kyaw Htet Paing Soe,Pawn Shops,Hlaing Thar Yar,"406/B, Dawna St., Ward (10),",Yangon Region
" 01530586, 095138727",Ah Phoo [U],Animal Feeds,Kamayut,"196/198, Baho Rd., Ward (1),",Yangon Region
" 09420701317, 0931072539",Than Lwin Khet,Pharmaceutical Manufacturers,Insein,"Ma/50, U Aung Kyaw St., Gyoh Gone (East) Ward,",Yangon Region
 01599189,Kyaw Min Naing [U],Pawn Shops,East Dagon,"No.(2) Main Rd.,Near Lay Daunt Kan Butar,Lay Daunt Kan",Yangon Region
" 012231233, 01578550",Ko Sai+Ko Hla Myint,,,"209, Kanbei Butar Yon Rd., Ward (12),",Yankin
" 01640225, 095577222, 09250618660, 095139876","Ayar Kyaw Co.,Ltd.",Pet Shops,Insein,"10/B, Thiri Mingalar Rd., Ywar Ma (East) Ward,",Yangon Region
" 095122451, 09250142171, 01298513 [Office], 01382600 Ext.199",Chit Sein [U] & Sons,Pet Shops,Pabedan,"A Shed, Rm 121/122, Thein Gyi Market,",Yangon Region
" 0973115702, 0973244165",Kaung Su,Pawn Shops,Thaketa,"1121, Aung Thukha St., Corner of 20th St.,Ward (6-East),",Yangon Region
" 09974215311, 09259301463",Cleair Aquatics Lines,Pet Shops,Kamayut,"113, Baho Rd., Ward (3),",Yangon Region
" 0973123999, 09420010882",Aung Myat [U] + Than Than Htay [Daw],Pet Shops,Pabedan,"A Shed, Rm 101/102, Thein Gyi Market,",Yangon Region
" 095020371, 09785020371, 01664747",Active,,,"52/A, Kyaik Waing Pagoda Rd.,  Myaing Hay Wun Housing,",Mayangone
 09775533305,E & SM,,,"598, Bagan 28th St.,",South Okkalapa
 09975860177,Ayeyar Nadi,Pet Shops,Hlaing Thar Yar,"3/B, Bo Aung Kyaw St., Ward (16),",Yangon Region
 09794622087,Swan Htet,Pharmaceutical Manufacturers,Insein,"284/285, 7th St.(North), Gyoh Gone (East) Ward,",Yangon Region
" 095154846, 0930517568",City,,,"29, 1st Flr, Baw Lone Kwin Ward,",Mingalardon
 09421090721,Sin Yadanar,Pharmaceutical Manufacturers,South Okkalapa ,"115, Thuta 5th St., Ward (4),",Yangon Region
 09260451766,Kyin Sann,Pawn Shops,Shwe Pyi Thar,"28, Bogyoke Aung San Rd., Near Htan Chauk Pin Junction, Ward (5),",Yangon Region
" 01664636, 01662072","Shwe Thamin, Chinthae Nyi Naung",Pharmaceutical Manufacturers,Mayangone,"3, Kan Tharyar St., Ward (3),",Yangon Region
" 0925220569, 09420273438",Smart,,,"79, Bo Saw Pu St.,",Kyeemyin Daing
" 0973235993, 0943092928",Kyin Lon,Pawn Shops,Mingalardon,"Rm 16, 14th St., Mingalardon Zay Ward,",Yangon Region
" 01542236, 09421004956, 09421039444",Shwe Myin Tin,Pharmaceutical Manufacturers,Tarmwe,"12, Myo Thit 1st St., Kyauk Myaung (Upper) Ward,",Yangon Region
" 095030825, 01650167",Kyaw Family,Pawn Shops,North Okkalapa ,"1007, Rm 1, Thudhamar Rd., MCWA Compound, Ward (2),",Yangon Region
" 098640059, 09785555640",Shwe Power,Pharmaceutical Manufacturers,Dagon,"284/286, Rm 2/F/5, 2nd Flr, Shwe Dagon Pagoda Rd., Yaw Min Gyi Ward,",Yangon Region
" 01664747, 095020371",Active,Pest Control Services,Mayangone,"52/A, Kyaik Waing Pagoda Rd., Myaing Hay Wun Housing,",Yangon Region
 0931073235,Hello,Pet Shops,Insein,"238, Bawdi Yeikthar St., Pein Nel Gone Ward,",Yangon Region
" 012300729, 012300734",Shwe Yi Win,Pharmaceutical Manufacturers,South Dagon,"255, Anawrahta St., East Dagon Industrial Zone (2),",Yangon Region
" 0973255535, 0973095744, 01555346","Sun Change Co.,Ltd.",Pharmaceutical Manufacturers,Yankin,"Bldg 120, Rm 7, Yan Naing 1st St., Near B.E.H.S (1), Ward (4),",Yangon Region
" 01695117, 01298708, 01297173, 01695119, 01695118, 01696034","Silver Shine Int'l Co.,Ltd. [SSI]",Pharmaceutical Manufacturers,North Okkalapa ,"28/29/30/31, Kanaung Min Thar Gyi St., Shwe Pauk Kan Industrial Zone,",Yangon Region
" 09421021566, 09254145772",Family,Pet Shops,Pabedan,"A Shed, Rm 104/105, Thein Gyi Market,",Yangon Region
 0973013718,Gold Fish World,Pet Shops,Tarmwe,"4,Thamain Bayan Rd.,Ma Hlwa Gone Htay Kywe Ward",Yangon
" 01525378, 095100393, 095019279, 095405488",Golden Dream Kennel,Pet Shops,Hlaing,"15, 59th St., Ward (7),",Yangon Region
" 0949303230, 09428011455",Golden Triangle,Pet Shops,Thaketa,"22/A, Shukhin Thar Myo Patt Rd., Corner of Myoma 15th St.,Ward (4-North),",Yangon Region
" 01200244, 095006107, 0949306448, 095577111",Excellent,Pet Shops,Pazundaung,"150, Bogyoke Aung San Rd.,",Yangon Region
 09420116128,Eii Soot [U],Pet Shops,Pabedan,"A Shed, Rm 109, Thein Gyi Market,",Yangon Region
" 09975333616, 09250700339",Clear Aquatics,Pet Shops,Bahan,"115, West Race Course Rd., Kyaikkasan Ward,",Yangon Region
" 09251025693, 09795866947",Flower Horn City,Pet Shops,North Okkalapa ,"527, Eindar 6th St., Za Gwel Ward,",Yangon Region
" 09260707171~72, 09797321250",Tun Shwe Wah,Pharmaceutical Manufacturers,East Dagon,"31, Pyin Si Min Thar Gyi St., Industrial Zone,",Yangon Region
" 01373679, 01381911, 01384386",Top Yunan [Htoo Char],Pharmaceutical Manufacturers,Pabedan,"202, 29th St., Upper Block,",Yangon Region
 01556500,Traditional Medicine Mfg Factory,Pharmaceutical Manufacturers,Bahan,"100, Ngar Htat Kyee Pagoda Rd., Ngarr Htatt Gyee (West) Ward,",Yangon Region
" 0973088766, 098618566",Gandawin,Pet Shops,Tarmwe,"145/B, Lay Daunt Kan Rd., Tarmway Lay Ward,",Yangon Region
" 0973114897, 098621590",Theiddi Win,Pharmaceutical Manufacturers,North Okkalapa ,"47, Wanna Kyaw Swar St., Near Hospital Curve Bus Stop, Shwe Paukkan Ward (14),",Yangon Region
" 01548874, 01546594",Thar Yin [U],Pharmaceutical Manufacturers,Bahan,"130/6, Ngar Htat Kyee Pagoda Rd., Bo Cho Ward (2),",Yangon Region
 01548205,"Thukha Thidar [Mahar Wun, Ngan Ni Kyaw]",Pharmaceutical Manufacturers,Bahan,"53, U Chit Maung Rd., Infront Of B.E.M.S (3), Saya San (South) Ward,",Yangon Region
" 01246256, 01241179, 01591225, 01227421, 01546045","Tun Shwe Wah, Shwe Lein Maw, Tun",Pharmaceutical Manufacturers,South Dagon,"2829, Aung Mingalar St., Industrial Zone (2),",Yangon Region
" 095021947, 09784634822","Tine Kyaw, Nan Htike",Pharmaceutical Manufacturers,South Okkalapa ,"431, Zarni 11th St., Ward (9),",Yangon Region
" 095080510, 09421122886","Thiha Theiddi Co.,Ltd.",Pharmaceutical Manufacturers,Yankin,"2, Rm 4/B, 4th Flr, Moe Kaung Rd., Sagawah Condo, Ward (16),",Yangon Region
