name,category,street,contact,state,township
Win Thit Heiw,Umbrellas,"144/146, Anawrahta Rd.,"," 01370776, 0973082455",Yangon Region,Kyauktada
Yadanar Tun,Umbrellas,"Rm 1/2/4/5, Upper Pazundaung Rd., Kyi Taw Ward,"," 09965164533, 09972443333, 095164533, 0973177143, 01577578 [Res]",Yangon Region,Mingalar Taung Nyunt
Yaung Chi Oo,Water Pipes & Accessories,"828, Tapin Shwe Htee St., Corner of Har Khar St., Near Kyauk Lan Sone Bus Stop, Ward (7),", 0973131671,Yangon Region,East Dagon
Zin Yaw Ni,Water Pipes & Accessories,"8/6 Shed, Rm D, Shwe Wah St., Sawbwargyi Gone Warehouse Complex,"," 01647853, 095090073, 09785090073",Yangon Region,Insein
Tun Tauk Kyal,Press & Printers [Offset],"160, 34th St., Upper Middle Block,"," 0943157216, 09797931926, 09428029021",Yangon Region,Kyauktada
Tokyo Pipe,Water Pipes & Accessories,"11 Shed, Rm 5/6, Pearl 6th St., Sawbwargyi Gone Warehouses,"," 01642192, 095013395",Yangon Region,Insein
TAC Water Engineering Enterprise,,"31/32,  Phawkan,  San Thit Oo (2) St,"," 095136377, 01645705, 0930222054",Yangon Region,Insein
Win Pwint Khaing,Umbrellas,"Rm 382/383/364/365,2nd Flr,Mingalar Market"," 01298797, 09792881179, 09792881129, 09792881128",Yangon Region,Mingalar Taung Nyunt
Wah Wah Khaing [Daw],Umbrellas,"769, Kar Ya 12th St., Kaya Ward,", 0943197506,Yangon Region,Mingalardon
Strength Company Limited.,,"19/A, Airport Avenue Rd.,"," 095129283, 01666925",Yangon Region,Insein
Tech Talk,Water Treatment Systems,"340, Bldg B-212, 7th St., Yangon Industrial Zone,"," 09262934469, 09260337263",Yangon Region,Mingalardon
Yaung Chi Thit,Water Pipes & Accessories,"4/3 Shed, Rm D, Padamyar St., Sawbwargyi Gone Warehouses,"," 01643948, 095167143, 0943028169, 095148352, 01253602, 01646313",Yangon Region,Insein
Pentair,,"4006/B,3rd Flr, Taw Win Centre,", 0973037772,Yangon Region,Dagon
Yangon Pipe,Water Pipes & Accessories,"35, No.(3) Main Rd., Pyinmabin Industrial Zone,"," 01296331, 01708625, 09254049326",Yangon Region,Mingalardon
"Win, Than, Htay, Min Co.,Ltd.",Water Pipes & Accessories,"78, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone (2),"," 01684844, 01684990, 01685841, 01685842, 0973029916",Yangon Region,Hlaing Thar Yar
"MJ Co.,Ltd (Daito Filtration Legal Business Opearation)",,"62, 2nd Flr, Marlar Myaing 4th St., Ward (16),"," 09799903951, 09796613090, 09448046044",Yangon Region,Hlaing
NEW TON,,"17, 22 St., Between 81 St. and 82 St.,"," 0268354, 0235569",Yangon Region,Aung Myay Thar Zan
"Myanmar Water Engineering And Products Co., Ltd.(M.W.E.P)",,"15, Thu Mingalar 1st St., Thu Mingalar Housing,"," 01571694, 018564547",Yangon Region,Thingangyun
"M.K.A Shwe Myanmar Co.,Ltd",,"217, Rm 8, Bo Soon Pat St.,"," 095142400, 09421016268, 01246588",Yangon Region,Pabedan
"Swe Zin May Co., Ltd.",,"836, Maha Bandoola Rd., Between Lan Thit St. and 9th St.,"," 012303088, 09421142266",Yangon Region,Lanmadaw
Win,Water Pipes & Accessories,"Bldg 215, Rm 2, Yan Aung St., Ward (2),", 0943206700,Yangon Region,Yankin
"Win Than Htay Min Co.,Ltd.",Water Pipes & Accessories,"98, Yaw Ah Twin Wun U Pho Hlaing St., Shwe Linban Industrial Zone,"," 01613514, 01613640, 01613786, 01684990, 09255829072",Yangon Region,Hlaing Thar Yar
Tun Tun [U],Water Pipes & Accessories,"136,Lanmadaw St.,Upper Block",,Yangon Region,Lanmadaw
Win Tun [Ko],Water Pipes & Accessories,"D/1/38, Zaung Tu St., Industrial Zone (3),", 095168456,Yangon Region,South Dagon
Ko Ko Aung [U],Foodstuffs,"448, Than Lwin St., Industrial Zone(2),"," 0943104900, 095081221, 098613652",Yangon Region,South Dagon
"Jet Mega Co.,Ltd.",Wafers [Manu/Dist],"60, Mya Taung Wun Gyi U Hmo St., Industrial Zone (3),"," 01618105, 01618576",Yangon Region,Shwe Pyi Thar
Diamond Wafer,Wafers [Manu/Dist],"89, Hledan St., Middle Block,"," 01225254, 09254112286",Yangon Region,Lanmadaw
Tun Yadanar Myat,Umbrellas,"2 Shed, Rm 136, New Bogyoke Aung San Market,"," 0943055339, 01380974 [Res]",Yangon Region,Pabedan
Two Elephant M.S Pipe Production,Water Pipes & Accessories,"116, Bayint Naung Rd., Industrial Zone (4),"," 095167658, 01618732, 01618733, 018627638",Yangon Region,Shwe Pyi Thar
"Brands & Fashion Co.,Ltd.",Wafers [Manu/Dist],"79/B/1/B/2, Shwe Gon Daing Rd., Near S.S.C Hospital, Shwe Gon Daing (East) Ward,"," 01558989, 01401284, 01401280, 01559403~6",Yangon Region,Bahan
Value Myanmar,Umbrellas,"Karaweik Garden Recreation Zone,", 095032623,Yangon Region,Mingalar Taung Nyunt
Kone Baung Health Centre,Clinics [Special],"303/A, Shwe Bon Tha St., Upper Block,"," 01241074, 01383609",Yangon Region,Pabedan
999,Electrical Goods Sales,"958, Bo Aung Kyaw St., Near Bo Aung Kyaw Housing, Ward (7),", 09789441662,Yangon Region,Hlaing Thar Yar
May Khalar,Clinics [Private],"323/327, Shwe Bon Tha St., Upper Block,"," 01375222, 01387721",Yangon Region,Pabedan
Aye Khaing [Ma],Fashion Shops,"East B Shed, Rm 697, Bogyoke Aung San Market,", 09254178453,Yangon Region,Pabedan
96,Electrical Goods Sales,"691, Sittaung St., Industrial Zone (2),"," 01242285, 0931031534, 0973189179, 0930001904, 0930001905",Yangon Region,South Dagon
75,Electrical Goods Sales,"75,6th St.,Upper Block", 095194782,Yangon Region,Lanmadaw
7 Star,Electrical Goods Sales,"39/A, 123th St., Tha Pyay Gone Ward,"," 09420307034, 09420307035",Yangon Region,Mingalar Taung Nyunt
7 Stars,Electrical Goods Sales,"449/B, New University Avenue Rd., Saya San Ward,"," 01541417, 095193041",Yangon Region,Bahan
Gold Golf,Plastic Shopping Bags [Manu/Dist],"21, Kanaung Min Thar Gyi St., Shwe Pauk Kan Industrial Zone,"," 01695278, 095006678, 0973089220",Yangon Region,North Okkalapa 
Kang Kang Jelly,Jellies,"41, Bagan Rd., Shwe Pauk Kan Industrial Zone,"," 01695045, 01695514, 01651876",Yangon Region,North Okkalapa 
9 Star,Electrical Goods Sales,"Bldg 2/B, Rm 199, Phan Chet Set St., Muditar Housing (2),"," 0973100372, 09262328710",Yangon Region,Insein
Shwe Hlay,Food Stalls,"75, Yarza Thin Gyan St., East Dagon Industrial Zone (2),"," 09421100707, 0973119270",Yangon Region,South Dagon
K.T Sun Moon Star,,"22/A, G Flr, Kamar Kyi Rd., Thuwunna,"," 09783166177, 09783155166, 09783177188",Yangon Region,Thingangyun
Tomo Food Mfg Group,Snacks,"471, Inntaw St., Industrial Zone (2),"," 095132772, 095075225",Yangon Region,South Dagon
"POLARIS International Co., Ltd.",Water Treatment Systems,"951, Kone Myint Thar Yar St., Corner of Aye Theiddi St., Near High Park Bus Stop,"," 09260603060, 09254636360, 09786808010",Yangon Region,Insein
"KMT Engineering Co., Ltd.",,"Rm 4, Bldg 1, Kyan Sit Thar St., Aung Myay Thar Yar Shop House,"," 09421106468, 09420712716, 09421079375",Yangon Region,Hlaing Thar Yar
Aqua Land,,"H9/10,Lay Daunt Kan Rd., May Kha Housing,"," 018566609, 018566621",Yangon Region,Thingangyun
Mahar Ayeyar Company Limited,,"95, Shwe Taung Dan St.,"," 095176345, 0973176600",Yangon Region,Lanmadaw
5 Star,Electrical Goods Sales,"363/D, Kyaikkasan Rd., Near Mega Ace [Shwe Baho Cineplex], Tarmway Gyee (Kha) Ward,"," 095417956, 09785417956, 01546369",Yangon Region,Tarmwe
CAG Engineering Company Limited,,"38/A, 3rd Flr, Moe Kaung Rd., Ward (13),"," 09257070200, 09257070300, 09257070400",Yangon Region,Yankin
"Asia Face Trading  Co., Ltd.(Double M)",,"SA30,Rm 004,Lay Daunt Kan Rd.,  Tarmway Lay Ward"," 09421176448, 095173853",Yangon Region,Tarmwe
"AMW Co., Ltd.",,"541, Thu Dhamar Rd.,"," 0973252597, 0949209007, 09425020855",Yangon Region,North Okkalapa
47,Electric Motors & Dynamo Sales & Repair,"47/D, Yangon-Insein Rd., Near Butar Yon St. Bus Stop, Ward (9),"," 0973102073, 09261642868, 0931067657, 09253536806",Yangon Region,Hlaing
Zaw Win [U],Wafers [Manu/Dist],"862/863, Chaung Thar St., Industrial Zone (2),"," 09450048931, 095066900",Yangon Region,South Dagon
"Win Food Co.,Ltd",Wafers [Manu/Dist],"6, Anawrahta Rd., Ward (20),"," 019648114, 019648115",Yangon Region,Hlaing Thar Yar
Three Prawns,Wafers [Manu/Dist],"102/103, Loikaw St., Industrial Zone (1),"," 01590406, 01591062, 01595149, 01686062~30",Yangon Region,South Dagon
Annawah Min,Wafers [Manu/Dist],"238,Than Lwin St.,Industrial Zone (2)"," 095192060, 0973100448, 098620231",Yangon Region,South Dagon
999,Air Compressor Sales & Manufacturers,"10, Yangon-Insein Rd., Ward (13),"," 095104675, 0973059673, 01521369, 01519549, 01519333, 01521999",Yangon Region,Hlaing
Aye Aye Naing [Ma],Coconuts & Bananas,"46, Melzi Gone St., Ward (7),"," 01536990, 09254233613",Yangon Region,Hlaing
Aung Pann Thee,Longyis,"B Shed, Rm 395, Thein Gyi Market,"," 095105968, 01370622, 01394866 [Res]",Yangon Region,Pabedan
Royal Star,,"44, Thamadeikhti St., Ma Hlwa Gone Htay Kywe Ward,"," 0973143774, 0932337507",Yangon Region,Tarmwe
Aye Chan Moe [Academy],Fashion Shops,"554/555, Bogyoke Aung San St., Ward (5),"," 095073945, 0973008001",Yangon Region,Hlaing Thar Yar
"My Moon Co.,Ltd.",Foodstuffs,"453/238, Than Lwin St., Industrial Zone (2),"," 09448037052, 0973117718, 09450038833",Yangon Region,South Dagon
Zawtika,Umbrellas,"754,Net Mauk St.,Ward (55)", 09790138827,Yangon Region,South Dagon
"Fountain of Youth Co., Ltd.",,"42, San Chaung St.,"," 0949230980, 09798290677",Yangon Region,Sanchaung
RUBY,,"Rm 7, Bldg 10, 1st Flr, Yuzana St., Near Yuzana Plaza,"," 09970817555, 095012686",Yangon Region,Tarmwe
Global Lotus Limited,,"D-17 & 18, Thu Dhamar Rd., Thiri Yadanar Retail/Wholesale Market,"," 09450066870, 09250666266",Yangon Region,North Okkalapa
Strong Force(Forbes Water Purifier),,"275/A,Rm 1,G Flr,Yankin Rd.,Infront Of Golden City,"," 09420169982, 09775008070",Yangon Region,Yankin
"Can-Hui Water Treatment Co., Ltd.",,"Rm 69, Bldg M, Thiri Yadanar Retail/Wholesale Market,"," 09977135999, 09776451056",Yangon Region,North Okkalapa
"J & W Holding Co., Ltd. (Waterlaylay)",,"23, Rm 6/A, 6th Flr, Htan Ta Pin St.,"," 09448008037, 09253676220, 09253676221",Yangon Region,Kamayut
"A & H Development Co.,Ltd.",,"49, 5th Flr, Moe Sandar St., Ward (1),"," 09254298826, 09261009301",Yangon Region,Kamayut
Asia Water Treatment,,"Rm 2, Bldg 4/1,  Shwe Ohn Pin Housing,  (4),"," 018605073, 095048295",Yangon Region,Yankin
Ichiryu,,"746/747, 1st Flr, Kyaung St., Hanthar Yeik Mon Housing,"," 09420255108, 09972854305, 0973197613",Yangon Region,Kamayut
"Yonno Trading Co.,Ltd.",Umbrellas,"Rm S-24, G Flr, Yuzana Plaza,"," 095260833, 09975787833",Yangon Region,Mingalar Taung Nyunt
1221,Mobile Phones & Accessories,"803, Bagan Rd., Shwe Paukkan Ward (12),"," 0943125999, 09790216612",Yangon Region,North Okkalapa 
Apex Water,,"1932, Myit Nge 9th St., Shwe Kyar Pin Ward,"," 09401593593, 0943043956",Yangon Region,Zabu Thiri
3.T.Tun Tun,Real Estate Agents,"84, Lan Thit St., Lower Block,", 0973137041,Yangon Region,Lanmadaw
"Yonno Trading Co.,Ltd.",Umbrellas,"52, Sabei Phyu St., Ward (30),"," 09975787833, 095174802, 018550194, 095260833, 09448009466",Yangon Region,Thingangyun
Y  [Ko] + Yu [Ma],Umbrellas,"Rm 775/776,2nd Flr,Mingalar Market"," 01381474 [Res], 095061137, 0973130015",Yangon Region,Mingalar Taung Nyunt
Yi Yi Oo [Ma],Umbrellas,"1061, Pyi Taw Thar St., Ward (65),", 09260020965,Yangon Region,South Dagon
Ah Shay Gyi,Car Wiring,"82, Yangon-Insein Rd., Ward (2),"," 0973194021, 09420043842",Yangon Region,Mayangone
Kaung Htet Thar,X-ray & Ultrasound Clinics,"432/444, Rm 17, 2nd Flr, Shwe Bon Tha St., Upper Block,"," 01380429, 095153738, 095404042",Yangon Region,Pabedan
"Int'l Marine Centre Medical Yangon, Myanmar",Clinics [Private],"17/1, Kyun Taw Rd., Kyun Taw (South) Ward,", 01524299,Yangon Region,Sanchaung
Ah Mae Thar,Electrical Goods Sales,"22, Bo Min Yaung Rd., Near Gate Haung, Ward (43),", 09450035018,Yangon Region,North Dagon
Ah Lin Yaung,Car Engine Repair,"17 Shed,Rm 21,Bayint Naung Market"," 0931284914, 0931281914",Yangon Region,Mayangone
Ah Lin Yaung [U Maung Ngwe & Sons],Electrical Goods Sales,"34, Myay Ni Gone Zay St., Myae Ni Gone (North) Ward,"," 095402433, 01516562 [Res], 095076307",Yangon Region,Sanchaung
"Accellence Myanmar Co.,Ltd.",Export & Import Companies,"38/A, 1st Flr, Ohn Pin St., Zay Gyi (East) Ward,"," 09795259504, 09795304720",Yangon Region,Kyeemyin Daing
AAA,Air Compressor Sales & Manufacturers,"646, Yangon-Insein Rd., Ward (12),"," 095149882, 0973085695",Yangon Region,Hlaing
Ah Thay Lay,Generators & Transformers Sales/Services & Rental,"8, Baho Rd. (Lower), Corner of Mya Yadanar St.,Ward (2),", 09421054453,Yangon Region,Mayangone
999,Building Materials,"51, G Flr, 54th St., Upper Middle Block,"," 0973102569, 09250277376, 0973125008",Yangon Region,Pazundaung
Ah Lin Yaung,Electrical Goods Sales,"274, Kyaikkasan Rd., Ma Hlwa Gone Htay Kywe Ward,", 0943040462,Yangon Region,Tarmwe
"Amigo's Int'l Co., Ltd.",Water Treatment Systems,"SH-B5 (4), Yadanar Rd., Malikha Housing, 14/Bawamyint Quarter,"," 095025972, 0973087709",Yangon Region,Thingangyun
Ah Lin Thit,Electrical Goods Sales,"10/472, Zar Wai Yar St., (Nga/Ka) Ward,"," 095157447, 09259629798",Yangon Region,Thingangyun
"Accellence Myanmar Co.,Ltd.",Water Treatment Systems,"38/A, Ohn Pin St.,",,Yangon Region,Kyeemyin Daing
"Law Ka Thit Family Co., Ltd.",,"284, G Flr, 11th St., Thamaing, Ward (1),", 09960100065,Yangon Region,Mayangone
Pure Show Room,,"205/B, Bo Soon Pat St.,"," 0973362266, 01381969",Yangon Region,Pabedan
Play Young,,"3, G Flr, Maha Zeya St., Ward (7),", 09786258065,Yangon Region,Pazundaung
"Aquatornics Engineering Co., Ltd.",Water Treatment Systems,"100, Set Hmu 3rd St., Myittar Nyunt Ward,"," 09456337840, 09788242208",Yangon Region,Tarmwe
Amd,,"20/A, Ywar Lel St.,"," 0973176248, 01565797",Yangon Region,Thingangyun
"Home Medicare Service [Global Service Interlink Co.,Ltd.] [G.S.I]",Clinics [Private],"30, Shwe Taung Dan St., Lower Block,"," 01225791, 095029486, 09791973571, 0973144525, 09421055085",Yangon Region,Lanmadaw
ENT,Clinics [Private],"D Shed, 4th Flr, Thein Gyi Market,", 01240600 Ext.4497,Yangon Region,Latha
GEC,Electrical Goods Sales,"C Shed, Rm O/35, G Flr, Thein Gyi Market,"," 0931069184, 01382893 [Office]",Yangon Region,Pabedan
Ei Ei,Shoe Shops,"C Shed, Rm O/27, G Flr, Thein Gyi Market,"," 01371800 Ext.333, 095057088",Yangon Region,Pabedan
Htet Asia,Clinics [Special],"341, Shwe Bon Tha St., Upper Block,"," 01374735, 01242471",Yangon Region,Pabedan
City Point,Fashion Shops,"385,Shwe Gon Daing Rd.,Near Tarmway Roundabout,Bo Sein Hman Ward"," 095032570, 09420014744",Yangon Region,Bahan
"Salika Trading Co., Ltd.",,"12, Yadanar St.,  Kyaikkasan Ward"," 0943096480, 0973175875",Yangon Region,Bahan
"Creation Strength Co.,Ltd.",Export & Import Companies,"19/B, Parami Rd., Ward (5),"," 09421116000, 0943089323, 095093999, 09450055777",Yangon Region,South Okkalapa 
Cho,Fashion Shops,"353, Thudat Thana St., Corner of Pyi Tharyar St.,16/3 Ward,", 09420299984,Yangon Region,Thingangyun
Eaiksitan,Batteries & Accessories Sales,"Bldg 2, Rm 005, G Flr, Lower Kyee Myin Daing Rd., Golden Butterfly Housing,"," 09425028999, 095151668, 01228005, 01504295",Yangon Region,Kyeemyin Daing
Arr Thit,Concrete Products,"489/B, Min Ye Kyaw Swar Rd., Ward (133),"," 095038785, 0973110209",Yangon Region,East Dagon
"Aqua Comrade Engineering Co.,Ltd.",Pipes & Pumps Accessories,"Bldg A, Tharyar Aye Lane (1), Thamaing, Ward (3),"," 01522996, 09261113842, 0973164011",Yangon Region,Mayangone
Annawah Tun,Electrical Goods Sales,"37, Baho Rd. (Lower), Corner of Bawga Theiddi St.,Near Thamaing Myoe Thit Butar, Ward (2),"," 01522954, 098616307, 09421167642",Yangon Region,Mayangone
Annawah,Pipes & Pumps Accessories,"6 Shed, Rm 9, Pearl 5th St., Sawbwargyi Gone Warehouses,"," 01655080, 095125345, 095006153, 0931042551, 09250559994",Yangon Region,Insein
Arr Mhan,Well Drillers,"537, Khay Mar Thi Rd., Ga Gyi Ward,"," 09450026413, 0973089722",Yangon Region,North Okkalapa 
Ai Ko,Electrical Goods Sales,"109, Anawrahta Rd.,", 01296910,Yangon Region,Pazundaung
AM,Electronic & Electrical Home Appliance,"124, Bawdi St., Pein Nel Gone Ward,", 09786665894,Yangon Region,Insein
Ahli,Bathroom & Toilet Accessories,"85 Shed, Rm 6, Nilar 9th St., Sawbwargyi Gone Warehouses,"," 01644901, 01644902, 01644975",Yangon Region,Insein
Cho,Rice Merchants,"141, Zizawa St., Ward (2),"," 01652970, 09450011552",Yangon Region,North Okkalapa 
Ei [Ma],Fancy Stores,"1006, Aung Theiddi St., Phawh Kan Ward,", 0931765605,Yangon Region,Insein
Arrow Trade Int'l Ltd.,Export & Import Companies,"161, Bo Soon Pat St., Upper Middle Block,"," 01245819, 01374586, 095137608~9, 095134909, 095170753",Yangon Region,Pabedan
30th Street Clinic,Clinics [Special],"295, Bo Soon Pat St., Upper Block,"," 01371611~12, 01248107, 01387710",Yangon Region,Pabedan
Cherry Pann,Bedroom Accessories,"Bldg 10, Rm 002, Cherry Lane., Kyan Sit Thar Housing,"," 095202337, 09785202337",Yangon Region,Hlaing Thar Yar
Aung,Clinics [Private],"749, Maha Bandoola Rd.,"," 01226318, 0973077423",Yangon Region,Lanmadaw
Bo Aung Kyaw,Clinics [Private],"106/B, Bo Aung Kyaw St., Lower Block,"," 09448021641, 09789489747",Yangon Region,Botahtaung
AMW [Water Treatment Engineering],Water Treatment Systems,"541,Thu Dhamar Rd.,Za Gwel Ward"," 09423741445, 0973252597, 0949209007, 09425020855, 09250876633",Yangon Region,North Okkalapa 
Kant Kaw Oo,Fashion Shops,"4/B, Shwe Zayti St., Kone Ta La Paung Bus Stop, Kone Ta La Paung,"," 09790134886, 095103706",Yangon Region,Mingalardon
Chan Thar,Fashion Shops,"294/A, Ta Pin Shwe Htee St., Ward (1),", 09420014377,Yangon Region,Hlaing Thar Yar
Htarwara,Toy Shops,"186, May Darwi Rd., Ga Gyi Ward,"," 09792446929, 09782883823",Yangon Region,North Okkalapa 
HHA Metal Production,Glass Plates & Mirrors,"112/113, Pan Laung St., Industrial Zone (2),"," 01590019, 0973007144, 01549896, 095003784, 09420124393",Yangon Region,South Dagon
Thidar Min,Clinics [Private],"398, Shwe Bon Tha St., Upper Block,", 01246422,Yangon Region,Pabedan
"Hein Myanmar Co.,Ltd.",Export & Import Companies,"167, Set Hmu 3rd St., Myittar Nyunt Ward,"," 01540214, 095101167, 018604324, 095101168",Yangon Region,Tarmwe
Ingyin Pan,Fashion Shops,"38, Aung Zeya St., Corner of Aung Mingalar St.,Ward (4-North),"," 09254450631, 0973159843",Yangon Region,Thaketa
"Aung Gabar Co.,Ltd.",Fertilizers,"101, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone (1),"," 095035999, 01682763, 01684342, 01684346, 01701513",Yangon Region,Hlaing Thar Yar
JOY,Longyis,"286, Kyaikkasan Rd., Ma Hlwa Gone Htay Kywe Ward,"," 01546141, 01543555, 01430175, 095067099",Yangon Region,Tarmwe
Golden Family,Men's Wear Shops,"Bldg 1, C Shed, Rm 14, G Flr, Thein Gyi Market,"," 095044190, 01242899, 0973020877, 0931066331",Yangon Region,Pabedan
Ingyin,Fashion Shops,"367, Padauk St., Die Su Village,", 0973008125,Yangon Region,Hlaing Thar Yar
"Golden Five Trading Co.,Ltd.",Export & Import Companies,"3rd Flr, Thiri Mingalar Old Market,"," 01212355, 01212202",Yangon Region,Kyeemyin Daing
Aung Aung,Electrical Goods Sales,"875/A, Shukhin Thar Rd., Near Dhamar Yone Bus Stop, Ward (10-South),"," 0973065906, 0943043287",Yangon Region,Thaketa
"Dream Media Trade Co.,Ltd.",Export & Import Companies,"1/Nagyi, Pan Yite St., (Nga/Ka) Ward,"," 09960798188, 09784567666, 09964567999",Yangon Region,Thingangyun
Aung Say Paing,Laser Cutting Machines,"293, Min Nandar Rd., Myo Thit Ward,"," 09781555666, 09781666555, 0973131333, 09975151555",Yangon Region,Dawbon
Harrier,Fashion Shops,"Bldg 9, Rm 03, Hnin Si St., Yuzana Mingalar City Housing,"," 01203110, 01200471, 018619013",Yangon Region,Mingalar Taung Nyunt
Aung,Bathroom & Toilet Accessories,"63/66, 28th St., Lower Middle Block,"," 0973033141, 095107573",Yangon Region,Pabedan
Aung,Building Materials,"6/B, Bayint Naung Rd., Ward (6),"," 0973061237, 019615020",Yangon Region,Shwe Pyi Thar
Aung,Electrical Goods Sales,"Rm 5/6, Mingalardon Zay St., Mingalardon Zay Ward,"," 01637383, 0973128688",Yangon Region,Mingalardon
Aung Family,Cement,"Rm 2, Pyi Htaung Su Rd., Marlar Bldg, Ward (26),"," 09425286616, 095135137, 095501337, 09972166639",Yangon Region,South Dagon
Aung,Electrical Goods Sales,"3/D, Lay Daunt Kan Rd., Kan Taw Mon Housing,"," 01571568, 0943202228",Yangon Region,Thingangyun
Aung Chan Thar,Bathroom & Toilet Accessories,"329, Tapin Shwe Htee St., Ward (1),"," 095045176, 0973060310, 01644323, 019688835, 0930254045, 0932181572",Yangon Region,Mayangone
Aung,Electrical Goods Sales,"1023, Pyi Htaung Su Rd., Near 7/8 Junction, Ward (38),", 0973090754,Yangon Region,North Dagon
Baby Khin,Video Producers & Distributors,"215, 1st Flr, 35th St., Upper Block,", 09450021753,Yangon Region,Kyauktada
Aung Tine Kyaw,Video Producers & Distributors,"214/215, 35th St., Upper Block,"," 01373430, 01389073",Yangon Region,Kyauktada
Aung Nyein [U],Building Materials,"14, Baho Rd., Than Tadar Ward,"," 09455204429, 09425289129, 09796570830",Yangon Region,Sanchaung
Aung Tharaphu,Video Producers & Distributors,"195, 1st Flr, 36th St., Upper Block,"," 09798197335, 0943068544, 09798197334",Yangon Region,Kyauktada
Dream World,Photocopying & Duplicating Services,"Rm 4, Zingama Rd., U.S.D.A Shop Room, Ward (2-North),", 0949317548,Yangon Region,Thaketa
Aung Gyi Pwar,Video Producers & Distributors,"210/2, 1st Flr, 35th St., Upper Block,"," 09250012760, 095144609",Yangon Region,Kyauktada
La Pyae,Soft Drinks/Juices & Beverages,"14, U Ba Han St., Infront Of Thingangyun Education Office, (Nga/Kha) Ward,"," 018579401, 09254379629",Yangon Region,Thingangyun
Kyaw Kyaw [U] + Thin Thin Naing [Daw],Electronic Equipment Sales & Repair,"Rm 545, Yar Yee Mingalar Market,"," 0933351217, 095028363",Yangon Region,Mingalar Taung Nyunt
Khin Oo [U],Fashion Shops,"Bldg 77, Rm 002, G Flr, Yadanar Pon 1st St., Yadanar Pon Housing,", 0973024810,Yangon Region,Thaketa
Aung,Electrical Goods Sales,"Bldg 1/2, Rm 6, Yadanar Mon St., Bayint Naung Housing,"," 095184215, 01531271",Yangon Region,Hlaing
Khin Ohn Myint,Toy Shops,"184, Mya Yadanar St., Corner of Mya Yadanar 6th St.,Kha Ward,"," 095091880, 01691989, 01692463",Yangon Region,North Okkalapa 
Aung Pyae Sone,Video Producers & Distributors,"239, 35th St., Upper Block,"," 01252391, 01379575, 0973001829, 0973052454",Yangon Region,Kyauktada
Alpha,Video Producers & Distributors,"242, 2nd Flr, 35th St., Upper Block,"," 09260441532, 09795222001",Yangon Region,Kyauktada
Kyaw Kyaw [U],Electrical Goods Sales,"Rm 145, 2nd Flr, Shwe Mingalar Market,"," 095163403, 09785163403, 09961181222",Yangon Region,Mingalar Taung Nyunt
Kyar Ngar Kaung,Mobile Phones & Accessories,"Rm 12/13/14, Bogyoke Aung San St., Day Care Centre Compound, Ward (2),", 0943023568,Yangon Region,Hlaing Thar Yar
Akarit,Video Producers & Distributors,"225, 35th St., Upper Block,", 09250507149,Yangon Region,Kyauktada
Khin Khin Win [Daw],Batik,"886, Thamaing Butar Yon 2nd St., Ward (1),", 09448045557,Yangon Region,Mayangone
Chit Chit,Video Editing,"70,Mandalay St.,Kan Daw Kalay (East) Ward", 01387218,Yangon Region,Mingalar Taung Nyunt
Dana Moe,Video Editing,"107, 2nd Flr, 32nd St., Upper Middle Block,"," 095132235, 095057757, 01386592",Yangon Region,Pabedan
"Excellent Creation Co.,Ltd.",Music Production,"162/164, 2nd Flr, Pansoedan St., Middle Block,"," 01254560, 01254564",Yangon Region,Kyauktada
Khaing Khant Thu,Clocks & Watches Sales,"Bldg 45, Rm 2/3, Anawrahta Rd., Shwe Kantharyar Shop House,"," 09795216500, 0943163764, 09790133610",Yangon Region,Hlaing Thar Yar
Kaung [U],Longyis,"B Shed, Rm 215, Thein Gyi Market,"," 0973157645, 01371822 Ext.134, 01370622 Ext.134",Yangon Region,Pabedan
Kaung Htet Oo,Fashion Shops,"420/B, Bo Aung Kyaw St., Ward (7),"," 0932198982, 09421019342",Yangon Region,Hlaing Thar Yar
Aung Aung,Video Editing,"189, 35th St., Upper Middle Block,"," 01253885, 0930359410, 01389554 [Res]",Yangon Region,Kyauktada
Dhama Ah Lin,Video Editing,"89, Eaik Sar Thaya St., Pathein Nyunt Ward,"," 09795252966, 09250502259, 09970039133",Yangon Region,Tarmwe
Maung Maung Lwin [Ko] [Thi Paw] & Brothers,Fashion Shops,"23/25, 136th St., Ma U Gone Ward,"," 01205848, 095089053, 095093893, 09254734734",Yangon Region,Tarmwe
Miba Yin Ngwae,Fashion Shops,"7/11, Zay St., Yan Pyae Ward (3),"," 0973053274, 09795729713, 09262305544, 09795729608, 09795729704",Yangon Region,Thaketa
Rainbow,Video Editing,"18, Rm 2, Sin Yae Twin 1st St.,"," 095060986, 09425001548, 01516295",Yangon Region,Kamayut
"Min Tun Trading Co.,Ltd.",Export & Import Companies,"3/22, Strand Rd., River View Garden Housing,"," 01211456, 09794663832, 09794663833",Yangon Region,Ahlone
Manaw Phyu,Fashion Shops,"72, Seikta Thukha St., Pathein Nyunt Ward,"," 01554392, 09250656842",Yangon Region,Tarmwe
Cag Media House,Video Editing,"103, Sin Min St., Sin Min Ward,"," 09257070100, 09257070200",Yangon Region,Ahlone
Madinar [Aung],Rain Coats,"8, 3rd Flr, 138th St., Ma U Gone Ward,", 0973166500,Yangon Region,Tarmwe
