name,street,category,township,contact,state
Aung Baw [U],"16, Pan Chan Kyaung St., Ward (13),",Lotteries,Hlaing(Hlaing),tel: 09-795569336,Yangon Region
Aung,"902, Kanaung Min Thar Gyi Rd., Corner of Kyan Sit Thar St.,Ward (86),",Lotteries,Dagon Seikkan(Dagon Seikkan),"tel: 09-450011656,tel: 09-790149296",Yangon Region
Aung Kyaw Thein,"89/91, Myaung Gyi St.,",Lotteries,Pazundaung(Pazundaung),"tel: 01-201143,tel: 09-791532126",Yangon Region
April,"56/A, Baho Rd., Ward (2),",Lotteries,Mayangone(Mayangone),tel: 09-790189410,Yangon Region
Ah Mae Eain,"1609, Lower Mingalardon Rd., Phawh Kan Ward,",Lotteries,Insein(Insein),tel: 09-401567790,Yangon Region
Ayeyarwady,"520, 28th St., Middle Block,",Umbrellas,Pabedan(Pabedan),"tel: 01-250265,tel: 09-5117708,tel: 09-421095992",Yangon Region
Aung Zeya,"Aung Zeya St.,Ya Ya Ka Shop Room,Ward (4-North)",Libraries,Thaketa(Thaketa),"tel: 09-250916619,tel: 09-798508491",Yangon Region
Arr Mhan,"49, 26th St., Lower Middle Block,",Locks,Pabedan(Pabedan),"tel: 01-377020,tel: 09-5261321,tel: 01-385955",Yangon Region
Aung Kyaw Oo,"Rm 9/10, Parami Rd., B.E.M.S (7) Shop Room, Ward (5),",Car Doors & Liner Sales & Services,South Okkalapa (South Okkalapa ),"tel: 09-250503961,tel: 09-420003455,tel: 09-73088123,tel: 09-73244343",Yangon Region
"Myanmar Cable Terminals Co.,Ltd.","293, Maha Bandoola Garden St., Upper Block,",Electrical Goods Sales,Kyauktada(Kyauktada),"tel: 01-371068,tel: 01-374086,tel: 01-377272,tel: 09-5134749",Yangon Region
Lin Yaung Chi,"1099, Bogyoke Aung San Rd., Ward (19),",Libraries,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 09-252571686,tel: 09-773840421",Yangon Region
"Maha Power Myanmar Co.,Ltd.","204, Bawga St., 9 Mile, Ward (5),",Electrical Goods Sales,Mayangone(Mayangone),"tel: 01-664344,tel: 09-73143488",Yangon Region
Library & Archives of Buddhism,"Shwe Dagon Pagoda (West Entrance),",Libraries,Dagon(Dagon),"tel: 01-371090,tel: 09-73091015",Yangon Region
Aung Gaday Hein & Shwe Lamin & Myat Su Gaday,"14, Yadanar Rd., 16/2 Ward,",Lotteries,Thingangyun(Thingangyun),tel: 09-425320559,Yangon Region
Aye Aye Than [Daw],"15/2, Than Thu Mar Rd., Ward (14/1),",Lotteries,South Okkalapa (South Okkalapa ),tel: 01-8500057,Yangon Region
Aung Family,"39, Thamaing Butar Yon Rd., Ward (2),",Lotteries,Mayangone(Mayangone),tel: 09-78943543,Yangon Region
Lawka Ahmon,"30/34, Rm 2/B, 1st Flr, 39th St., Lower Block,",Libraries,Kyauktada(Kyauktada),"tel: 01-373852,tel: 01-380959,tel: 01-565077,tel: 01-662219,tel: 09-5119710",Yangon Region
Ah Mae Eain,"465/469, Maha Bandoola Rd.,",Lotteries,Pabedan(Pabedan),"tel: 01-385167,tel: 01-526543 [Res]",Yangon Region
Aung Su Htoo Paing,"Kyoe Tadar St., Corner of Thu Nandar Rd., Ta Ta Lin Cheik Ward,",Lotteries,North Okkalapa (North Okkalapa ),"tel: 09-254124189,tel: 09-799484951",Yangon
Aung Setkyar & Kaday Kywel,"184/190, 27th St., Upper Block,",Lotteries,Pabedan(Pabedan),"tel: 01-242257,tel: 01-252663",Yangon Region
Aung Su Htoo Paing,"159, Baho Rd., Ward (3),",Lotteries,Kamayut(Kamayut),"tel: 09-73094498,tel: 09-5102084",Yangon Region
Aung Zabu,"597, Bonmar St., Corner of Bonmar 1st St.,Za Myin Zwel Ward,",Lotteries,North Okkalapa (North Okkalapa ),tel: 09-799568970,Yangon Region
Aye Kyi [Ma],"26/A, Melzi Gone St., Ward (7),",Lotteries,Hlaing(Hlaing),tel: 09-421096571,Yangon Region
S.A.S,"Rm C/117,2nd Flr,Shwe Pyae Sone Market",Locks,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-206206 Ext.3117,tel: 09-73011276,tel: 09-252395557",Yangon Region
S.A.S,"Rm 133,4th Flr,Mingalar Market",Locks,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-5067085,tel: 09-73011276",Yangon Region
Sein Kabar,"Rm 388/394, 3rd Flr, Shwe Mingalar Market, Car Parking (1),",Locks,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-73013593,tel: 09-450584651",Yangon Region
"Aung Thet Tun Electrical & Machinery Trading Co.,Ltd.","Bldg L, Rm 48/49, Thiri Yadanar Retail/Wholesale Market,",Machinery & Spare Parts Dealers,North Okkalapa (North Okkalapa ),"tel: 09-73109605,tel: 09-31231124,tel: 09-73100362,tel: 09-5189036,tel: 09-970606000,tel: 09-5086853",Yangon Region
Nay La,"968/C, Pyay Rd., Saw Bwar Gyi Gone Ward,",Locks,Insein(Insein),"tel: 01-656740,tel: 01-651304,tel: 01-656743,tel: 01-656741,tel: 09-5109827",Yangon Region
"AD Co.,Ltd.","84, Daw Thein Tin St., Kan Daw Kalay (North) Ward,",Locks,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-394396,tel: 01-394698,tel: 01-256031,tel: 01-394414,tel: 09-977921644,tel: 09-5502773,tel: 09-5187113",Yangon Region
Myo Min [Ko] & Brothers,"E Shed, Rm 29, G Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 09-254197840,tel: 01-240600 Ext.4456,tel: 09-450004992",Yangon Region
Mingalar,"E Shed, Rm 77/78, G Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 09-5028943,tel: 09-785128943,tel: 01-240600 Ext.4471,tel: 01-376399 [Res],tel: 09-73130276",Yangon Region
Aung Set Paing,"198, 27th St., Upper Block,",Lotteries,Pabedan(Pabedan),tel: 09-5104881,Yangon Region
S.A.S,"Rm 579, 3rd Flr, Shwe Mingalar Market, Car Parking (1),",Locks,Mingalar Taung Nyunt(Mingalar Taung Nyunt),tel: 01-206206 Ext.317,Yangon Region
Nay La,"31 Shed, Rm 7, Kyauk Sein 7th St., Sawbwargyi Gone Warehouses,",Locks,Insein(Insein),"tel: 01-640001,tel: 09-30046913",Yangon Region
Aye Aye Myint [Ma],"657/A, Bo Aung Kyaw St., Ward (14),",Lotteries,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-257273859,tel: 09-31571123",Yangon Region
Aung Myittar,"Maha Bandoola St., Ward (2),",Lotteries,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-250055127,Yangon Region
Japan Culture House [Japan Libraries],"Bldg C, Rm 322/B, Kaba Aye Pagoda Rd., Pearl Condo,",Libraries,Bahan(Bahan),"tel: 09-459148405,tel: 09-43051272",Yangon Region
Aung Mingalar,"91, Aung Mingalar St., Kyauk Myaung Gyi Ward,",Lotteries,Tarmwe(Tarmwe),"tel: 01-549327,tel: 01-545121",Yangon Region
Holy Cross Theological College & Holy Cross Church,"104, Inya Rd., Ward (9),",Libraries,Kamayut(Kamayut),"tel: 01-534658,tel: 01-536618",Yangon Region
Indian Embassy Library,"545/547, 36th St., Lower Block,",Libraries,Kyauktada(Kyauktada),"tel: 01-243972 Ext.125,tel: 01-391219 Ext.125",Yangon Region
Naing Family,"E Shed, Rm 42/45, G Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 09-73097717,tel: 09-73162977,tel: 01-240600 Ext.4316,tel: 01-254371 [Res],tel: 09-31061077",Yangon Region
"Kaung Set Nyi Nyi Trading Co.,Ltd.","Bldg A, Rm 3, 2nd Flr, Waiza Yan Tar Rd., Shwe Ingyin Yeik Mon Housing,",Doors & Shutters Sales,Thingangyun(Thingangyun),tel: 09-5000461,Yangon Region
"Z & H Int'l Co.,Ltd.","Bldg 24, Rm 01/04, G Flr, Thiri Mingalar Lane (5), Pyi Yeik Mon Housing,",Locks,Kamayut(Kamayut),"tel: 09-798483063,tel: 09-73086535,tel: 09-250160369",Yangon Region
Karunar,"277, Say Wah Set Yone St., Near BPI Bus Stop, Gyoh Gone (West) Ward,",Libraries,Insein(Insein),"tel: 01-646397,tel: 01-646474",Yangon Region
Daw Kyi People Universities,"Pauk Kan St., Corner of Shwe Pyi Taw Thar Kan St., Shwe Paukkan Ward (21),",Libraries,North Okkalapa (North Okkalapa ),"tel: 09-2052060,tel: 09-421141673",Yangon Region
Myo Min Tun,"543, Maha Bandoola Rd.,",Decorators & Decorating Materials,Pabedan(Pabedan),"tel: 09-250142423,tel: 09-792278692,tel: 09-250641931",Yangon Region
I.C.E Youth,"76, 2nd Flr, Hledan St., Middle Block,",Libraries,Lanmadaw(Lanmadaw),tel: 09-795361726,Yangon Region
Future Stars,"273/275, U Phoe Hlaing 1st St., No(6) Co-operative Bus Stop, Ward (14),",Libraries,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-254155671,tel: 09-73217097",Yangon Region
Shwe Kabar,"E Shed, Rm 95, G Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 01-242488 Ext.3064,tel: 09-43076498",Yangon Region
Guardial,"426/A, Mya Lay St., Township Auditor Office Shop Room, Ward (14/1),",Lotteries,South Okkalapa (South Okkalapa ),tel: 09-5185759,Yangon Region
Chit Thu Nge Chin,"52, Than Thu Mar Rd., (Ga-Nge) Ward,",Lotteries,Thingangyun(Thingangyun),"tel: 01-8562498,tel: 09-5153872",Yangon Region
Chit Kyi Yae & Kabar Thit [Main] [Shwe Myanmar],"168/188, Rm 2, 27th St., Upper Block,",Lotteries,Pabedan(Pabedan),"tel: 09-73016754,tel: 09-73202338",Yangon Region
Kabar Thit,"11, Myittar Rd., Ward (12),",Lotteries,South Okkalapa (South Okkalapa ),tel: 01-572803,Yangon Region
Nan Win Su Aung,"Pyi Htaung Su Yeikthar St., Yangon Children Hospital,",Libraries,Dagon(Dagon),"tel: 01-222807~10,tel: 09-31287908,tel: 09-73220152",Yangon Region
Tin Wai [Ko],"22/A, Yadanar Rd., 16/2 Ward,",Locks,Thingangyun(Thingangyun),"tel: 09-31692809,tel: 09-796149234",Yangon Region
Pann Pyoe Latt [Youth Centre],"417/A, Aung Myittar St., Ward (7),",Libraries,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-795204761,tel: 09-450040265",Yangon Region
Myanma Community Promotion [MCP],"277, Say Wah Set Yone St., Gyoh Gone (West) Ward,",Libraries,Insein(Insein),"tel: 01-646397,tel: 09-5112839,tel: 09-73254254,tel: 09-8610562",Yangon Region
Myanmar Development Resource Centre Libraries [Tun Foundation Bank],"224/B, U Wisara Rd., Shwe Gon Daing (West) Ward,",Libraries,Bahan(Bahan),"tel: 01-374567,tel: 09-254347043",Yangon Region
Nawaday,"1154, Min Ye Kyaw Swar Rd., Ward (45),",Libraries,North Dagon(North Dagon),"tel: 09-31091924,tel: 09-32006003,tel: 09-73090887",Yangon Region
Lu Mate Swe,"9, Pyi Htaung Su Rd., Ward (26),",Libraries,South Dagon(South Dagon),tel: 09-795771756,Yangon Region
Myanmar Chinese National Library,"628/A, 1st Flr, Maha Bandoola Rd.,",Libraries,Latha(Latha),tel: 01-701094,Yangon Region
Mandalay,"216, Aung Myittar 4th St., Ward (1),",Libraries,Hlaing(Hlaing),"tel: 09-799647549,tel: 09-256116727",Yangon Region
Lu Nge Shae Saung,"55, Nat Mauk St., Ward (55),",Libraries,South Dagon(South Dagon),"tel: 09-254478553,tel: 09-792282911",Yangon Region
Aye Nyein Chan Thar,"200, 27th St., Upper Block,",Lotteries,Pabedan(Pabedan),"tel: 09-5121931,tel: 09-73087809",Yangon Region
Aye Nyein Chan Thar,"7, May Darwi Rd., Sa Lone Ward,",Lotteries,North Okkalapa (North Okkalapa ),"tel: 01-9699595,tel: 09-5121931",Yangon Region
Aye Myittar,"141/B, Bogyoke Aung San Rd., Near Kaung Thone Lone Bus Stop, Ward (5),",Lotteries,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 09-420215143,tel: 01-611608,tel: 09-49233978",Yangon Region
Aye Nyein Chan Thar,"296, Anawrahta Rd.,",Lotteries,Pabedan(Pabedan),"tel: 09-5121931,tel: 09-73087809",Yangon Region
Aye Mu [Daw],"Yae Nant Thar St., Near Yae Nant Thar Market Compound, Thuwana/24 Ward,",Lotteries,Thingangyun(Thingangyun),tel: 09-425284977,Yangon Region
SSK Key World,"Rm 73,4th Flr,Mingalar Market",Locks,Mingalar Taung Nyunt(Mingalar Taung Nyunt),tel: 09-43133986,Yangon Region
Tin Hlaing [U],"E Shed, Rm 86, G Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 01-240600 Ext.4437,tel: 09-5150156,tel: 01-242775 Ext.2122,tel: 09-73155451,tel: 01-643727 [Res]",Yangon Region
Hitachi Critical Facilities Protection Pte.Ltd,"483, Rm 10/A, 10th Flr, Aye Yeik Thar 2nd St., Aye Yeik Thar Condo, Saya San Ward,",Lightning Protection & Grounding Systems,Bahan(Bahan),"tel: 01-8603741,tel: 01-557947 Ext.8111,tel: 09-31734966 [Office]",Yangon Region
"Helta Light Engineering Co.,Ltd.","100/A,G Flr,Ngu War St.,Htar Nar Ward",Electricians & Electrical Contractors,Ahlone(Ahlone),"tel: 09-43179599,tel: 09-43179588,tel: 09-797757216,tel: 09-250506678",Yangon Region
Aye Nyein Chan Thar,"57, Parami Rd., Ward (8),",Lotteries,Yankin(Yankin),"tel: 09-5121931,tel: 09-73087809",Yangon Region
Aung Thet Tun,"48/49, Thiri Yadanar Retail/Wholesale Market Compound,",Lightning Protection & Grounding Systems,North Okkalapa (North Okkalapa ),"tel: 09-73100362,tel: 09-5189036",Yangon Region
"CRC Customers` Right Choice(Myanmar)Co.,Ltd","95/105, Rm D2, Min Ye Kyaw Swar Rd.,",,,"tel: 09-451183192,tel: 09-451183193",Lanmadaw
"K.I.G Products Co., Ltd.","Rm 3A, Bldg 33, Lay Daunt Kan Rd.,",,,"tel: 09-795559604,tel: 01-573835,tel: 09-250509950",Thingangyun
Khin Maung Lwin [U],"119, Rm R/2, Waziyar St., Corner of Thudhamar Rd.,Sa Lone Ward,",Lotteries,North Okkalapa (North Okkalapa ),"tel: 09-30326914,tel: 09-250015968",Yangon Region
"Univel Myanmar Co.,Ltd.","60/G/1, U Ba Han Lane, Chaw Dwin Gone, Ward (10),",Locks,Mayangone(Mayangone),"tel: 09-968697593~4,tel: 09-778324286~7",Yangon Region
Ramakrishna Temple,"230, Botahtaung Pagoda St., Upper Middle Block,",Libraries,Pazundaung(Pazundaung),tel: 01-291980,Yangon Region
"Gunkul Engineering Supply Co.,Ltd.","437/A, Pyay Rd., Ward (8),",Electrical Goods Sales,Kamayut(Kamayut),"tel: 01-502016~18,tel: 01-536415,tel: 01-534846",Yangon Region
Khit Thit,"168/188, Rm 12, 27th St., Upper Block,",Lotteries,Pabedan(Pabedan),"tel: 01-241970,tel: 01-248090",Yangon Region
Sar Pay Mwae Thu,"73, Sabei Chan 1st St., Ward (11),",Libraries,Hlaing(Hlaing),tel: 09-73017443,Yangon Region
Pyin Nyar Ah Lin,"22/24, Pansoedan St., Lower Block,",Libraries,Kyauktada(Kyauktada),tel: 01-372239,Yangon Region
Pyi Thu Ah Lin,"Padauk St., Yuzana Garden City Housing, B Block,",Libraries,Dagon Seikkan(Dagon Seikkan),"tel: 09-73139769,tel: 09-421082896",Yangon Region
Pyi Thu Sar Kyie Tike,"Kyauk Myaung St., Corner of Myo Thit 1st St.,Kyauk Myaung (Upper) Ward,",Libraries,Tarmwe(Tarmwe),tel: 09-795969686,Yangon Region
Public Library [Information & Public Relations Dept.] [Yankin],"1226, Thitsar Rd., Corner of Kone Baung St.,Ward (6),",Libraries,South Okkalapa (South Okkalapa ),tel: 01-2330235,Yangon Region
Public Libraries [Sar Pay Beikman],"529/531, 1st Flr, Merchant Rd., Lower Block,",Libraries,Kyauktada(Kyauktada),tel: 01-381447,Yangon Region
"Univel Myanmar Co.,Ltd.","Rm A/6, Upper Pansoedan Rd., Aung San Stadium (East Wing), Hpa-Sa-Pa-La Ward,",Security Systems & Equipment,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-250199345,tel: 09-73143303",Yangon Region
Pyinnya Beik Mhan,"Rm 4/5, G Flr, Anawrahta Rd., Anawrahta Housing,",Libraries,Pazundaung(Pazundaung),"tel: 01-297330,tel: 09-420125077",Yangon Region
Pyinnya Beik Mhan,"Aung Tha Pyay St.,Near Ward Administration Office,Ward (7-East)",Libraries,Thaketa(Thaketa),tel: 09-254007093,Yangon Region
Mahaw Thadar,"Aung Myittar St., Near Ya Ya Ka Office, Ward (4-South),",Libraries,Thaketa(Thaketa),tel: 01-9190405,Yangon Region
Thein Maung [Ko],"Rm 35/36/37,3rd Flr,Mingalar Market",Batteries [Dry Cell],Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-206206 Ext.3041,tel: 09-5094272,tel: 09-252206821",Yangon Region
Thidar,"Rm C/108~110, 2nd Flr, Shwe Pyae Sone Market,",Electronic Equipment Sales & Repair,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-206206 Ext.3108,tel: 09-5144831,tel: 09-5144059",Yangon Region
Pyinnyar Tazaung,"1/3, Yan Aung St., Sanchaung (North) Ward,",Libraries,Sanchaung(Sanchaung),"tel: 01-518051,tel: 01-539738,tel: 01-510917,tel: 01-518137",Yangon Region
Thidar,"Rm 132,4th Flr,Mingalar Market",Electrical Goods Sales,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-73551518,tel: 09-5144831,tel: 09-5144059",Yangon Region
Win Sein [U] + Khin Lay Myint [Daw],"E Shed, Rm 9/64, G Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 09-796344669,tel: 01-240600 Ext.4553,tel: 01-245995 [Res]",Yangon Region
Thein Maung [U],"Rm 711, 3rd Flr, Shwe Mingalar Market, Car Parking (1),",Batteries [Dry Cell],Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-5094272,tel: 09-252206821",Yangon Region
Thein Maung [U],"Rm 711, 3rd Flr, Shwe Mingalar Market, Car Parking (1),",Batteries [Dry Cell],Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-252206821,tel: 09-5074272",Yangon Region
Township Public Library,"Bldg B/1, Pyay Rd., Anawrahta Housing,",Libraries,Kamayut(Kamayut),tel: 01-525237,Yangon Region
Kaung Myat San,"Rm 8, Min Gyi Rd., Railways Office Compound, Nant Thar Gone Ward,",Lotteries,Insein(Insein),"tel: 09-30275474,tel: 09-451255969",Yangon Region
Kaung Su Kywel,"Bldg 26, Rm 003, 5th St., Yuzana Garden City Housing, B Block,",Lotteries,Dagon Seikkan(Dagon Seikkan),tel: 09-73064080,Yangon Region
Thuta Yeik Thar,"179, 38th St., Upper Middle Block,",Libraries,Kyauktada(Kyauktada),"tel: 09-5184939,tel: 09-32220889,tel: 09-32331122",Yangon Region
Thuta Bank,"Htuparyon St.,Corner of Htu Par Yone 12th St.,Htu Par Yon Ward (1)",Libraries,Thaketa(Thaketa),"tel: 09-255760327,tel: 09-423726968",Yangon Region
Thuta Bank,"14/15, 1st Flr, Aung Myittar St., Ward (1),",Libraries,Hlaing(Hlaing),tel: 09-420075208,Yangon Region
