state,township,category,name,contact,street
Yangon Region,Mingalar Taung Nyunt,Flowers & Shrubs [Artificial],Mingalar," 0973032061, 09425019589","Rm 264/G/4, G Flr, Mingalar Mon Market,"
Yangon Region,Dagon,Flowers & Shrubs [Artificial],Ah May Thaung, 095500517,"Rm 3, Shwe Dagon Pagoda (North Entrance),"
Yangon Region,Dagon,Flowers & Shrubs [Artificial],May Myint [Ma]," 09421098823, 0930256441","Rm 18, Shwe Dagon Pagoda (North Entrance),"
Yangon Region,Bahan,Flowers & Shrubs [Artificial],Lady Rose," 0973204762, 092024155","61,New University Avenue Rd.,Saya San Ward"
Yangon Region,Mayangone,Fitness & Gym Equipment,"Osim [NatRay Co.,Ltd.]"," 01664363, 01660769","22, Pyay Rd., 9 Mile, Ward (5),"
Yangon Region,Mayangone,Flowers & Shrubs [Artificial],Kyi Nu Yeik," 0949333205, 09421159514","Kyaik Waing Pagoda Rd.,Aung Tha Pyay Y  Yeik Thar,Ward (4)"
Yangon Region,Kamayut,Fitness & Gym Equipment,Hard Body," 01500544, 01513109, 095180284","Tha Htone Rd.,Infront Of University Swimming Pool,Ward (9)"
Yangon Region,Hlaing,Fitness & Gym Equipment,One Energize Station," 0943166118, 0973215632, 09455038248","Rm 3/A/14, 3rd Flr, Sein Gay Har Parami Centre,"
Yangon Region,Insein,Fitness & Gym Equipment,Nu Room," 019663403, 0932443053","370, Say Wah Set Yone St., Corner of Baho Rd.,Gyoh Gone (West) Ward,"
Yangon Region,Botahtaung,Flowers & Shrubs [Artificial],Magnolia," 09257009034, 09257009035","266/270, Thein Phyu Rd.,"
Yangon Region,Bahan,Fitness & Gym Equipment,Mya Yeik Nyo Royal Hotel, 01548310~7,"20, Pearl St., Corner of Kaba Aye Pagoda Rd., Shwe Taung Gyar Ward (2),"
Yangon Region,North Dagon,Fitness & Gym Equipment,Miss [II]," 09400444558, 09252522264","Bldg 1,Rm 104,Pin Lon Rd.,Singar Housing,Ward (36)"
Yangon Region,North Okkalapa ,Fitness & Gym Equipment,My World," 095140266, 095118957, 019690314, 019690331 [Res]","192, Oakkar St., Corner of Oakkar 7th St.,Infront Of Institute of Medicine (2), Ga Nge Ward,"
Yangon Region,Mayangone,Flowers & Shrubs [Artificial],Flower Express, 09975227155,"1st Flr, Gandamar Wholesales Center,"
Yangon Region,Bahan,Flowers & Shrubs [Artificial],Eternal Flowers," 01541217, 01559011, 0973055660","449/A/B, New University Avenue Rd., Saya San Ward,"
Yangon Region,Dawbon,Flowers & Shrubs [Artificial],Flower Express, 09970034428,"G Flr, Capital Hypermarket,"
Yangon Region,South Okkalapa ,Flowers & Shrubs [Artificial],Lady Rose," 096801906, 0973204762","G Flr,City Mart"
Yangon Region,Bahan,Export & Import Companies,"Annawar Tun Co.,Ltd."," 01540742, 01558973, 01540747","130, 3rd Flr, Shwe Gon Daing Rd., Yae Tar Shay Ward,"
Yangon Region,Bahan,Flowers & Shrubs [Artificial],Eternal Flowers, 01523840 Ext.205,"Rm F-5, 1st Flr, Market Place,"
Yangon Region,Kyauktada,Fitness & Gym Equipment,Marlar Tin," 01379735, 01384924","297, Rm 6, 2nd Flr, Maha Bandoola Garden St., Upper Block,"
Yangon Region,Kyeemyin Daing,Fitness & Gym Equipment,NIA," 0930232439, 09421162284","5, 1st Flr, Padauk Pin St., Zay Gyi (West) Ward,"
Yangon Region,Pazundaung,Fisheries,"Annawah Aung Ice & Fishery Co.,Ltd."," 01203161, 01203160, 095118437, 0973060641, 0973127222",Thida Saint St.
Yangon Region,Pazundaung,Fisheries,Anawah Fisheries Holdings Ltd.," 01298036, 01292062, 01298037, 01298034","Annawah St., Ward (5),"
Yangon Region,Mingalardon,Fitness & Gym Equipment,Royal Mingalardon Golf & Country Club," 09449222222, 098636395, 0973249330, 01639435, 01639436, 01639447","No.(3) Main Rd.,No(1) Mingalardon Garden City"
Yangon Region,Thaketa,Fitness & Gym Equipment,Royal Club," 09250018901, 09798204566","1527, Myin Taw Thar Rd., Htu Par Yon Ward (1),"
Yangon Region,Tarmwe,Fitness & Gym Equipment,"Royal A Trading Co.,Ltd."," 095151045, 0973024665","5/11, Rm G/3, 3rd Flr, Byine Yae Oh Zin St., Byine Ywar Ma Ward,"
Yangon Region,North Dagon,Fitness & Gym Equipment,Padaethar," 0973019640, 018010728","Pa Sauk/42,Pyi Htaung Su Rd.,Corner of Ta Pin Shwe Htee Rd.,Near Kon Padaethar Bus Stop,Ward (38)"
Yangon Region,Yankin,Fitness & Gym Equipment,Queen's Rose [Ladies Only], 0973012477,"Bldg 41, Rm 12, 1st Flr, Yan Shin St., Palm Village,"
Yangon Region,Hlaing Thar Yar,Export & Import Companies,"Anawar Hlwam Co.,Ltd."," 01684214, 01684217~8, 01684208 Ext.102","584, Hlaing River Rd., Industrial Zone (6),"
Yangon Region,Tarmwe,Fitness & Gym Equipment,Protein Shop," 09250279494, 09777394947","34, Dhama Wi Ha Ra St., Kyarr Kwet Thit Ward,"
Yangon Region,Dawbon,Refrigerated Cargo Services,Anawa Devi Fishing & General Trading Co-op Ltd.," 01544543, 01544546","136/A, Myo Patt St., Thin Baw Kyin Ward,"
Yangon Region,Mayangone,Fitness & Gym Equipment,Real Fitness Mindhama," 095097057, 09254877534","68, Taw Win Rd., Victoria Hospital Compound, Ward (4),"
Yangon Region,Mayangone,Fitness & Gym Equipment,"NatRay Wellness Co.,Ltd."," 095156645, 01656511, 01656223, 01656522","Bldg A/4, Rm 2, G Flr, Min Dhama Rd., Shwe Kabar Housing,"
Yangon Region,Botahtaung,Beans & Pulses,Agritrade Int'l Ltd.," 019010237, 01397097, 01397100","25, 2nd Flr, 63rd St.,"
Yangon Region,Kyeemyin Daing,Export & Import Companies,333, 09262812662,"22, Htar Nar St., Ma Gyee Dan (North-East) Ward,"
Yangon Region,North Dagon,Fitness & Gym Equipment,Pink Rose," 0943202346, 09795627586, 01583213, 01580002","960, Pyin Ma Myaing St., Ward (34),"
Yangon Region,Yankin,Fish & Seafood Wholesalers,Sea Fresh," 0973140165, 09450039939","32, Shwe Thitsar St., Ward (13),"
Yangon Region,Hlaing,Fish & Seafood Wholesalers,Pyae Sone Aung," 098613730, 09420005828","E Shed, Rm 35, Shwe Padauk Fish Market,"
Yangon Region,Hlaing,Export & Import Companies,"Pin Lae Myittar Co.,Ltd."," 095000887, 09262800770","Rm 9,Shwe Padauk Fish Market"
Yangon Region,Hlaing,Fish & Seafood Wholesalers,MS Group," 095009816, 095069813, 095104478","A Shed, Rm 7/8/9/14/15, Shwe Padauk Fish Market,"
Yangon Region,Hlaing Thar Yar,Fish & Seafood Wholesalers,Shwe Pinn, 09402502666,"609/A, Magwe St., Ward (9),"
Yangon Region,Hlaing,Fish & Seafood Wholesalers,Nay La Yadanar," 09448013332, 0932442352","E Shed, Rm 46, Shwe Padauk Fish Market,"
Yangon Region,Insein,,"TELL International Co., Ltd."," 0973157594, 01647546","113, Ananda Thuriya St.,"
Yangon Region,Bahan,Fitness & Gym Equipment,"Real [NatRay Co.,Ltd.]"," 01220881, 09253065582, 095097057","20, Pearl St., Pearl Complex, Shwe Taung Gyar Ward (2),"
Yangon Region,Kyeemyin Daing,Gynaecologists,Ba Bay [U] + Phwar Hmyin [Daw] [MMCW], 09421024439,"17/19, Bargayar Rd., Corner of Kyee Myin Daing Kannar Rd.,Oh Bo Ward,"
Yangon Region,Ahlone,Fitness & Gym Equipment,"SYNC- BIO Co.,Ltd."," 096504177, 09250172752","225, Strand Rd., Thit Taw Ward,"
Yangon Region,Tarmwe,Fitness & Gym Equipment,Star Gym," 09420075471, 09254073867","130, 2nd Flr, Banyar Dala Rd., Tarmway Gyee (Ka/Ga-Nge) Ward,"
Yangon Region,Mayangone,Fitness & Gym Equipment,Super Body," 0973077614, 0936127074, 09425329753","A/139, 1st Flr, Khattar St., Bayint Naung Warehouses,"
Yangon Region,Dawbon,Fitness & Gym Equipment,Pwint Nay Kyar,,"184,Seikkanthar St.,Pathein Myay Ward"
Yangon Region,Pazundaung,Fitness & Gym Equipment,Perfect Body," 01294209, 095406700","107/109, 4th Flr, 51st St., Upper Middle Block,"
Yangon Region,Insein,Fitness & Gym Equipment,Sun Flower," 01647033, 01700820","475, Bayint Naung Rd., Near Ywar Ma Bus Stop, Ywar Ma (West) Ward,"
Yangon Region,Kyeemyin Daing,Flowers & Shrubs [Artificial],Pann Wah Nwe," 09254133043, 0973176794, 0973031970","32, Thida St., Thida Ward,"
Yangon Region,Pabedan,Flowers & Shrubs [Artificial],Pann Moe Moe, 09795429738,"East A Shed, Rm 8, Bogyoke Aung San Market,"
Yangon Region,Sanchaung,Flowers & Shrubs [Artificial],Pann Wah Nwe,,"G Flr,Dagon Centre II"
Yangon Region,Kamayut,Flowers & Shrubs [Artificial],"Royal Masterpiece Co.,Ltd."," 09977128313, 09778740224","137, Baho Rd., Ward (3),"
Yangon Region,Kyeemyin Daing,Fish & Seafood Wholesalers,Kaung Myat [Ko], 0949257162,"5, U Phoe Htoo St., Thar Du (West) Ward,"
Yangon Region,Pabedan,Flowers & Shrubs [Artificial],Sabei Phyu," 01700829, 09252566711","382, Bo Soon Pat St.,"
Yangon Region,Mingalar Taung Nyunt,Flowers & Shrubs [Artificial],Pann Cherry," 095198347, 09421018754","Rm 232/G/3, G Flr, Mingalar Mon Market,"
Yangon Region,Pazundaung,Fitness & Gym Equipment,Smart, 0973017729,"66, 4th Flr, Yae Kyaw St.,"
Yangon Region,Mingalar Taung Nyunt,Flowers & Shrubs [Artificial],Myint," 01371915, 01399181, 0932022706","525, 1st Flr, Thein Phyu Rd., Kan Daw Kalay (East) Ward,"
Yangon Region,Thingangyun,Fitness & Gym Equipment,"Shinmi Co.,Ltd."," 018550231, 0933248335, 0933248322, 0933248332, 0931613311, 09798154301~9","33, Lay Daunt Kan Rd., Near Zawana Bus Stop, (Sa-Lein/Ka) Ward,"
Yangon Region,Bahan,Flowers & Shrubs [Artificial],Sandy's Floral Service & Gift Centre, 01500142,"102/A, Dhama Zedi Rd., Near Wizaya Traffic Light, Shwe Gon Daing (West) Ward,"
Yangon Region,Kyauktada,Fitness & Gym Equipment,Slim Men," 095197776, 0973030777","363/D, Bo Aung Kyaw St., Upper Block,"
Yangon Region,South Dagon,Flowers & Shrubs [Artificial],Nyunt Nyunt Win [Daw]," 09250664550, 09250085520, 01595013","642/A/B, Rm 1, Zw  Ka Pin St., Corner of Zw  Ka Pin 1st St.,Ward (54),"
Yangon Region,Kyeemyin Daing,Fish Markets,Myanmar Fisheries Int'l JV Ltd. [MFIJV  Ltd.]," 01502141, 0943176176","Rm 305, 3rd Flr, Kan Thar Yar Plaza,"
Yangon Region,Kyauktada,Fitness & Gym Equipment,Sports City," 01385726, 095196265, 095193651","285, Pansoedan St., Upper Block,"
Yangon Region,Kyauktada,Fitness & Gym Equipment,Smart Girls [Ladies Only]," 09420081189, 095181189, 09257666799, 0973181189","200/208, Rm 302, 4th Flr, 35th St., Upper Block,"
Yangon Region,Dagon,Flowers & Shrubs [Artificial],Nyein Chan Aung, 0949314808,"Rm 2, Shwe Dagon Pagoda (North Entrance),"
Yangon Region,Kamayut,Fitness & Gym Equipment,Sakura Residence, 01525001,"9,Inya Rd.,Ward (10)"
Yangon Region,Kyeemyin Daing,Fisheries,Soe Hlaing [Ko]," 09450068168, 0943065528","26, Nat Sin St., Ma Gyee Dan (North-West) Ward,"
Yangon Region,Kyeemyin Daing,Fisheries,Sane Wah [Ma]," 095024671, 095188390","Htar Nar St., Ma Gyee Dan (North-East) Ward,"
Yangon Region,Hlaing,Fisheries,"Shwe Zin Yaw Hein Mfg Co.,Ltd."," 01682187, 01703611","Hlaing River St.,Near Butar Yone St. Bus Stop,Ward (3)"
Yangon Region,Mayangone,Fisheries,Selection J," 095039744, 09798790761","80, Rm 9, Yangon-Insein Rd., No(3) Mining Office Compound, Ward (3),"
Yangon Region,Insein,Fisheries,Shwe Pyi Thar," 095116220, 09965116220","126, Hlaing River Rd., Kannar (Mid) Ward,"
Yangon Region,Mingalar Taung Nyunt,Fitness & Gym Equipment,Win Light, 01388160,"Gyo Phyu St.,Aung San Stadium (East Wing)"
Yangon Region,Kamayut,Fitness & Gym Equipment,Wah Wah Thin [I]," 095094818, 0943033067","Bldg F/S/9, 1st Flr, Bayint Naung Rd., Shwe Marlar Yeikmon,"
Yangon Region,Thingangyun,Flowers & Shrubs [Artificial],Vase [G & A Pro-Audio],,"1st Flr,Waiza Yan Tar Rd."
Yangon Region,Mingalar Taung Nyunt,Fitness & Gym Equipment,Unique,,"502,G Flr,Thein Phyu Rd.,Phoh Myay Ward"
Yangon Region,South Okkalapa ,Fitness & Gym Equipment,Top One," 095145459, 098626292","24/1, Khwar Nyo St., Near Myin Thar Market, Ward (14/3),"
Yangon Region,North Dagon,Fitness & Gym Equipment,Wah Wah Thin," 095094818, 0931870716, 09970533211","120, Bo Hmu Ba Htoo Rd., Near Khay Mar Bus Stop, Ward (48),"
Yangon Region,Sanchaung,Fitness & Gym Equipment,The Gym City, 0949313099,"20/22, Myaung Mya St., Kyun Taw (Mid) Ward,"
Yangon Region,Mingalar Taung Nyunt,Fitness & Gym Equipment,"Yar Za Bwar Machinery Trading Co.,Ltd."," 09250274126, 0949309493, 0930257594","Rm 01/03, 1st Flr, Chan Thar Plaza,"
Yangon Region,Kyeemyin Daing,Fisheries,"San Pya Shwe Ngar Co.,Ltd."," 098616906, 095054722, 095149001","Rm 4, Sagawah Pin St., No.(4) Bridge, Ma Gyee Dan (North-West) Ward,"
Yangon Region,Tarmwe,Fitness & Gym Equipment,Thein Aung [U]," 01542416, 0973039621, 0973038002, 095157690","30, Thin Ga Ha St., Kyauk Myaung (Upper) Ward,"
Yangon Region,Mingalardon,Fisheries,Pwint Thit Kaung," 09250260643, 095177923","Rm 3, Yangon-Bago Rd., Ywar Ma Ward,"
Yangon Region,Kyeemyin Daing,Fisheries,Myint Swe [U]," 095108752, 0949334930, 09421056293","18, Nat Sin St., Ma Gyee Dan (North-West) Ward,"
Yangon Region,Tarmwe,Fitness & Gym Equipment,Wonder Master," 09420036123, 09974695501","8, 144th St., Ah Yoe Gone Ward,"
Yangon Region,Kyeemyin Daing,Fisheries,"Myanmar Mann Group Trading Co.,Ltd."," 019317216, 019317417","6, Kyee Myin Daing Kannar Rd., Ma Gyee Dan (North-West) Ward,"
Yangon Region,Kyauktada,Gynaecologists,Ah Mar [Daw]," 01392713, 09453260788, 09777135235","260, 39th St., Upper Block,"
Yangon Region,Mayangone,Flowers & Shrubs [Artificial],The Elegance," 09421134055, 09421150594","12, Rm 7, Parami Rd., Ward (10),"
Yangon Region,Thingangyun,Flowers & Shrubs [Artificial],Vase Flower, 09976573062,"Rm F/28, 1st Flr, Junction Zawana Shopping Centre,"
Yangon Region,Kyeemyin Daing,Fisheries,"Ngwe Zar Pale Co.,Ltd."," 01524036, 01523269~70, 095010162","422,1st Flr,Kyee Myin Daing Kannar Rd.,Sin Ma Like Bus Stop,Thayet Taw (South) Ward"
Yangon Region,Lanmadaw,Flowers & Shrubs [Artificial],Sweet Heart, 0991038394,"131/A, Lanmadaw St., Middle Block,"
Yangon Region,Hlaing Thar Yar,Fitness & Gym Equipment,Thawdar Shwe Sin,,"Bldg  B/84/A,Rm 8,Kyan Sit Thar St.,Nawaday Shop House"
Yangon Region,Dagon,Flowers & Shrubs [Artificial],Sandy's Floral Service & Gift Centre," 01211888 Ext.1216, 01211966 Ext.1216","350, Rm 3, Ahlone Rd., Corner of Pyay Rd.,Summit Parkview Hotel, Pyay (East) Ward,"
Yangon Region,Dagon,Flowers & Shrubs [Artificial],Vintage Flowers," 095068601, 09421148462, 0973199435, 095071266","140, Pyi Htaung Su Yeikthar St., Pyay (East) Ward,"
Yangon Region,Kyeemyin Daing,Fish Markets,"Ei Phyo Yandanar Mfg Co.,Ltd."," 095009215, 0973147077","11, Htee Dan 2nd St., Htee Dan Ward,"
Yangon Region,Kyeemyin Daing,Fish Markets,Central San Pya Fish Market, 09421133525,"Kyee Myin Daing Kannar Rd.,Ma Gyee Dan (North-West) Ward"
Yangon Region,Mayangone,Fitness & Gym Equipment,Zarni," 095092687, 09421022034","3, Oak Pon Seik St., Near Lan Wa Bus Stop, Ward (8),"
Yangon Region,Aung Myay Thar Zan,,Kabar Kyaw," 0273980, 0224432","C-1 Shed, Strand Road,Thiri Marlar Zay,   Fish Shed Gyi,"
Yangon Region,Kyeemyin Daing,,MORNING STAR," 01535787, 095110817","20, Nat Sin St.,  Kyee Myint Daing Fish Market,"
Yangon Region,Mayangone,,Sule Mogok," 09421137518, 09250513351","D-003/64, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Lanmadaw,Flowers & Shrubs [Artificial],She's Elegant," 0931689688, 0936173228, 0931280071","71, Lan Thit St., Lower Block,"
Yangon Region,Dagon,Flowers & Shrubs [Artificial],Thin Ei, 0949571486,"Rm 15, Shwe Dagon Pagoda (North Entrance),"
Yangon Region,Hlaing Thar Yar,,Shwe Hlaing Oo," 095053097, 095136521, 0973104608","386 / A, Bo Aung Kyaw St., Mee Khwet Market, Ward (7),"
Yangon Region,Insein,Flowers & Shrubs [Artificial],Zaw," 09250147190, 09799745766","B Shed, Rm 41, Insein Market,"
Yangon Region,Tarmwe,Fitness & Gym Equipment,Zan Recreation & Fitness Club," 01430078 Ext.1666, 01430642","65/70, Than Thu Mar Rd., Ngwe Chan Thar Gon Yaung Condo, Myittar Nyunt Ward,"
Yangon Region,Botahtaung,Flowers & Shrubs [Artificial],Y Floral Service [Training]," 01245869, 01392470","119, Bogalay Zay St., Lower Middle Block YWCA Bldg,"
Yangon Region,Aung Myay Thar Zan,,Myo Myat," 09440664940, 09788205098","1-2-3,Thiri Marlar Zay, Mayanchan,"
Yangon Region,Kyeemyin Daing,Export & Import Companies,Aung Mingalar [Jetty]," 01526078, 01535584","Pan Pin Gyi St.,Near Hlaing River,Ma Gyee Dan (South-West) Ward"
Yangon Region,Botahtaung,Flowers & Shrubs [Artificial],Young Women's Christian Association [Y.W.C.A]," 01245869, 01392470","119, Bogalay Zay St., Lower Middle Block YWCA Bldg,"
Yangon Region,Pabedan,,Pyae Sone Shin," 095018374, 09965018374","A-7/8, Bogyoke Aung San Market, Diamond Empire Hall,"
Yangon Region,Pazundaung,Betel Nuts & Assortments,"Bonny Garden Trading Co.,Ltd."," 01292449, 095137940, 01293143, 01291664","12/E, 1st Flr, 55th St., Upper Middle Block,"
Yangon Region,Pazundaung,Fisheries,"Thalarwaddy Co.,Ltd."," 01299381, 0931039243",Thida Saint St.
Yangon Region,Pazundaung,Fisheries,"Tet Htet Paing Co.,Ltd."," 018610714, 018610715","373, Lower Pazundaung Rd.,"
Yangon Region,Dagon,Flowers & Shrubs [Artificial],Super Myittar," 095188787, 0943045000, 0949201000","Rm B/92, Underground, Myanmar Culture Valley, People's Park Compound, Pyay (East) Ward,"
Yangon Region,Hlaing Thar Yar,Fisheries,"Tun Lin Kyi Co.,Ltd.",,"64,Mya Taung Wun Gyi U Hmo St.,Industrial Zone (3)"
Yangon Region,Latha,,Htake Tan," 01382322, 0973240552","683, Maha Bandoola Rd., Corner of 19th St.,"
Yangon Region,Latha,,Thein Hnag Thone Kaung," 0949288855, 09798882400","711, Between 18th St. and Sint Oh Dan St.,"
Yangon Region,Kamayut,,Win Nyunt Nyunt," 01536100, 01539512, 01523818","59, Hledan Rd., Near Hledan Market,"
Yangon Region,Insein,Fisheries,"Two Rivers Co.,Ltd."," 01683422, 0973015177, 095228198, 0949295386","356, Bay Kyin St., Myanma Fishery Enterprise Vehicles Compound, Gyoh Gone (West) Ward,"
Yangon Region,Mayangone,,Sekkyar Shwe Yee," 0973070949, 01650771~3(Ext: 139)","1st Flr, 8 Mile Junction,"
Yangon Region,Bahan,Gold Shops/Goldsmiths,"Fully Jewellery Collection Co.,Ltd. [Fully Jewellery & TST Casting]"," 01552880, 018603242","63/C, Koh Min Koh Chin Rd., Beside Yuzana Tower, Shwe Gon Daing (West) Ward,"
Yangon Region,Kyauktada,Jewellery Shops,Myint Tun Oo," 01241723, 01245735, 09260995151","150/152, Pansoedan St., Middle Block,"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Diamond Mart," 01384823, 0973081090, 09420041751, 0973150305","Super World 2 Shed, Rm B/102, 1st Flr, Bogyoke Aung San Market,"
Yangon Region,Thaketa,Jewellery Polishing,Dana Win," 095003233, 09254386301","Zabu Thiri St.,Corner of Zabu Thiri 4th St.,Ward (6-West)"
Yangon Region,Pazundaung,Water Tanks,Quality Business Group [Quality Fiber]," 01299298, 0943163133, 0973213838","14, 1st Flr, Myaung Gyi St.,"
Yangon Region,Yankin,,Eureka House, 09790883527,"5, Thitsar Rd.,"
