state,township,category,name,contact,street
Yangon,Pazundaung(Pazundaung),Beans & Pulses,Asia Winner Industrial Ltd. [Agri Trade Int'l Ltd.],,"106,52nd St.,Upper Middle Block"
Yangon Region,Lanmadaw(Lanmadaw),Export & Import Companies,"Thidar Fisheries Co.,Ltd.",tel: 01-228122,"350/354, Rm 1/B, Anawrahta Rd., Phwint Phyo Aung Compound,"
Yangon Region,South Okkalapa (South Okkalapa ),Fitness & Gym Equipment,D Spa,tel: 09-259256686,"682, 3rd Flr, Thitsar Rd., Ward (6),"
Yangon Region,Insein(Insein),Fish & Seafood Wholesalers,Yone Khan [U],"tel: 09-5153232,tel: 09-43180888","1, Padauk St., Myo Thit (Ga-Nge) Ward,"
Yangon Region,Ahlone(Ahlone),Fitness & Gym Equipment,Creator,"tel: 09-250638066,tel: 09-8700178","Bldg 4, Rm 205, 2nd Flr, Strand Rd., Mingalar Sin Min Housing,"
Yangon Region,Pabedan(Pabedan),Flowers & Shrubs [Artificial],Daung Phan Wah,"tel: 09-5153452,tel: 01-249074,tel: 01-290600 [Res]","B Shed, Rm 373/374, Thein Gyi Market,"
Yangon Region,Lanmadaw(Lanmadaw),Journals,90 Minutes,tel: 09-73029972,"96, 3rd Flr, 11th St.,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Flowers & Shrubs [Artificial],Cho [Ma],"tel: 09-73240266,tel: 09-253999982","Rm 145, 4th Flr, Shwe Mingalar Market, Car Parking (2),"
Yangon Region,Hlaing(Hlaing),Fish Markets,Shwe Padauk Fish Markets,tel: 09-770659385,Shwe Padauk Fish Market
Yangon Region,Pabedan(Pabedan),Fishing & Angling Equipment,Annawah,"tel: 01-250051,tel: 09-73036217","48, 26th St., Lower Middle Block,"
Yangon Region,Kyauktada(Kyauktada),Flowers & Shrubs [Artificial],Eden,"tel: 01-385227,tel: 09-73050545,tel: 09-421018972,tel: 09-31227749","327/329, Rm A/6, 34th St., Upper Block,"
Yangon Region,Pazundaung(Pazundaung),Export & Import Companies,"Asia Wave Trading Co.,Ltd.","tel: 01-202576,tel: 01-8610063,tel: 09-5166813,tel: 01-203759,tel: 09-5045278","186, Rm 303, 2nd Flr, Maha Bandoola Rd., Nawarat Centre,"
Yangon,Hlaing(Hlaing),Fitness & Gym Equipment,"Link 64 Trading Co.,Ltd. [Balance Fitness]","tel: 01-507305,tel: 01-654853","Bldg 51,Rm 404,4th Flr,Pyay Rd.,Shwe Hin Thar Tower"
Yangon Region,Tarmwe(Tarmwe),Fitness & Gym Equipment,Green World,"tel: 09-420092151,tel: 09-254923976","56, Kyar Kwet Thit St., Pathein Nyunt Ward,"
Yangon Region,Mayangone(Mayangone),Flowers & Shrubs [Artificial],Cedar,"tel: 09-420024704,tel: 09-420131397","23/B, Bawga St., 9 Mile, Ward (5),"
Yangon Region,Ahlone(Ahlone),Fitness & Gym Equipment,Gym City,"tel: 01-2300168,tel: 09-43389996,tel: 09-73045239","64, 1st Flr, Hnin Si St., Corner of Ngu War St., Saw Yan Paing (South) Ward,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fitness & Gym Equipment,Esperado Fitness Center,"tel: 01-8619486,tel: 01-8619487,tel: 01-8619488,tel: 01-8619489,tel: 01-8619302~3","23, U Aung Myat St., Tha Pyay Gone Ward,"
Yangon Region,Hlaing(Hlaing),Fitness & Gym Equipment,Fitness Xpress,tel: 09-975322639,"53, Mya Nandar St., Mya Kan Thar Housing,"
Yangon Region,Yankin(Yankin),Flowers & Shrubs [Artificial],Aurora,tel: 09-259291855,"5/A, Tapin Shwe Htee St., Ward (1),"
Yangon Region,Bahan(Bahan),Fitness & Gym Equipment,E Home Technology,"tel: 09-253235409,tel: 09-253570346","Rm 204, 2nd Flr, Myanmar Plaza,"
Yangon Region,Pabedan(Pabedan),Flowers & Shrubs [Artificial],333,"tel: 09-43027022,tel: 09-72425556","4 Shed, Rm 333, New Bogyoke Aung San Market,"
Yangon Region,Pabedan(Pabedan),Fitness & Gym Equipment,Empire,"tel: 01-388535,tel: 01-254729,tel: 09-5046534,tel: 09-5506364,tel: 09-5194894,tel: 01-371729,tel: 01-1221613","128,25th St.,Upper Middle Block"
Yangon Region,Kamayut(Kamayut),Fitness & Gym Equipment,Champion,"tel: 09-73119973,tel: 09-73991173","Rm F/137/C/105, 1st Flr, Junction Square,"
Pabedan,,,Daung Phan Wah,"tel: 09-5153452,tel: 01-290600","374, B Shed, 26th St.,"
Yangon Region,Tarmwe(Tarmwe),Fitness & Gym Equipment,Beauty,tel: 09-5410015,"53/54, 3rd Flr, Layar Shwe Myay St., Myittar Nyunt Ward,"
Yangon Region,Sanchaung(Sanchaung),Fitness & Gym Equipment,Body Mind Strength,"tel: 09-49239191,tel: 09-73072995,tel: 09-799656798","131, Bldg C, Rm 001, Shwe Pyi Aye St., Shwe Pyi Aye Yeik Mon,"
Yangon Region,Ahlone(Ahlone),Fitness & Gym Equipment,Ginger,"tel: 09-5126835,tel: 09-798233824,tel: 01-216622","87, Ayeyar Waddy St., Corner of Sin Min St.,Sin Min Market Bus Stop, Htar Nar Ward,"
Bahan,အခန္း ၁၀၂၊ တိုက္ ၅၊ ပထမထပ္၊ ေအာင္ခ်မ္းသာအိမ္ရာ၊,,Maung Bamar Sein Mg and Grand Daughters,"tel: 09-795001840,tel: 09-965001840,tel: 09-785001840","Rm 102, Bldg 5, 1st Flr, Aung Chan Thar Housing,"
Yangon Region,Thaketa(Thaketa),Fitness & Gym Equipment,Pan Taing Thit,tel: 09-73020267,"Rm 7, Bldg 1/C, Zingama Rd.,  Sit Hmu Htan Haung Building,  Ward (5),"
Yangon Region,Pabedan(Pabedan),Flowers & Shrubs [Artificial],Bawa Thit,tel: 01-370622 Ext.462,"B Shed, Rm 377, Thein Gyi Market,"
Mayangone,,,"NatRay Co., Ltd.","tel: 09-5156645,tel: 01-656511,tel: 01-656522","Rm 002, Bldg A-4, Min Dhama Rd.,  Shwe Kabar Housing,"
Yangon Region,Mayangone(Mayangone),Fitness & Gym Equipment,Balance Fitness,"tel: 01-656916,tel: 09-5009301","64/G, 2nd Flr, Kyaik Waing Pagoda Rd., Avenue 64 Hotel, Ward (6),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Fisheries,Arr Wu [Ko] + Nan Kham Haw [Ma],"tel: 09-5003500,tel: 09-73024599","382, Ta Pin Shwe Htee St., Ward (1),"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Flowers & Shrubs [Artificial],Mingalar,"tel: 09-73032061,tel: 09-425019589","Rm 264/G/4, G Flr, Mingalar Mon Market,"
Yangon Region,Dagon(Dagon),Flowers & Shrubs [Artificial],Ah May Thaung,tel: 09-5500517,"Rm 3, Shwe Dagon Pagoda (North Entrance),"
Yangon Region,Dagon(Dagon),Flowers & Shrubs [Artificial],May Myint [Ma],"tel: 09-421098823,tel: 09-30256441","Rm 18, Shwe Dagon Pagoda (North Entrance),"
Yangon Region,Bahan(Bahan),Flowers & Shrubs [Artificial],Lady Rose,"tel: 09-73204762,tel: 09-2024155","61,New University Avenue Rd.,Saya San Ward"
Yangon Region,Mayangone(Mayangone),Fitness & Gym Equipment,"Osim [NatRay Co.,Ltd.]","tel: 01-664363,tel: 01-660769","22, Pyay Rd., 9 Mile, Ward (5),"
Yangon Region,Mayangone(Mayangone),Flowers & Shrubs [Artificial],Kyi Nu Yeik,"tel: 09-49333205,tel: 09-421159514","Kyaik Waing Pagoda Rd.,Aung Tha Pyay Yè Yeik Thar,Ward (4)"
Yangon Region,Kamayut(Kamayut),Fitness & Gym Equipment,Hard Body,"tel: 01-500544,tel: 01-513109,tel: 09-5180284","Tha Htone Rd.,Infront Of University Swimming Pool,Ward (9)"
Yangon Region,Hlaing(Hlaing),Fitness & Gym Equipment,One Energize Station,"tel: 09-43166118,tel: 09-73215632,tel: 09-455038248","Rm 3/A/14, 3rd Flr, Sein Gay Har Parami Centre,"
Yangon Region,Insein(Insein),Fitness & Gym Equipment,Nu Room,"tel: 01-9663403,tel: 09-32443053","370, Say Wah Set Yone St., Corner of Baho Rd.,Gyoh Gone (West) Ward,"
Yangon Region,Botahtaung(Botahtaung),Flowers & Shrubs [Artificial],Magnolia,"tel: 09-257009034,tel: 09-257009035","266/270, Thein Phyu Rd.,"
Yangon Region,Bahan(Bahan),Fitness & Gym Equipment,Mya Yeik Nyo Royal Hotel,tel: 01-548310~7,"20, Pearl St., Corner of Kaba Aye Pagoda Rd., Shwe Taung Gyar Ward (2),"
Yangon Region,North Dagon(North Dagon),Fitness & Gym Equipment,Miss [II],"tel: 09-400444558,tel: 09-252522264","Bldg 1,Rm 104,Pin Lon Rd.,Singar Housing,Ward (36)"
Yangon Region,North Okkalapa (North Okkalapa ),Fitness & Gym Equipment,My World,"tel: 09-5140266,tel: 09-5118957,tel: 01-9690314,tel: 01-9690331 [Res]","192, Oakkar St., Corner of Oakkar 7th St.,Infront Of Institute of Medicine (2), Ga Nge Ward,"
Yangon Region,Mayangone(Mayangone),Flowers & Shrubs [Artificial],Flower Express,tel: 09-975227155,"1st Flr, Gandamar Wholesales Center,"
Yangon Region,Bahan(Bahan),Flowers & Shrubs [Artificial],Eternal Flowers,"tel: 01-541217,tel: 01-559011,tel: 09-73055660","449/A/B, New University Avenue Rd., Saya San Ward,"
Yangon Region,Dawbon(Dawbon),Flowers & Shrubs [Artificial],Flower Express,tel: 09-970034428,"G Flr, Capital Hypermarket,"
Yangon Region,South Okkalapa (South Okkalapa ),Flowers & Shrubs [Artificial],Lady Rose,"tel: 09-6801906,tel: 09-73204762","G Flr,City Mart"
Yangon Region,Bahan(Bahan),Export & Import Companies,"Annawar Tun Co.,Ltd.","tel: 01-540742,tel: 01-558973,tel: 01-540747","130, 3rd Flr, Shwe Gon Daing Rd., Yae Tar Shay Ward,"
Yangon Region,Bahan(Bahan),Flowers & Shrubs [Artificial],Eternal Flowers,tel: 01-523840 Ext.205,"Rm F-5, 1st Flr, Market Place,"
Yangon Region,Kyauktada(Kyauktada),Fitness & Gym Equipment,Marlar Tin,"tel: 01-379735,tel: 01-384924","297, Rm 6, 2nd Flr, Maha Bandoola Garden St., Upper Block,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fitness & Gym Equipment,NIA,"tel: 09-30232439,tel: 09-421162284","5, 1st Flr, Padauk Pin St., Zay Gyi (West) Ward,"
Yangon Region,Pazundaung(Pazundaung),Fisheries,"Annawah Aung Ice & Fishery Co.,Ltd.","tel: 01-203161,tel: 01-203160,tel: 09-5118437,tel: 09-73060641,tel: 09-73127222",Thida Saint St.
Yangon Region,Pazundaung(Pazundaung),Fisheries,Anawah Fisheries Holdings Ltd.,"tel: 01-298036,tel: 01-292062,tel: 01-298037,tel: 01-298034","Annawah St., Ward (5),"
Yangon Region,Mingalardon(Mingalardon),Fitness & Gym Equipment,Royal Mingalardon Golf & Country Club,"tel: 09-449222222,tel: 09-8636395,tel: 09-73249330,tel: 01-639435,tel: 01-639436,tel: 01-639447","No.(3) Main Rd.,No(1) Mingalardon Garden City"
Yangon Region,Thaketa(Thaketa),Fitness & Gym Equipment,Royal Club,"tel: 09-250018901,tel: 09-798204566","1527, Myin Taw Thar Rd., Htu Par Yon Ward (1),"
Yangon Region,Tarmwe(Tarmwe),Fitness & Gym Equipment,"Royal A Trading Co.,Ltd.","tel: 09-5151045,tel: 09-73024665","5/11, Rm G/3, 3rd Flr, Byine Yae Oh Zin St., Byine Ywar Ma Ward,"
Yangon Region,North Dagon(North Dagon),Fitness & Gym Equipment,Padaethar,"tel: 09-73019640,tel: 01-8010728","Pa Sauk/42,Pyi Htaung Su Rd.,Corner of Ta Pin Shwe Htee Rd.,Near Kon Padaethar Bus Stop,Ward (38)"
Yangon Region,Yankin(Yankin),Fitness & Gym Equipment,Queen's Rose [Ladies Only],tel: 09-73012477,"Bldg 41, Rm 12, 1st Flr, Yan Shin St., Palm Village,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Export & Import Companies,"Anawar Hlwam Co.,Ltd.","tel: 01-684214,tel: 01-684217~8,tel: 01-684208 Ext.102","584, Hlaing River Rd., Industrial Zone (6),"
Yangon Region,Tarmwe(Tarmwe),Fitness & Gym Equipment,Protein Shop,"tel: 09-250279494,tel: 09-777394947","34, Dhama Wi Ha Ra St., Kyarr Kwet Thit Ward,"
Yangon Region,Dawbon(Dawbon),Refrigerated Cargo Services,Anawa Devi Fishing & General Trading Co-op Ltd.,"tel: 01-544543,tel: 01-544546","136/A, Myo Patt St., Thin Baw Kyin Ward,"
Yangon Region,Mayangone(Mayangone),Fitness & Gym Equipment,Real Fitness Mindhama,"tel: 09-5097057,tel: 09-254877534","68, Taw Win Rd., Victoria Hospital Compound, Ward (4),"
Yangon Region,Mayangone(Mayangone),Fitness & Gym Equipment,"NatRay Wellness Co.,Ltd.","tel: 09-5156645,tel: 01-656511,tel: 01-656223,tel: 01-656522","Bldg A/4, Rm 2, G Flr, Min Dhama Rd., Shwe Kabar Housing,"
Yangon Region,Botahtaung(Botahtaung),Beans & Pulses,Agritrade Int'l Ltd.,"tel: 01-9010237,tel: 01-397097,tel: 01-397100","25, 2nd Flr, 63rd St.,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Export & Import Companies,333,tel: 09-262812662,"22, Htar Nar St., Ma Gyee Dan (North-East) Ward,"
Yangon Region,North Dagon(North Dagon),Fitness & Gym Equipment,Pink Rose,"tel: 09-43202346,tel: 09-795627586,tel: 01-583213,tel: 01-580002","960, Pyin Ma Myaing St., Ward (34),"
Yangon Region,Yankin(Yankin),Fish & Seafood Wholesalers,Sea Fresh,"tel: 09-73140165,tel: 09-450039939","32, Shwe Thitsar St., Ward (13),"
Yangon Region,Hlaing(Hlaing),Fish & Seafood Wholesalers,Pyae Sone Aung,"tel: 09-8613730,tel: 09-420005828","E Shed, Rm 35, Shwe Padauk Fish Market,"
Yangon,Hlaing(Hlaing),Export & Import Companies,"Pin Lae Myittar Co.,Ltd.","tel: 09-5000887,tel: 09-262800770","Rm 9,Shwe Padauk Fish Market"
Yangon Region,Hlaing(Hlaing),Fish & Seafood Wholesalers,MS Group,"tel: 09-5009816,tel: 09-5069813,tel: 09-5104478","A Shed, Rm 7/8/9/14/15, Shwe Padauk Fish Market,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Fish & Seafood Wholesalers,Shwe Pinn,tel: 09-402502666,"609/A, Magwe St., Ward (9),"
Yangon Region,Hlaing(Hlaing),Fish & Seafood Wholesalers,Nay La Yadanar,"tel: 09-448013332,tel: 09-32442352","E Shed, Rm 46, Shwe Padauk Fish Market,"
Insein,,,"TELL International Co., Ltd.","tel: 09-73157594,tel: 01-647546","113, Ananda Thuriya St.,"
Yangon Region,Bahan(Bahan),Fitness & Gym Equipment,"Real [NatRay Co.,Ltd.]","tel: 01-220881,tel: 09-253065582,tel: 09-5097057","20, Pearl St., Pearl Complex, Shwe Taung Gyar Ward (2),"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Gynaecologists,Ba Bay [U] + Phwar Hmyin [Daw] [MMCW],tel: 09-421024439,"17/19, Bargayar Rd., Corner of Kyee Myin Daing Kannar Rd.,Oh Bo Ward,"
Yangon Region,Ahlone(Ahlone),Fitness & Gym Equipment,"SYNC- BIO Co.,Ltd.","tel: 09-6504177,tel: 09-250172752","225, Strand Rd., Thit Taw Ward,"
Yangon Region,Tarmwe(Tarmwe),Fitness & Gym Equipment,Star Gym,"tel: 09-420075471,tel: 09-254073867","130, 2nd Flr, Banyar Dala Rd., Tarmway Gyee (Ka/Ga-Nge) Ward,"
Yangon Region,Mayangone(Mayangone),Fitness & Gym Equipment,Super Body,"tel: 09-73077614,tel: 09-36127074,tel: 09-425329753","A/139, 1st Flr, Khattar St., Bayint Naung Warehouses,"
Yangon,Dawbon(Dawbon),Fitness & Gym Equipment,Pwint Nay Kyar,,"184,Seikkanthar St.,Pathein Myay Ward"
Yangon Region,Pazundaung(Pazundaung),Fitness & Gym Equipment,Perfect Body,"tel: 01-294209,tel: 09-5406700","107/109, 4th Flr, 51st St., Upper Middle Block,"
Yangon Region,Insein(Insein),Fitness & Gym Equipment,Sun Flower,"tel: 01-647033,tel: 01-700820","475, Bayint Naung Rd., Near Ywar Ma Bus Stop, Ywar Ma (West) Ward,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Flowers & Shrubs [Artificial],Pann Wah Nwe,"tel: 09-254133043,tel: 09-73176794,tel: 09-73031970","32, Thida St., Thida Ward,"
Yangon Region,Pabedan(Pabedan),Flowers & Shrubs [Artificial],Pann Moe Moe,tel: 09-795429738,"East A Shed, Rm 8, Bogyoke Aung San Market,"
Yangon,Sanchaung(Sanchaung),Flowers & Shrubs [Artificial],Pann Wah Nwe,,"G Flr,Dagon Centre II"
Yangon Region,Kamayut(Kamayut),Flowers & Shrubs [Artificial],"Royal Masterpiece Co.,Ltd.","tel: 09-977128313,tel: 09-778740224","137, Baho Rd., Ward (3),"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fish & Seafood Wholesalers,Kaung Myat [Ko],tel: 09-49257162,"5, U Phoe Htoo St., Thar Du (West) Ward,"
Yangon Region,Pabedan(Pabedan),Flowers & Shrubs [Artificial],Sabei Phyu,"tel: 01-700829,tel: 09-252566711","382, Bo Soon Pat St.,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Flowers & Shrubs [Artificial],Pann Cherry,"tel: 09-5198347,tel: 09-421018754","Rm 232/G/3, G Flr, Mingalar Mon Market,"
Yangon Region,Pazundaung(Pazundaung),Fitness & Gym Equipment,Smart,tel: 09-73017729,"66, 4th Flr, Yae Kyaw St.,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Flowers & Shrubs [Artificial],Myint,"tel: 01-371915,tel: 01-399181,tel: 09-32022706","525, 1st Flr, Thein Phyu Rd., Kan Daw Kalay (East) Ward,"
Yangon Region,Thingangyun(Thingangyun),Fitness & Gym Equipment,"Shinmi Co.,Ltd.","tel: 01-8550231,tel: 09-33248335,tel: 09-33248322,tel: 09-33248332,tel: 09-31613311,tel: 09-798154301~9","33, Lay Daunt Kan Rd., Near Zawana Bus Stop, (Sa-Lein/Ka) Ward,"
Yangon Region,Bahan(Bahan),Flowers & Shrubs [Artificial],Sandy's Floral Service & Gift Centre,tel: 01-500142,"102/A, Dhama Zedi Rd., Near Wizaya Traffic Light, Shwe Gon Daing (West) Ward,"
Yangon Region,Kyauktada(Kyauktada),Fitness & Gym Equipment,Slim Men,"tel: 09-5197776,tel: 09-73030777","363/D, Bo Aung Kyaw St., Upper Block,"
Yangon Region,South Dagon(South Dagon),Flowers & Shrubs [Artificial],Nyunt Nyunt Win [Daw],"tel: 09-250664550,tel: 09-250085520,tel: 01-595013","642/A/B, Rm 1, Zwè Ka Pin St., Corner of Zwè Ka Pin 1st St.,Ward (54),"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fish Markets,Myanmar Fisheries Int'l JV Ltd. [MFIJV  Ltd.],"tel: 01-502141,tel: 09-43176176","Rm 305, 3rd Flr, Kan Thar Yar Plaza,"
Yangon Region,Kyauktada(Kyauktada),Fitness & Gym Equipment,Sports City,"tel: 01-385726,tel: 09-5196265,tel: 09-5193651","285, Pansoedan St., Upper Block,"
Yangon Region,Kyauktada(Kyauktada),Fitness & Gym Equipment,Smart Girls [Ladies Only],"tel: 09-420081189,tel: 09-5181189,tel: 09-257666799,tel: 09-73181189","200/208, Rm 302, 4th Flr, 35th St., Upper Block,"
Yangon Region,Dagon(Dagon),Flowers & Shrubs [Artificial],Nyein Chan Aung,tel: 09-49314808,"Rm 2, Shwe Dagon Pagoda (North Entrance),"
Yangon Region,Kamayut(Kamayut),Fitness & Gym Equipment,Sakura Residence,tel: 01-525001,"9,Inya Rd.,Ward (10)"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fisheries,Soe Hlaing [Ko],"tel: 09-450068168,tel: 09-43065528","26, Nat Sin St., Ma Gyee Dan (North-West) Ward,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fisheries,Sane Wah [Ma],"tel: 09-5024671,tel: 09-5188390","Htar Nar St., Ma Gyee Dan (North-East) Ward,"
Yangon Region,Hlaing(Hlaing),Fisheries,"Shwe Zin Yaw Hein Mfg Co.,Ltd.","tel: 01-682187,tel: 01-703611","Hlaing River St.,Near Butar Yone St. Bus Stop,Ward (3)"
Yangon Region,Mayangone(Mayangone),Fisheries,Selection J,"tel: 09-5039744,tel: 09-798790761","80, Rm 9, Yangon-Insein Rd., No(3) Mining Office Compound, Ward (3),"
Yangon Region,Insein(Insein),Fisheries,Shwe Pyi Thar,"tel: 09-5116220,tel: 09-965116220","126, Hlaing River Rd., Kannar (Mid) Ward,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fitness & Gym Equipment,Win Light,tel: 01-388160,"Gyo Phyu St.,Aung San Stadium (East Wing)"
Yangon Region,Kamayut(Kamayut),Fitness & Gym Equipment,Wah Wah Thin [I],"tel: 09-5094818,tel: 09-43033067","Bldg F/S/9, 1st Flr, Bayint Naung Rd., Shwe Marlar Yeikmon,"
Yangon,Thingangyun(Thingangyun),Flowers & Shrubs [Artificial],Vase [G & A Pro-Audio],,"1st Flr,Waiza Yan Tar Rd."
Yangon,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fitness & Gym Equipment,Unique,,"502,G Flr,Thein Phyu Rd.,Phoh Myay Ward"
Yangon Region,South Okkalapa (South Okkalapa ),Fitness & Gym Equipment,Top One,"tel: 09-5145459,tel: 09-8626292","24/1, Khwar Nyo St., Near Myin Thar Market, Ward (14/3),"
Yangon Region,North Dagon(North Dagon),Fitness & Gym Equipment,Wah Wah Thin,"tel: 09-5094818,tel: 09-31870716,tel: 09-970533211","120, Bo Hmu Ba Htoo Rd., Near Khay Mar Bus Stop, Ward (48),"
Yangon Region,Sanchaung(Sanchaung),Fitness & Gym Equipment,The Gym City,tel: 09-49313099,"20/22, Myaung Mya St., Kyun Taw (Mid) Ward,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fitness & Gym Equipment,"Yar Za Bwar Machinery Trading Co.,Ltd.","tel: 09-250274126,tel: 09-49309493,tel: 09-30257594","Rm 01/03, 1st Flr, Chan Thar Plaza,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fisheries,"San Pya Shwe Ngar Co.,Ltd.","tel: 09-8616906,tel: 09-5054722,tel: 09-5149001","Rm 4, Sagawah Pin St., No.(4) Bridge, Ma Gyee Dan (North-West) Ward,"
Yangon Region,Tarmwe(Tarmwe),Fitness & Gym Equipment,Thein Aung [U],"tel: 01-542416,tel: 09-73039621,tel: 09-73038002,tel: 09-5157690","30, Thin Ga Ha St., Kyauk Myaung (Upper) Ward,"
Yangon Region,Mingalardon(Mingalardon),Fisheries,Pwint Thit Kaung,"tel: 09-250260643,tel: 09-5177923","Rm 3, Yangon-Bago Rd., Ywar Ma Ward,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fisheries,Myint Swe [U],"tel: 09-5108752,tel: 09-49334930,tel: 09-421056293","18, Nat Sin St., Ma Gyee Dan (North-West) Ward,"
Yangon Region,Tarmwe(Tarmwe),Fitness & Gym Equipment,Wonder Master,"tel: 09-420036123,tel: 09-974695501","8, 144th St., Ah Yoe Gone Ward,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fisheries,"Myanmar Mann Group Trading Co.,Ltd.","tel: 01-9317216,tel: 01-9317417","6, Kyee Myin Daing Kannar Rd., Ma Gyee Dan (North-West) Ward,"
Yangon Region,Kyauktada(Kyauktada),Gynaecologists,Ah Mar [Daw],"tel: 01-392713,tel: 09-453260788,tel: 09-777135235","260, 39th St., Upper Block,"
Yangon Region,Mayangone(Mayangone),Flowers & Shrubs [Artificial],The Elegance,"tel: 09-421134055,tel: 09-421150594","12, Rm 7, Parami Rd., Ward (10),"
Yangon Region,Thingangyun(Thingangyun),Flowers & Shrubs [Artificial],Vase Flower,tel: 09-976573062,"Rm F/28, 1st Flr, Junction Zawana Shopping Centre,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fisheries,"Ngwe Zar Pale Co.,Ltd.","tel: 01-524036,tel: 01-523269~70,tel: 09-5010162","422,1st Flr,Kyee Myin Daing Kannar Rd.,Sin Ma Like Bus Stop,Thayet Taw (South) Ward"
Yangon Region,Lanmadaw(Lanmadaw),Flowers & Shrubs [Artificial],Sweet Heart,tel: 09-91038394,"131/A, Lanmadaw St., Middle Block,"
Yangon,Hlaing Thar Yar(Hlaing Thar Yar),Fitness & Gym Equipment,Thawdar Shwe Sin,,"Bldg  B/84/A,Rm 8,Kyan Sit Thar St.,Nawaday Shop House"
Yangon Region,Dagon(Dagon),Flowers & Shrubs [Artificial],Sandy's Floral Service & Gift Centre,"tel: 01-211888 Ext.1216,tel: 01-211966 Ext.1216","350, Rm 3, Ahlone Rd., Corner of Pyay Rd.,Summit Parkview Hotel, Pyay (East) Ward,"
Yangon Region,Dagon(Dagon),Flowers & Shrubs [Artificial],Vintage Flowers,"tel: 09-5068601,tel: 09-421148462,tel: 09-73199435,tel: 09-5071266","140, Pyi Htaung Su Yeikthar St., Pyay (East) Ward,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Fish Markets,"Ei Phyo Yandanar Mfg Co.,Ltd.","tel: 09-5009215,tel: 09-73147077","11, Htee Dan 2nd St., Htee Dan Ward,"
