name,street,township,contact,state,Category
Myint Soe,"C/39, Lawpita St., Industrial Zone (3),",South Dagon," 01590618, 095064089, 01552414 [Res], 09252469335",Yangon Region,Equipment & Supplies
Myint Aung [Ko] & Sons,"405, Kyaikkasan Rd., Tarmway Gyee (Kha) Ward,",Tarmwe," 09423718925, 09254475731, 09979913111",Yangon Region,Equipment & Supplies
"New Carry Trading Co.,Ltd.","133, Sein Chel St., Corner of Aung Thapyay St.,Hta Wun Bae Ward,",North Okkalapa ," 0943144362, 09250158161, 09250158151, 0932322998",Yangon Region,Equipment & Supplies
"Nwe Tapin Trading Co.,Ltd.","520/A, G Flr, Ou Yin St., Saya San Ward,",Bahan," 01555879, 09421081705, 09421127172",Yangon Region,Equipment & Supplies
"Nay La Trading Co.,Ltd.","118, Thudhamar Rd., Sa Lone Ward,",North Okkalapa ," 09422455847, 09420000640, 09799989686",Yangon Region,Equipment & Supplies
Naing Kabar,"Ma/14, Bayint Naung St., Corner of No.(2) Main Rd.,Site Kwe Bus Stop, Lay Daunt Kan Ward,",South Dagon," 09254073066, 01599300",Yangon Region,Equipment & Supplies
Naing Trading,"23, Pyi Htaung Su Rd., Near G.E.C Bus Stop, Ward (24),",South Dagon," 018100793, 018100794, 09420083755",Yangon Region,Equipment & Supplies
"Nexus Int'l Co.,Ltd.","Rm 7/C, 6th Flr, Lower Pazundaung Rd., Yadana Myaing Condo,",Pazundaung," 018610241, 018610242",Yangon Region,Equipment & Supplies
Myo Myo,"A/6, Thiri Mon St., Thiri Mon Plaza,",Mayangone," 01681915, 01683675",Yangon Region,Equipment & Supplies
Myittar Mon,"96, Shwe Dagon Pagoda Rd., Lower Middle Block,",Pabedan," 01385238, 01373308, 095123897, 0973042112",Yangon Region,Equipment & Supplies
Myint Thein & Brothers,"Kha/39 Shed, Rm 5/6, Bayint Naung Market,",Mayangone," 01682679, 01681768, 095100618",Yangon Region,Equipment & Supplies
Nagar Ni,"311, Phaung Gyi St., Industrial Zone(2),",South Dagon," 09421158154, 09455621040",Yangon Region,Equipment & Supplies
"Pacific High Technology Int'l Co.,Ltd.","35/B, Ou Yin St., Saya San Ward,",Bahan," 01541155, 01400650, 01559540",Yangon Region,Equipment & Supplies
"Oscar Aung Myanmar Co.,Ltd.","156, Kon Zay Dan St., Lower Middle Block,",Pabedan," 0973158658, 01245279, 01380416, 095107671",Yangon Region,Equipment & Supplies
"Oriental Light Co., Ltd.","1207, Thitsar Rd., Ward (7),",South Okkalapa , 0973228899,Yangon Region,Equipment & Supplies
Pacific Hi-Tech Int'l Group of Companies,"35/B, Ou Yin St., Saya San Ward,",Bahan," 01541155, 01559540",Yangon Region,Equipment & Supplies
Pa Pu Lay,"D/103, Kyauk Pahtoe 5th St., Industrial Zone (3),",South Dagon, 095170408,Yangon Region,Equipment & Supplies
OK Master,"60, Yangon-Bago Rd., Near Bali, Ywar Ma Ward,",Mingalardon," 0931534872, 09420037664",Yangon Region,Equipment & Supplies
"Ohn Maung [U] [Aung Myittar Co.,Ltd.]","D/34, Thiri Mon 1st St., Thiri Mon Plaza,",Mayangone," 095112915, 01680970",Yangon Region,Equipment & Supplies
"Nyein Zaw Trading Co.,Ltd.","61,3rd Flr,30th St.,Lower Middle Block",Pabedan," 01256340, 01377438, 09254049667, 095146360",Yangon Region,Equipment & Supplies
"Ohn Maung [U] [Aung Myittar General Trading Co.,Ltd.]","37, Sabei St., Thiri Mon Plaza,",Mayangone," 095018229, 095077977, 01680978, 01681070, 01682677",Yangon Region,Equipment & Supplies
Ocean Star,"7, Thiri Mon 4th St., Thiri Mon Plaza,",Mayangone," 01682182, 0973037527",Yangon Region,Equipment & Supplies
Phyo Aung,"B Shed, Rm 53, Insein Market,",Insein, 095172729,Yangon Region,Equipment & Supplies
"Progressive Engineering Group Co.,Ltd. [PEG]","69,Rm 507,5th Flr,Shwe Gon Daing Rd.,Yuzana Condo Tower",Bahan,,Yangon Region,Equipment & Supplies
Phan Tee Shin,"130, Wet Ma Soot Wun Htauk St., Industrial Zone (4),",Hlaing Thar Yar," 0973150592, 095146698, 09785146698",Yangon Region,Equipment & Supplies
Phone Thar,"10, Thiri Mon 3rd St., Thiri Mon Plaza,",Mayangone," 09250598819, 09254077098, 09259019139, 01683322, 01681126",Yangon Region,Equipment & Supplies
Phone Kyaw Thu,"43, Min Ye Kyaw Swar St., Ward (3),",Hlaing Thar Yar, 09422473426,Yangon Region,Equipment & Supplies
Perfects,"372, Strand Rd.,",Latha," 01243637, 01245020",Yangon Region,Equipment & Supplies
Power,"Kha/4 Shed, Rm 4, Bayint Naung Market,",Mayangone," 01683088 Ext.464, 095199082",Yangon Region,Equipment & Supplies
Phan Tee Shin,"14, Thiri Mon 3rd St., Thiri Mon Plaza,",Mayangone," 095146698, 01701137, 0973077167, 0973024308",Yangon Region,Equipment & Supplies
"Pioneer Power Tools Co.,Ltd.","113, Shwe Dagon Pagoda Rd., Ward (7),",Latha," 0973167156, 09257592325, 09402556846",Yangon Region,Equipment & Supplies
Par Par [Saya],"399, Kyaikkasan Rd., Tarmway Gyee (Kha) Ward,",Tarmwe, 09450006804,Yangon Region,Equipment & Supplies
"RHL [Reliance Heavy Machineries & Parts Co.,Ltd.], ALEC [Asian Legacy Engineering Cabinet Pte Ltd.]","Bldg D,Rm 1108,11th Flr,Kaba Aye Pagoda Rd.,Pearl Condo",Bahan," 018619119, 0973055112, 09420056785",Yangon Region,Equipment & Supplies
Quality & Design,"194, Inntaw St., Industrial Zone (2),",South Dagon, 0973145783,Yangon Region,Equipment & Supplies
"Reliance Heavy Machineries & Parts Co.,Ltd.","Rm 204, 2nd Flr, Shwe Gon Daing Rd., Shwe Gon Daing Tower (A),",Bahan," 09452406660, 09780388805, 09780388804",Yangon Region,Equipment & Supplies
"Rose & Sons Co.,Ltd.","55, Phone Gyee St., Lower Block,",Lanmadaw," 01225532, 09776076838",Yangon Region,Equipment & Supplies
"Red Apple Trading Co.,Ltd.","47,Yadanar St.,Yadanar Housing",Dagon Seikkan," 01450990, 095215629, 098627549",Yangon Region,Equipment & Supplies
R.S Zeyar Aung,"56/B, 26th St., Lower Middle Block,",Pabedan," 01370117, 01376102, 095180092, 095199102, 09785180092, 0124775 Ext.2363",Yangon Region,Equipment & Supplies
Real Life,"Bldg 1, Rm 005, Bayint Naung Rd., Hanthar Yeik Mon Housing,",Kamayut," 095197340, 0933323363, 09785589525",Yangon Region,Equipment & Supplies
"Public Services Co.,Ltd.","1, Shin Saw Pu Rd., Shin Saw Pu Ward,",Sanchaung," 0943699999, 095128617",Yangon Region,Equipment & Supplies
"Re-Mfg Co.,Ltd. [Gandamar Da Na Co.,Ltd.]","898/990, Yangon-Pathein Rd., Ahnawrahta Industrial Zone,",Hlaing Thar Yar," 01645410, 01645420, 09400000621, 0973121705",Yangon Region,Equipment & Supplies
"Sai Beacon Trading Co.,Ltd.","Rm 905, 9th Flr, Shwe Gon Daing Rd., Yuzana Tower,",Bahan," 01559364, 011220131",Yangon Region,Equipment & Supplies
S.M Trading,"Kha/42 Shed,Rm 6,Bayint Naung Market",Mayangone,,Yangon Region,Equipment & Supplies
"Royal Phoenix Trading Co.,Ltd.","3, Thu Mingalar Rd., Zawana Ward,",Thingangyun," 018566169, 018560930, 01577204",Yangon Region,Equipment & Supplies
"Royal Myanmar Trading [Royal Machinery & Electrical Goods Co.,Ltd.]","2, Thiri Mon 3rd St., Thiri Mon Plaza,",Mayangone," 01680981, 0973052265, 012300595",Yangon Region,Equipment & Supplies
"Salient Trading Co.,Ltd.","22, Ngu War St., Saw Yan Paing (South) Ward,",Ahlone," 01225110, 01210782",Yangon Region,Equipment & Supplies
"Royal Machinery & Electrical Goods Co.,Ltd.","139/141, 15th St., Upper Block,",Lanmadaw," 01220179, 01229727, 012300595, 01224239",Yangon Region,Equipment & Supplies
"S.D.B General Trading Co.,Ltd.","Kha/40 Shed, Rm 10/11, Bayint Naung Market,",Mayangone," 01686281, 095005271, 095000796, 0973400796",Yangon Region,Equipment & Supplies
"S.Y.P Co.,Ltd.","6, Thu Mingalar Rd., Kaytu Marlar Bus Stop, Ward (5),",South Okkalapa ," 095013397, 095503299, 01560862, 09975266940",Yangon Region,Equipment & Supplies
"Sai Beacon Trading Co.,Ltd.","8th Flr, Shwe Gon Plaza,",Bahan," 01551978, 09795005131",Yangon Region,Equipment & Supplies
Sein Aye [U] & Sons,"Kha/47 Shed, Rm 2, Bayint Naung Market,",Mayangone," 01686344, 01683388, 095127150, 098629400, 09975284453",Yangon Region,Equipment & Supplies
"Sein 888 Trading Co.,Ltd.","48,26th St.,Lower Middle Block",Pabedan," 01250051, 01370101, 092001372, 092027864",Yangon Region,Equipment & Supplies
"Se Kyung Auto Trading Co.,Ltd.","6/7,A1 St.,Yangon Industrial Zone",Mingalardon," 09250027012, 09778973474",Yangon Region,Equipment & Supplies
Sein Nadi,"D/12, Thiri Mon 1st St., Thiri Mon Plaza,",Mayangone," 095184902, 01681049, 095040368, 09799028117, 09799028116",Yangon Region,Equipment & Supplies
Sann Shinn General Trading,"Bldg B, Rm 24, Thiri Yadanar Retail/Wholesale Market,",North Okkalapa ," 0973040515, 09258990009",Yangon Region,Equipment & Supplies
San Naing Aung,"Bldg 4, Rm 004, Strand Rd., Thiri Mingalar Housing,",Ahlone," 01227240, 095165968, 098023339, 01226855 Ext.277",Yangon Region,Equipment & Supplies
Sein Family,"11/14/17/19, Thiri Mon 4th St., Thiri Mon Plaza,",Mayangone," 095005961, 01528571, 095131227, 095181242, 01686697, 01686782",Yangon Region,Equipment & Supplies
"San Chain Oo Co.,Ltd.","55/65, Shwe Dagon Pagoda Rd., Lower Block,",Latha," 0933377746, 0933377726, 09420772666, 095231300, 0931722777, 09450013488",Yangon Region,Equipment & Supplies
Shwe Myittar,"Rm 1, Pyi Htaung Su Rd., Near Immigration & Population Department Shop Room, Ward (64),",South Dagon," 0943056581, 0973204780",Yangon Region,Equipment & Supplies
Saydanar,"B/205, Sinte St., Industrial Zone (3),",South Dagon," 01590809, 09421005022, 09450016599, 095021273, 018100201 [Factory]",Yangon Region,Equipment & Supplies
Shwe Kayin [Htone Ohe Gyi],"Rm 6, Bayint Naung St., Lay Daunt Kan Ward,",South Dagon," 01599259, 0973089302",Yangon Region,Equipment & Supplies
Sein Tun [U],"12, U Wisara Rd., Ward (41),",North Dagon," 01581547, 095155651",Yangon Region,Equipment & Supplies
Shwe Hanthar [U Wa Gyi],"12, Bayint Naung Yeikthar 1st St., Myo Thit (Ka/Kha) Ward,",Insein," 095045720, 09421089150",Yangon Region,Equipment & Supplies
Shwe La Min,"1454/1455, Pan Hlaing St., Industrial Zone (2),",South Dagon," 095073638, 09425282406",Yangon Region,Equipment & Supplies
Shwe Hla Aung [U] & Sons,"13, Shwe La Win St., Kyun Taw (South) Ward,",Sanchaung," 095044452, 0973177113, 01526987",Yangon Region,Equipment & Supplies
"Seinn Yaung So Mfg Co.,Ltd.","163,Thiri Mon 10th St.,Thiri Mon Housing",Mayangone," 01683222, 01683629, 01681384, 0973121222, 0973121444, 0973121333",Yangon Region,Equipment & Supplies
Sein [Phyue],"12 Shed, Rm 20, Bayint Naung Market,",Mayangone, 09263340772,Yangon Region,Equipment & Supplies
Shwe Kabar Kyaw,"6, No. (1) Set Hmu Zone St., Industrial Zone (3),",South Dagon," 01590144, 01590689, 01590691, 095125821, 098611502, 09259085948, 09250699550, 09250664579",Yangon Region,Equipment & Supplies
"Shwe Moe Min  Industrial Co.,Ltd.","Bldg S/26, West Race Course Rd., U Chit Maung Housing,",Tarmwe," 01554606, 01554609, 0943160588, 09975500488",Yangon Region,Equipment & Supplies
Shwe Kant Kaw,"954, Pyi Htaung Su Rd., Ward (65),",South Dagon, 09791968845,Yangon Region,Equipment & Supplies
"Sithar Coffee Co.,Ltd.","477,Aye Yeik Thar 2nd St.,Saya San Ward",Bahan," 01559359, 095006814, 095069849, 09254612819",Yangon Region,Equipment & Supplies
"SKB & HMS Synergy Co.,Ltd.","77/B, 2nd Flr, Dhama Zedi Rd., Myae Ni Gone (South) Ward,",Sanchaung," 09264484475, 09450019209",Yangon Region,Equipment & Supplies
Sin Min Nyi Naung,"Rm D/29/30, Kyauk Pahtoe 1st St., Industrial Zone (3),",South Dagon," 095037143, 09965037143, 09798471374",Yangon Region,Equipment & Supplies
Shwe Yaung Tun,"D/27, Thiri Mon 2nd St., Thiri Mon Plaza,",Mayangone," 0943120248, 09259269427, 01528881",Yangon Region,Equipment & Supplies
Shwe Wah Myay Tun Lin,"D/15, Thiri Mon 2nd St., Thiri Mon Plaza,",Mayangone," 01686745, 09972951209, 01681087, 01680971, 0973183128, 09976834529",Yangon Region,Equipment & Supplies
"Shwe Nayar Co.,Ltd.","336, Mya Taung Wun Gyi U Hmo St., Shwe Linban Industrial Zone,",Hlaing Thar Yar," 095105112, 09795558890, 01613765, 01617122, 095138522, 09795558836",Yangon Region,Equipment & Supplies
"Shwe Tun Co.,Ltd.","34, Sabei St., Thiri Mon Plaza,",Mayangone," 01681479, 01683194, 01680942",Yangon Region,Equipment & Supplies
Shwe Nyi Ko,"117 Shed, Rm 1, Kyauk Sein 6th St., Sawbwargyi Gone Warehouses,",Insein," 09253634441, 09253634445, 09253634442, 09253634447, 09253634448",Yangon Region,Equipment & Supplies
"Shwe Na Yar Co.,Ltd.","D/37, Thiri Mon 2nd St., Thiri Mon Plaza,",Mayangone," 0973175678, 0973228856, 0943023450, 01617122, 0973156455, 01613765, 09795558890, 09795558860",Yangon Region,Equipment & Supplies
"Shwe Na Yar Co.,Ltd.","Thiri Mon 3rd St.,Thiri Mon Plaza",Mayangone," 0943023450, 095105112, 0973156455, 0973175678, 0973228856, 09421057256",Yangon Region,Equipment & Supplies
"Stihl Chain Saw Trading Co.,Ltd.","Bldg C, Rm 2, Shwe Ngu Wah St., Shwe Sabei Yeikmon,",Kamayut, 01503396~97,Yangon Region,Equipment & Supplies
"Star Tek Co.,Ltd.","Bldg C, Rm 1004, Maha Bandoola Rd., Maha Bandoola Housing Complex,",Pazundaung," 01202505, 01399909",Yangon Region,Equipment & Supplies
"Sonnenberg Trading Co.,Ltd. [SSCL] [Sonnenberg Group Co.,Ltd.]","12, Ayeyar Wun Rd., Ayeyar Wun Yeikthar, Ah Naw Mar Ward (1),",Thaketa," 095006520, 01551080, 09420020865",Yangon Region,Equipment & Supplies
"Soil Energy Co.,Ltd.","8, Thitsar Rd., Ward (13),",Yankin," 0973204466, 09428111115, 09428111116",Yangon Region,Equipment & Supplies
"Sky Mahar Co.,Ltd.","4/A, Parami Rd., Ward (10),",Mayangone," 09254250361, 01664662, 0973218672",Yangon Region,Equipment & Supplies
"Star Sapphire Trading Co.,Ltd.","Bldg C, Rm 201, 2nd Flr, New University Avenue Rd., University Avenue Housing,",Bahan, 01551536~8,Yangon Region,Equipment & Supplies
Soe Myint [Ko],"D/1/351, Pazundaung Set Hmu 1st St., Industrial Zone (3),",South Dagon, 095170153,Yangon Region,Equipment & Supplies
Standard,"Bldg 10, Rm 003, Bayint Naung Rd., Aye Yeik Mon Housing,",Hlaing," 0931418229, 09401603592, 095179275",Yangon Region,Equipment & Supplies
Star Sapphire Group Of Companies,"Bldg C, Rm 201, 2nd Flr, New University Avenue Rd., University Avenue Housing,",Bahan, 01551536~8,Yangon Region,Equipment & Supplies
Swel Zone Industrial Co-op Ltd.,"42/148, Mahaw Gani St., Industrial Zone (1),",Shwe Pyi Thar," 01610530, 095013435, 0931079056",Yangon Region,Equipment & Supplies
Swe Family,"Kha/36 Shed, Rm 14, Bayint Naung Market,",Mayangone," 09253899152, 095174435, 01682610, 0931041024",Yangon Region,Equipment & Supplies
Swan,"Pyi Htaung Su Rd., Township Law Office, Ward (64),",South Dagon," 09401563294, 09401563376",Yangon Region,Equipment & Supplies
"Sunrun Hydraulic Jack & Tools [Thiri Nay Chi Co.,Ltd.]","4/B/101, 2nd Flr, Parami Rd., Ward (10),",Mayangone," 095132814, 0949231501",Yangon Region,Equipment & Supplies
Sumitomo [SHI] Cyclo Drive Asia Pacific Pte Ltd.,"Bldg A, Rm 202, 3rd Flr, Lay Daunt Kan Rd., Min Ye Kyaw Swar Housing, (Za-Gwe/South) Ward,",Thingangyun," 09451110627, 09250003115",Yangon Region,Equipment & Supplies
Super,"D/25, Thiri Mon 2nd St., Thiri Mon Plaza,",Mayangone," 095017732, 01683037, 095020705, 01646206, 01683480, 01707194, 01641151 [Res]",Yangon Region,Equipment & Supplies
"Strength Business Group Co.,Ltd.","289/B, Byamaso Rd., Ward (6),",South Okkalapa ," 012333200, 09977919761, 0973242392",Yangon Region,Equipment & Supplies
Summation,"225, Than Lwin St., Industrial Zone (2),",South Dagon," 095056590, 095069058",Yangon Region,Equipment & Supplies
"Smart Mission Int'l Co.,Ltd.","18/25/27, Thiri Mon 5th St., Thiri Mon Plaza,",Mayangone," 095009317, 09795009317, 01297151 [Res], 01528898, 01680986, 09784162414",Yangon Region,Equipment & Supplies
"Strength Business Group Co.,Ltd.","289/B, Byamaso Rd., Ward (6),",South Okkalapa ," 012333200, 09977919761, 0973242392",Yangon Region,Equipment & Supplies
"Than Ohn [U] & Sons Co.,Ltd. [Showroom]","202/B, Parami Rd., Ward (5),",South Okkalapa ," 09796930616, 09796930617",Yangon Region,Equipment & Supplies
"Summit Goal Co.,Ltd.","Kha/47 Shed, Rm 9/10/11, Bayint Naung Market,",Mayangone," 01680890, 01682485, 01528880",Yangon Region,Equipment & Supplies
Than Myint,"B/86, Lawpita St., Industrial Zone (3),",South Dagon," 095104183, 01203376",Yangon Region,Equipment & Supplies
Than Lwin [U],"Kha/39 Shed, Rm 2, Bayint Naung Market,",Mayangone," 095412884, 01682661, 01682757, 09501409, 019317576",Yangon Region,Equipment & Supplies
Than Htay Aung,"D/32, Thiri Mon 1st St., Thiri Mon Plaza,",Mayangone," 095016674, 095082009, 01680969",Yangon Region,Equipment & Supplies
Thai-7,"D/7, Thiri Mon 2nd St., Thiri Mon Plaza,",Mayangone," 019688907, 09449250541, 09425330313",Yangon Region,Equipment & Supplies
Thamardi,"93 Shed, Rm 4, Pearl St., Sawbwargyi Gone Warehouses,",Insein," 095139266, 0973031732, 09448002126",Yangon Region,Equipment & Supplies
Tet Nay Tun,"386,U Wisara Rd.,Infront Of Mahar Myaing Housing,Ward (41)",North Dagon, 09791968845,Yangon Region,Equipment & Supplies
"SWL Generating Equipment Co.,Ltd.","11, Bayint Naung Rd., Ward (1),",Mayangone," 01681647, 09425331394, 0943049570",Yangon Region,Equipment & Supplies
"Takaung Thitsar Co.,Ltd.","Rm 507, 5th Flr, Shwe Gon Daing Rd., Yuzana Tower,",Bahan," 01552905, 095106046, 095407797, 09420159866",Yangon Region,Equipment & Supplies
Three Diamond,"D/1/59/60, Ma Lun 1st St., Industrial Zone (3),",South Dagon," 095043838, 09450024344, 09795043858, 09450394033",Yangon Region,Equipment & Supplies
"Thet Naing Trading Co.,Ltd.","Rm 12, Anawrahta Rd., Anawrahta Housing,",Pazundaung," 095193242, 019000340, 01292766, 0973022166",Yangon Region,Equipment & Supplies
Thit Lwin,"109 Shed, Rm 8, Pearl St., Sawbwargyi Gone Warehouses,",Insein," 019640043, 019640232, 019640254",Yangon Region,Equipment & Supplies
Thik Power Tools [S] Pte Ltd.,"Bldg S/H/B/5,Yadanar Rd.,Malikha Garden Housing",Thingangyun," 09797010024, 09799846552",Yangon Region,Equipment & Supplies
"Tharaphu Soe Myint Co.,Ltd.","D/40, Thiri Mon 1st St., Thiri Mon Plaza,",Mayangone," 01528538, 09450043188, 01681871, 01681086, 0943131489",Yangon Region,Equipment & Supplies
Thaung Lwin [U],"14/15, Kintar St., Industrial Zone (3),",South Dagon, 095100142,Yangon Region,Equipment & Supplies
Tharaphu,"D/15, Thiri Mon 2nd St., Thiri Mon Plaza,",Mayangone," 01681037, 09972246518, 095033783, 098628108, 01683510",Yangon Region,Equipment & Supplies
Than Tun [Ko],"51/53, Anawrahta Rd.,",Latha, 0943049766,Yangon Region,Equipment & Supplies
Thein Thein [Ma],"25, 25th St., Lower Middle Block,",Pabedan," 01377104, 095170703",Yangon Region,Equipment & Supplies
Than Phay [U],"65, Chin Dwin St., Industrial Zone (2),",South Dagon, 095168224,Yangon Region,Equipment & Supplies
"Top Family General Trading Co.,Ltd.","118, 1st Flr, 28th St., Upper Middle Block,",Pabedan," 01389013, 01241711, 095006197, 095167971",Yangon Region,Equipment & Supplies
"Tong Tah Co.,Ltd.","Bldg 3, Rm 004/005, Botahtaung Pagoda St., Anawrahta Housing,",Pazundaung," 01298128, 019000922, 019000923, 01295613, 01397388",Yangon Region,Equipment & Supplies
TMAC Machinery Trading,"Bldg C, Rm 012, Hnin Si St., Yuzana Highway Complex,",Kamayut," 09252920245, 0930361805",Yangon Region,Equipment & Supplies
"Top Family General Trading Co.,Ltd.","117, 28th St., Upper Middle Block,",Pabedan," 01389013, 01241711, 095006197, 095167971",Yangon Region,Equipment & Supplies
TKD Singapore Pte.Ltd.,"Bldg 9/6, Rm 14, Yan Nyein St., Yan Nyein Housing,",Yankin," 09796667883, 09450962128, 09796667880",Yangon Region,Equipment & Supplies
Tian Hone,"154,Chin Dwin St.,Industrial Zone (2)",South Dagon," 095196272, 0973116427",Yangon Region,Equipment & Supplies
Tin Soe Win,"23, Thiri Mon 3rd St., Thiri Mon Plaza,",Mayangone," 01528828, 095129066, 01383866, 019688614, 0973152263",Yangon Region,Equipment & Supplies
"Tonyco [Gasket] Co.,Ltd.","K/23-B, Nwe Thar Gi St., Bayint Naung Warehouses,",Mayangone," 01681313, 01681314, 0973085534, 09799681313, 09796665292, 09964681313",Yangon Region,Equipment & Supplies
"Thuta [Thuta Engineering & Trading Co.,Ltd.]","Bldg B/90, Rm 6, Kyan Sit Thar St., Nawaday Shop House,",Hlaing Thar Yar," 0973145983, 09253349947",Yangon Region,Equipment & Supplies
"Tin Tin Lay Export & Import Co.,Ltd.","Bldg C, Rm 201, 2nd Flr, Shwe Gon Plaza,",Bahan," 01544613, 0943202839",Yangon Region,Equipment & Supplies
"TWK Precision Technology Co.,Ltd.","153, Strand Rd., Industrial Zone,",Dagon Seikkan," 095124800, 0943147955, 09421168428",Yangon Region,Equipment & Supplies
"UMG Co.,Ltd.","1947/B, Yangon-Pathein Rd., Ward (5),",Hlaing Thar Yar," 01684688, 01684799",Yangon Region,Equipment & Supplies
"Tun Trading Co.,Ltd.","36, 27th St., Lower Middle Block,",Pabedan," 095195497, 0973190074, 09420047712",Yangon Region,Equipment & Supplies
Tun Family,"Thamaing Butar Yon Rd., Shwe Htee Housing,",Mayangone," 0973214000, 09261556637, 09972991318, 09254319040, 09777906657",Yangon Region,Equipment & Supplies
Tun Lin [U],"Ka Gyi/38 Shed, Rm 15, Bayint Naung Market,",Mayangone," 0973225921, 095158517, 01682702",Yangon Region,Equipment & Supplies
"Top Partner Co.,Ltd.","Bldg 49, Rm 11, 2nd Flr, Bahosi Housing,",Lanmadaw," 01210310, 0973097113, 0973218267",Yangon Region,Equipment & Supplies
UD,"230, Rm 2/3/4, Anawrahta Rd.,",Pazundaung," 01294881, 095152551, 095083567",Yangon Region,Equipment & Supplies
Tun,"Rm 5, No.(3) Main Rd., U.S.D.A Shop Room, Pearl Myoe Thit Ward (1),",Mingalardon," 09420054085, 0973062404",Yangon Region,Equipment & Supplies
Tun Family,"1080/A,Anawrahta Rd.,Ward (20)",Hlaing Thar Yar, 09420051141,Yangon Region,Equipment & Supplies
Tun,"D/26/28, Thiri Mon 1st St., Thiri Mon Plaza,",Mayangone," 095167014, 095167872, 01680968, 01681056, 01298927",Yangon Region,Equipment & Supplies
"Weifang Co.,Ltd.","Bldg B, Rm 010, Hnin Si St., Yuzana Highway Complex,",Kamayut," 09254386155, 095018207, 098614171",Yangon Region,Equipment & Supplies
Wan Wan,"14, 24th St., Lower Block,",Latha," 0947103249, 09402608268",Yangon Region,Equipment & Supplies
Vantage Land Machinery Showroom,"Bldg F/S/8, Bayint Naung Rd., Shwe Marlar Yeikmon,",Kamayut," 01515050, 095004810, 0973156785, 01515049",Yangon Region,Equipment & Supplies
"Wealth Champ Myanmar Co.,Ltd.","344, Mya Taung Wun Gyi U Hmo St., Shwe Linban Industrial Zone,",Hlaing Thar Yar," 01613828, 09968356915",Yangon Region,Equipment & Supplies
"Universal Tractor Co.,Ltd.","Yangon-Pathein Rd., Nawaday Garden Housing,",Hlaing Thar Yar," 095085217, 01685470, 095285218",Yangon Region,Equipment & Supplies
"Utracon Myanmar Co.,Ltd.","1334/A, Yadanar Rd., Ward (13),",South Okkalapa , 09250513089,Yangon Region,Equipment & Supplies
"United Forward Co.,Ltd.","17/19,Shwe Dagon Pagoda Rd.,Lower Block",Latha," 01372282, 01372756, 01372282, 095139384, 0973027853, 0933559885",Yangon Region,Equipment & Supplies
"Uni Smart Co.,Ltd","32, Pan Cherry St., Kha Yae Pin Yeik Mon Housing,",Mingalardon," 0943038937, 01636914, 0973084163",Yangon Region,Equipment & Supplies
Water World Ko Ko Naing,"16, Pyi Htaung Su Rd., Beside KBZ Bank, Ward (24),",South Dagon," 018100568, 018100569, 0973206739, 09251111099",Yangon Region,Equipment & Supplies
Yadanar Steel Group [YSG],"120/B, Amara St., Industrial Zone,",North Okkalapa ," 095000824, 0949570435, 09450055725, 01661962",Yangon Region,Equipment & Supplies
Yan Naing Lin,"308, Sein Pan Myaing St., Ward (7),",Hlaing Thar Yar," 01710221, 0973213567",Yangon Region,Equipment & Supplies
"Yadanar Moe Co.,Ltd.","Rm 502, 5th Flr, Lay Daunt Kan Rd., Zawana Tower,",Thingangyun," 018560858, 09254021038",Yangon Region,Equipment & Supplies
UMW Engineering Services Ltd.,"1944/B, Yangon-Pathein Rd., Ward (5),",Hlaing Thar Yar," 01684924, 01684925, 098634714, 098634715",Yangon Region,Equipment & Supplies
"Win Theingi Engineering Co.,Ltd.","145, 50th St., Upper Block,",Pazundaung," 01201227, 018610257",Yangon Region,Equipment & Supplies
World Of Power Tools Center,"114 Shed,Rm 14~17,Nilar St.,Sawbwargyi Gone Warehouses",Insein,,Yangon Region,Equipment & Supplies
Win Family,"7/8, Thiri Mon St., Thiri Mon Plaza,",Mayangone," 019688938, 01681115, 095002329, 095117054, 01682881",Yangon Region,Equipment & Supplies
"Yamin Shwesin Co.,Ltd.","Bldg A, Rm 1205, 12th Flr, Pyay Rd., Thiri Condo, 9 Mile,",Mayangone," 095055829, 095088152",Yangon Region,Equipment & Supplies
"ZBT Co.,Ltd.","Bldg C, Rm 2, Shwe Ngu Wah St., Shwe Sabei Yeikmon,",Kamayut, 01503396~97,Yangon Region,Equipment & Supplies
Zaw Gyi [Ko],"Bldg 1, Rm 3/4/5/6, Pyi Htaung Su Rd., Myoe Oo Yeikmon Housing,",South Dagon," 01591116, 01590272, 01590790, 095502223",Yangon Region,Equipment & Supplies
"Yunnan Machinery IMP & EXP Co.,Ltd.","Bldg 75/76, Bahosi Housing,",Lanmadaw," 01227203, 012314363",Yangon Region,Equipment & Supplies
Zaw Min Oo [Ko],"E Shed, Rm 33/45, 1st Flr, Thein Gyi Market,",Latha," 0931134706, 09795272681",Yangon Region,Equipment & Supplies
"Ywar Taw Int'l Trading Co.,Ltd.","42, 4th Flr, Pan Tra St., Corner of Min Kyaung St.,Pha Yar Gyi Ward,",Dagon," 01252510, 098617430, 01378829, 01252510, 0973249916",Yangon Region,Equipment & Supplies
"Zay Man Taing Trading Co.,Ltd.","37, 5th St., Mya Yamone Housing, Kyee Pwar Yay Ward,",Thingangyun," 095043843, 0943066512, 01566830, 0943066517, 098613484, 0949272860, 0936123555, 09421160212~3",Yangon Region,Equipment & Supplies
