name,street,contact,state,township,Category
Golden Lion,"2, Bagan Rd., Shwe Paukkan Ward (21),", 098627752,Yangon Region,North Okkalapa ,Equipment & Supplies
Fusion Fiber Glass,"137, Let Wel Thone Dara U Mya San St., East Dagon Industrial Zone (2),"," 0973192964, 0973159422, 0973201314",Yangon Region,South Dagon,Equipment & Supplies
Galaxy,"474, Set Hmu 6th St., East Dagon Industrial Zone (2),"," 09420114832, 09425023561",Yangon Region,South Dagon,Equipment & Supplies
Kaung San,"No.(3) Main Rd.,Near Nyaung Pin Bus Stop,Kyaung Gyi Ward"," 098530489, 09421005566, 09260600505",Yangon Region,Mingalardon,Equipment & Supplies
"K.K.K Fiber Glass Co.,Ltd.","82, Daw Thein Tin St., Corner of 88th St.,Kan Daw Kalay (North) Ward,"," 01387793, 01240308, 019190321, 095079406, 09420051513~4",Yangon Region,Mingalar Taung Nyunt,Equipment & Supplies
K.K.K Fiber Glass Ltd.,"106,Shukhin Thar Myo Patt Rd.,Near Mee Thway Shop Bus Stop,Ward (4-North)"," 019190321, 095079406, 09420051513~4, 01240308, 01387793",Yangon Region,Thaketa,Equipment & Supplies
Htet,"10,120th St.,Yae Twin Gone Ward", 09420017616,Yangon Region,Mingalar Taung Nyunt,Equipment & Supplies
Hlaing Family,"Rm A/5/6, Kyaikkasan Rd., Army Recruit Compound,"," 095106759, 09785106759, 09448002036",Yangon Region,Tarmwe,Equipment & Supplies
Hla Myint [U] [Family],"20/A, Anawrahta Rd.,"," 01201467, 095088006, 09450023716",Yangon Region,Pazundaung,Equipment & Supplies
Jit Tar [2],"57 Shed, Rm 3, Padamyar 3rd St., Sawbwargyi Gone Warehouses,"," 0973056524, 0949299580",Yangon Region,Insein,Equipment & Supplies
K.K.K,"Rm A/23, Kyaikkasan Rd., Army Recruit Compound,"," 0973055236, 09421093768",Yangon Region,Tarmwe,Equipment & Supplies
Htoo,"306, Thu Mingalar Rd., Ward (4),"," 0973107280, 09258260841, 09799599575",Yangon Region,South Okkalapa ,Equipment & Supplies
Lucky,"5, Kyaikkasan Rd., Army Recruit Compound, Tarmway Lay Ward,"," 09252149779, 09972780539",Yangon Region,Tarmwe,Equipment & Supplies
"Lucky Fibre [Four Diamonds Co.,Ltd.]","465,Kyaikkasan Rd.,Tarmway Gyee (Kha) Ward"," 01548194, 098616696, 0973177177",Yangon Region,Tarmwe,Equipment & Supplies
Lin Thura,"534, Lower Mingalardon Rd., Aung San Ward,"," 098636520, 0973216492",Yangon Region,Insein,Equipment & Supplies
Kyaw Gyi,"Bldg 16, Rm 1, Baho Rd., Wai Lu Wun Housing,"," 09450701235, 0943087181",Yangon Region,Sanchaung,Equipment & Supplies
Kyaw Zin Hein & Brothers,"32/A, Bo Aung Kyaw St., Ward (16),"," 09250438067, 09795395024",Yangon Region,Hlaing Thar Yar,Equipment & Supplies
Latt Yway Sin Trading,"16 Shed,Rm 1,Padamyar 7th St.,Sawbwargyi Gone Warehouses",,Yangon Region,Insein,Equipment & Supplies
"Kyi Kaung Co.,Ltd.","8, Tapin Shwe Htee St., Ward (10),", 09975725333,Yangon Region,East Dagon,Equipment & Supplies
Htay [Ko],"Rm 7, No.(3) Main Rd., U.S.D.A Shop Room, Pearl Myoe Thit Ward (1),", 0949325934,Yangon Region,Mingalardon,Equipment & Supplies
Kyaw Myint [U],"368, Thudhamar Rd., Sa Lone Ward,"," 09420772637, 0973007499",Yangon Region,North Okkalapa ,Equipment & Supplies
Kyaw Myint [Ko],"767, Thu Mingalar Rd., Ward (7),"," 09254150756, 09796318621",Yangon Region,South Okkalapa ,Equipment & Supplies
Kaung San,"Rm D/3/4, Kyaikkasan Rd., Army Recruit Compound,"," 095177240, 098530340",Yangon Region,Tarmwe,Equipment & Supplies
N.K.M [Kyaw Win],"10, 120th St., Corner of Bo Min Yaung Rd., Yae Twin Gone Ward,"," 01299989, 095181893",Yangon Region,Mingalar Taung Nyunt,Equipment & Supplies
Moe Thauk Kyal,"67, Chin Dwin St., Industrial Zone (2),"," 095193379, 09420187996, 0943205608",Yangon Region,South Dagon,Equipment & Supplies
Myint Oo [U],"Bldg B/10, Rm 001, G Flr, Shukhin Thar Myo Patt Rd., Shu Khinn Thar Housing,"," 09254498576, 09250680268",Yangon Region,Thaketa,Equipment & Supplies
Miba Myittar,"680/A, Khay Mar Thi Rd., Ka Ward,"," 095113143, 01692179",Yangon Region,North Okkalapa ,Equipment & Supplies
Miba Myittar,"68, 122th St., Yae Twin Gone Ward,"," 0973031009, 0973156834, 0931546562",Yangon Region,Mingalar Taung Nyunt,Equipment & Supplies
Lucky Thant Zin,"Rm 7/8, Than Thu Mar Rd., Construction Compound, Thuwana/25 Ward,"," 095092393, 09421007059",Yangon Region,Thingangyun,Equipment & Supplies
Miba Myittar,"44, Min Nandar Rd., Near Thadar Yon Bus Stop, Nwe Aye Ward,", 095045495,Yangon Region,Dawbon,Equipment & Supplies
Lucky Thant Zin,"Rm D/6,Kyaikkasan Rd.,Army Recruit Compound"," 095092393, 09421007059",Yangon Region,Tarmwe,Equipment & Supplies
Nagar Nyi Naung,"Bldg 4, Rm 002, Strand Rd., Thiri Mingalar Garden Housing,"," 01210124, 01210154, 09449002905",Yangon Region,Ahlone,Equipment & Supplies
Lucky Seven,"20/A, Anawrahta Rd.,"," 01291356, 095190160, 09420100786, 0949318574, 09425019332",Yangon Region,Pazundaung,Equipment & Supplies
Quality Business Group [Quality Fiber],"14, 1st Flr, Myaung Gyi St.,"," 01299298, 0943163133, 0973213838",Yangon Region,Pazundaung,Equipment & Supplies
"Patkol Myanmar Co.,Ltd.","Rm 808, 8th Flr, Bo Aung Kyaw St., MGW Centre,", 09979770500,Yangon Region,Botahtaung,Equipment & Supplies
Orient Marketing Co-op Ltd. [OMC][Head Office],"256, Bargayar Rd., Myae Ni Gone (South) Ward,"," 095003944, 01525890, 01504018, 098628199, 09254045388",Yangon Region,Sanchaung,Equipment & Supplies
Pwint Phyu,"71, Parami Rd., Ward (4),"," 01560991, 0930167467",Yangon Region,South Okkalapa ,Equipment & Supplies
Ni Ni Win [Daw],"17, Innwa St., Shwe Paukkan Ward (17),", 09420044787,Yangon Region,North Okkalapa ,Equipment & Supplies
Petroleum Engineering Group [PEG],"93, Nga Wun St., Industrial Zone (2),"," 092038404, 09420300937, 0943125925, 09448010561",Yangon Region,South Dagon,Equipment & Supplies
Parami,"8 Shed, Rm C/D, Kyauk Sein St., Sawbwargyi Gone Warehouses,"," 0973013134, 09450011969",Yangon Region,Insein,Equipment & Supplies
Nawarat Nan Taw,"18 Shed,Rm 2,Padamyar 6th St.,Sawbwargyi Gone Warehouses",,Yangon Region,Insein,Equipment & Supplies
Nway Moe Saung,"74/Hta Sin Htoo, Rm 7, Yarza Di Yit Rd., Corner of Anawrahta Rd.,Ward (9),"," 095021620, 0973159346",Yangon Region,East Dagon,Equipment & Supplies
Sein Thanmani,"Rm D/1/116, Ma Lun 2nd St., Industrial Zone (3),", 09420257519,Yangon Region,South Dagon,Equipment & Supplies
Seven Diamond,"1, Rm 2, Than Thu Mar Rd., Corner of Paw San Hmwe St.,Thuwana/29 Ward,"," 095170498, 09450027633, 09421140546",Yangon Region,Thingangyun,Equipment & Supplies
"Semas Myanmar Mfg Co.,Ltd.","145/A, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone,"," 01592348, 0973154055, 09448010707, 09448010675",Yangon Region,Dagon Seikkan,Equipment & Supplies
Sein Fiber,"Yadanar Pon Rd., East Dagon Extended Industrial Zone (2),"," 09780395828, 09262277751, 09254213329, 09798196406",Yangon Region,South Dagon,Equipment & Supplies
"Sein Family Co.,Ltd.","258, Bargayar Rd., Corner of Dhamar Yon St.,Myae Ni Gone (South) Ward,"," 01501812, 095117226, 01518166, 0973139830, 0943127398",Yangon Region,Sanchaung,Equipment & Supplies
"Quality Fiber Glass Co.,Ltd.","545,Pin Lon St.,Ward (26)"," 095045406, 095151063",Yangon Region,South Dagon,Equipment & Supplies
Royal,"87, Set Hmu Zone Rd., Industrial Zone (1),"," 01614151, 09260067474, 09261259998",Yangon Region,Shwe Pyi Thar,Equipment & Supplies
Ruby,"109 Shed, Rm 11, Pearl St., Sawbwargyi Gone Warehouses,"," 01647145, 0973043772",Yangon Region,Insein,Equipment & Supplies
Ruby,"693,Mya Theingar St.,Ward (26)"," 01703148, 012348358, 09785037730, 09783722453, 0973029964, 09785643772",Yangon Region,South Dagon,Equipment & Supplies
Seik Tine Kya,"343, Bogyoke St., Corner of Maha Bandoola St.,Ward (2),"," 09250290426, 09260154798",Yangon Region,Mayangone,Equipment & Supplies
"Singa Systems Co.,Ltd.","60/71, Hla Theingi St., Industrial Zone,", 09779727097,Yangon Region,Dagon Seikkan,Equipment & Supplies
Silver Lion,"28, Shwe Dagon Pagoda Rd., Lower Middle Block,"," 01378877, 0973032592, 09448001290, 09254134314",Yangon Region,Pabedan,Equipment & Supplies
Silver Lion,"Bldg 1/B, Rm 002, Strand Rd., Thiri Mingalar Garden Housing,"," 01223388, 01703262, 0973048500",Yangon Region,Ahlone,Equipment & Supplies
Snow,"1310, Set Hmu Zone Pat St., Industrial Zone (2),"," 095184076, 095070002, 01516772, 098586294",Yangon Region,South Dagon,Equipment & Supplies
Shwe Suri Family [2],"109/C, Thu Mingalar Rd., (Za-Gwe/North) Ward,"," 018550605, 018565524",Yangon Region,Thingangyun,Equipment & Supplies
Shwe Sin Pyan,"1232, Thitsar Rd., Corner of Thu Mingalar Rd.,Ward (6),"," 0943071086, 0943071121, 09778859880, 0973019868",Yangon Region,South Okkalapa ,Equipment & Supplies
Shwe Nan Myint,"20/A,No.(4) Main Rd.,Bone Shay Gone Village"," 095193321, 09260171506",Yangon Region,Shwe Pyi Thar,Equipment & Supplies
Shwe Zee Kwet,"1219, Thu Nandar Rd., Nga Ward,"," 095069529, 09794739065",Yangon Region,North Okkalapa ,Equipment & Supplies
Shwe Nyi Ko,"18,Pyay Rd.,Infront Of Popa Kyaung,Htauk Kyant (South) Ward"," 09450062055, 095172657, 01600438, 0930046562",Yangon Region,Mingalardon,Equipment & Supplies
"Silver Lion Co.,Ltd.","566, Strand Rd.,"," 01703262, 012300112, 0973048500, 01210889 [Res], 01223388 [Res]",Yangon Region,Lanmadaw,Equipment & Supplies
Super Star,"258, 6th St., Yangon Industrial Zone,"," 095108574, 098614635",Yangon Region,Mingalardon,Equipment & Supplies
Super Star,"Rm 12, Anawmar St., Corner of Anawmar 16th St.,Ah Naw Mar Ward (1),"," 095059082, 0973068867, 0973129948",Yangon Region,Thaketa,Equipment & Supplies
"Super Stainless Product Co.,Ltd. [Jan De Enterprise Co.,Ltd.] [Showroom]","T/3, Than Thu Mar Rd., Kamar Kyi Housing,"," 018550016, 01703059, 098616354, 01685795, 01684050, 01703270",Yangon Region,Thingangyun,Equipment & Supplies
Super Smile,"52/A, Thamain Bayan Rd., Ma Hlwa Gone Htay Kywe Ward,"," 095144466, 09450022218~9",Yangon Region,Tarmwe,Equipment & Supplies
"Sunlight Fibre Glass Co.,Ltd. [Minmahar Industry Co.,Ltd.]","Rm 7/8, Pyi Htaung Su Rd., Sabei Bldg, Ward (26),"," 01594415, 095015451, 0943159742",Yangon Region,South Dagon,Equipment & Supplies
Soe Win [Haji],"58 Shed, Rm 4, Padamyar 3rd St., Sawbwargyi Gone Warehouses,"," 0943111786, 09450001786, 01642895",Yangon Region,Insein,Equipment & Supplies
Sonha Myanmar Int'l Ltd.,"33/B, Dhamar Yone St., Bauk Htaw, Ward (15),", 095013413,Yangon Region,Yankin,Equipment & Supplies
Soe Win [Ko] & Brothers,"4/87, Than Thu Mar Rd., Kyee Pwar Yay Ward,"," 09420209666, 09252089077",Yangon Region,Thingangyun,Equipment & Supplies
Super Lucky Star,"8/10,120th St.,Yae Twin Gone Ward"," 0973068867, 09420043671, 0973022495, 0973179684",Yangon Region,Mingalar Taung Nyunt,Equipment & Supplies
Tun,"21/A, Rm 6, Tar Wa Tein Thar St., Upper Middle Block,"," 0931403958, 0931625825",Yangon Region,Pazundaung,Equipment & Supplies
"Super Stainless Product Co.,Ltd.","100, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone (1),"," 01684050, 01685795, 01703059, 01703270, 098616352",Yangon Region,Hlaing Thar Yar,Equipment & Supplies
Than,"Bldg 1, Rm 3, Bayint Naung Rd., Zeyar Mon Housing,", 01682338,Yangon Region,Mayangone,Equipment & Supplies
Taw Win Nan,"8/2 Shed, Rm C, Shwe Wah St., Sawbwargyi Gone Warehouses,"," 01642122, 0931129719, 0930253213",Yangon Region,Insein,Equipment & Supplies
Super Star,"Pa Sauk/70, Pyi Htaung Su Rd., Ward (38),"," 0973110848, 0930318650",Yangon Region,North Dagon,Equipment & Supplies
Than Oo Aung [U],"9, Kyaik Waing Pagoda Rd., Near Thamaing Junction, Ward (3),"," 09250663089, 09970136039",Yangon Region,Mayangone,Equipment & Supplies
Taw Win Nan,"4/4 Shed, Rm A, Padamyar St., Sawbwargyi Gone Warehouses,"," 01643550, 0931106860, 09254442912",Yangon Region,Insein,Equipment & Supplies
Tet Nay Min,"18 Shed, Rm 6, Padamyar 6th St., Sawbwargyi Gone Warehouses,"," 01644433, 0949786466, 09421020953",Yangon Region,Insein,Equipment & Supplies
Super Star [U Hla Maung Family],"33 Shed, Rm 1, Kyauk Sein 5th St., Sawbwargyi Gone Warehouses,"," 01644347, 098614635, 09977393800, 09261117862",Yangon Region,Insein,Equipment & Supplies
Tet Nay Win,"118/A, Yadanar St., Industrial Zone,"," 01665098, 095014871",Yangon Region,North Okkalapa ,Equipment & Supplies
"Top [Thit Yarzar Co.,Ltd.]","115/117,2nd Flr,16th St."," 01591311, 01395595, 0973177677, 098526168",Yangon Region,Lanmadaw,Equipment & Supplies
Zaw Win,"418, Lower Pazundaung Rd.,"," 0973034459, 0973232306",Yangon Region,Pazundaung,Equipment & Supplies
Yadanar Taung,"31, Set Hmu Zone Rd., Industrial Zone (1),"," 01610872, 01612621, 019640555, 019640999, 019640777",Yangon Region,Shwe Pyi Thar,Equipment & Supplies
Yadanar Pon Family,"229, Thudhamar Rd., Nya Ward,"," 0973174998, 09425328088, 09257777648, 09971082937",Yangon Region,North Okkalapa ,Equipment & Supplies
Yadanar Pon Family,"37 Shed, Rm 1/2, Kyauk Sein 3rd St., Sawbwargyi Gone Warehouses,"," 01642652, 01642122 Ext.400, 01642008, 0943129898, 095124125, 09640001 Ext.400",Yangon Region,Insein,Equipment & Supplies
Win Zaw [U],"313, Kyee Myin Daing Kannar Rd., Ma Gyee Dan (North-West) Ward,"," 01513926, 01525532",Yangon Region,Kyeemyin Daing,Equipment & Supplies
Win,"Rm 2, Thudhamar Rd., B.E.M.S (2) Shop Room, Hta Wun Bae Ward,", 0949452225,Yangon Region,North Okkalapa ,Equipment & Supplies
"Win & Hla Mfg Co.,Ltd.","271, 6th St., Yangon Industrial Zone,"," 09788031315~6, 09788031316",Yangon Region,Mingalardon,Equipment & Supplies
Wine,"Ayeyar Wun Rd., Near Co-operative Shop Room, Ward (10-North),"," 09254213431, 09450314229, 09250618681, 0973035811",Yangon Region,Thaketa,Equipment & Supplies
Win Lwin [Ko],"Pyi Htaung Su Rd.,Corner of Yauk Kaw St.,Ward (26)"," 095108425, 0943109210",Yangon Region,South Dagon,Equipment & Supplies
Zwe Tharaphu,"8 Shed, Rm 9, Pearl 4th St., Sawbwargyi Gone Warehouses,"," 095126341, 098640953, 09423717950",Yangon Region,Insein,Equipment & Supplies
"Advanced Palace Travels & Tours Co.,Ltd.","49, G Flr, 42nd St., Lower Block,"," 01373302, 01376755, 01376799, 095412661, 095036146",Yangon Region,Botahtaung,Travel
"Advanced Palace Travels & Tours Co.,Ltd.","49, G Flr, 42nd St., Lower Block,"," 01373302, 01376755, 01376799, 095412661, 095036146",Yangon Region,Botahtaung,Travel
Lashio Pann,"127, 2nd Flr, U Chit Maung Rd., Saya San (North-West) Ward,"," 095263600, 09261526677",Yangon Region,Bahan,Travel
Lashio Pann,"127, 2nd Flr, U Chit Maung Rd., Saya San (North-West) Ward,"," 095263600, 09261526677",Yangon Region,Bahan,Travel
"Than Than Travel Co.,Ltd.","Rm 1407, 14th Flr, Sakura Tower,"," 014412810, 014412811, 01704190, 09451753818, 09972740238",Yangon Region,Kyauktada,Travel
"Than Than Travel Co.,Ltd.","Rm 1407, 14th Flr, Sakura Tower,"," 014412810, 014412811, 01704190, 09451753818, 09972740238",Yangon Region,Kyauktada,Travel
"Than Than Travel Co.,Ltd.","181/187, Rm A/1, 2nd Flr, Pansoedan St., Middle Block,"," 01240625, 01392293",Yangon Region,Kyauktada,Travel
"Than Than Travel Co.,Ltd.","181/187, Rm A/1, 2nd Flr, Pansoedan St., Middle Block,"," 01240625, 01392293",Yangon Region,Kyauktada,Travel
"Myo Painting Group Co.,Ltd.","7/F, Lan Thit Rd., Infront Of Ah Lein Ngar Sint Pagoda, Nant Thar Gone Ward,"," 01646185, 01643604, 095154176",Yangon Region,Insein,Construction
Sandar Lin [Daw],"115/118/119, Kanaung 11st St., Shwe Pauk Kan Industrial Zone,"," 01696072, 0973026873, 095122848",Yangon Region,North Okkalapa ,Construction
Arkar Sann,"336, No.(4) Main Rd., Zee Kone Ward,"," 095107371, 09260817671, 01610823, 09795712092, 09254414274",Yangon Region,Shwe Pyi Thar,Construction
City House Development,"1080, Shukhin Thar Rd., Corner of 7th Zay St.,Ward (6-East),"," 095099224, 01541590, 0973111757",Yangon Region,Thaketa,Construction
Fuji,"13 Shed, Rm 1, Pearl 7th St., Sawbwargyi Gone Warehouses,"," 01647868, 01642580, 0973070755, 09253366255, 0973446688",Yangon Region,Insein,Construction
Khayan Thar,"Oakkar St., Near Than Lan, Ga Nge Ward,"," 09450049369, 09421081057",Yangon Region,North Okkalapa ,Construction
Mhan Hein Kyaw,"71/A, Waiza Yan Tar Rd., Ward (11),"," 01572913, 095160785",Yangon Region,South Okkalapa ,Construction
Nyein Chan Yay,"712, Si Pin Rd., Ward (25),"," 09421036304, 09979956802",Yangon Region,South Dagon,Construction
San Taw Chain,"2735, Pyi Htaung Su Rd., Industrial Zone (2),"," 01591299, 095016749",Yangon Region,South Dagon,Construction
Shwe Nant Thar Phyu,"154, Waiza Yan Tar Rd., Ward (11),"," 01579526, 01560819, 095107605",Yangon Region,South Okkalapa ,Construction
Khin Sann Win [Daw],"510, Than Din Su St., Pauk Taw Ward,"," 0949501609, 09421091129, 0931073829",Yangon Region,Insein,Apparel
Kyaw Nyein [U],"555, Thiri Yadanar 1st St., Pauk Taw Ward,", 0932181803,Yangon Region,Insein,Apparel
Hla Myaing [U],"509, Than Din Su St., Pauk Taw Ward,"," 01646063, 09421057719, 09420308699",Yangon Region,Insein,Apparel
Kan Win [U],"79, Khay Mar St., Kannar (Mid) Ward,"," 01644995, 095406233, 09259267622",Yangon Region,Insein,Apparel
Hla Myaing [Daw],"504, Than Din Su St., Pauk Taw Ward,"," 01647349, 0973174617",Yangon Region,Insein,Apparel
Aung Kyi [U],"112, Thiri Yadanar 2nd St., Pauk Taw Ward,", 0973059455,Yangon Region,Insein,Apparel
AKA,"512/A, Than Din Su St., Pauk Taw Ward,"," 095032424, 0973021289",Yangon Region,Insein,Apparel
Aye Aye Yi [Daw],"501,Than Din Su St.,Pauk Taw Ward", 09421091131,Yangon Region,Insein,Apparel
"Myanmar Int'l FAC System Co.,Ltd.","Rm 1104, Kyaikkasan Rd., Kan Taw Gyi Tower,"," 01553974, 01554967, 09252123345, 09263891934, 09254969260, 09263129241, 09975022314, 09263129240",Yangon Region,Tarmwe,Equipment & Supplies
"J & M Group [John & Maung Co.,Ltd.]","15, 3rd Flr, Tha Kywe St., Ma Hlwa Gone Htay Kywe Ward,"," 095174522, 0973090436",Yangon Region,Tarmwe,Construction
Myint Universe,"197, Rm 2, 1st Flr, 33rd St., Upper Block, Ward (1),", 01387305,Yangon Region,Kyauktada,Construction
"Myat Miba Co.,Ltd.","111, Yangon-Insein Rd., Near Thukha Bus Stop, Ward (9),"," 01516212, 012305384~6, 01706883",Yangon Region,Hlaing,Construction
Authentic Group of Companies,"F/4, 3rd Flr, Kaba Aye Pagoda Rd., Kaba Aye Villa Residence,"," 01655690, 01656050, 01651756, 01656020, 01656330",Yangon Region,Mayangone,Construction
National Engineering & Planning Services [NEPS],"880, Yadanar Rd., (Sa-Lein/Kha) Ward,"," 018562407, 095097528, 0973091654",Yangon Region,Thingangyun,Construction
"Multi Techno Power Engineering Co.,Ltd.","66, Bldg 4, Rm 1, Moe Kaung Rd., Ward (13),"," 018564366, 095111637, 095032203, 011222919",Yangon Region,Yankin,Construction
"Asia Win Trading Co.,Ltd.","170/176,Rm 704,7th Flr,Bo Aung Kyaw St.,MGW Centre"," 01256542, 095021767, 01256543, 098613244",Yangon Region,Botahtaung,Construction
"Sinma Furnishings Co.,Ltd.","63, Sat Saya U Htun St., Industrial Zone (4),"," 01618205, 01618754, 01618753",Yangon Region,Shwe Pyi Thar,Construction
VFS.Global Myanmar Ltd.,"Rm 305, 3rd Flr, Shwe Dagon Pagoda Rd., Prime Hill Business Square,"," 09791089461, 09791089462",Yangon Region,Dagon,Service
"UCE Solution Co.,Ltd.","14/3, Kha Yae Myaing St., Thuwana/23 (Su Paung) Ward,"," 01565236, 09255976232",Yangon Region,Thingangyun,Construction
"Authentic [ATT] Trading & Construction Co.,Ltd.","68, U Yay Paw St., Industrial Zone (2),"," 01687855, 01651756, 09421063672",Yangon Region,Hlaing Thar Yar,Construction
"Kyaw Thar Engineering & Construction Group Co.,Ltd.","15/B, U Tun Myat St., Nat Mauk Ward,"," 018604456, 018604455, 01543046",Yangon Region,Tarmwe,Construction
"Zaw Min & Brothers Trading Co.,Ltd.","65, 5th Flr, 28th St., Lower Middle Block,"," 01372731, 09450042520, 095670409",Yangon Region,Pabedan,Construction
Amazing K Media,"140, 2nd Flr, U Chit Maung Rd., Saya San (North-East) Ward,"," 09421076571, 0973228895",Yangon Region,Bahan,Equipment & Supplies
Always,"165, 34th St., Upper Block,"," 09420088471, 01709283, 0973139451, 09780079285",Yangon Region,Kyauktada,Equipment & Supplies
Amazing K,"140, U Chit Maung Rd., Saya San (North-East) Ward,"," 09421076571, 09791443724, 09451357788, 0973228895",Yangon Region,Bahan,Equipment & Supplies
Best Colour Printing,"182/202, 34th St., Upper Block,"," 09440100391, 09421158264",Yangon Region,Kyauktada,Equipment & Supplies
Arr Thit,"144, 38th St., Upper Block,"," 09264554012, 09972200721, 0943074063, 09787287640",Yangon Region,Kyauktada,Equipment & Supplies
G-8 Media Group,"118, 33rd St., Upper Middle Block,"," 0931293171, 0932219850, 09263335208, 09263661578",Yangon Region,Kyauktada,Equipment & Supplies
Double 7,"191, Banyar Dala St., Bamar Aye Ward,"," 09421005937, 09448043073",Yangon Region,Dawbon,Equipment & Supplies
Double-7,"167, G Flr, 34th St., Upper Block,"," 01243656, 0943123693",Yangon Region,Kyauktada,Equipment & Supplies
Htate Tan,"136, 34th St., Upper Middle Block,"," 01382901, 01385079, 01380263, 01398410, 019000811, 0932220022",Yangon Region,Kyauktada,Equipment & Supplies
Htut Myat,"165, 35th St., Upper Middle Block,"," 09793664211, 09450992690, 09450994684",Yangon Region,Kyauktada,Equipment & Supplies
Ingyin Pan,"166, 34th St., Upper Block,"," 09421034280, 09250155770, 0973134720",Yangon Region,Kyauktada,Equipment & Supplies
Golden Rays,"193/A, 33rd St., Upper Block,", 01381382,Yangon Region,Kyauktada,Equipment & Supplies
"Green Meadow Co.,Ltd.","108, 38th St., Lower Middle Block,"," 01249050, 0973049801",Yangon Region,Kyauktada,Equipment & Supplies
Mahar,"163, 34th St., Upper Block,"," 01377935, 09260400300, 09260400200, 0973204639",Yangon Region,Kyauktada,Equipment & Supplies
Kyaw Zay Digital Inkjet Printing,"22, Shukhin Thar St., Ngwe Kyar Yan Yeik Thar,"," 095146060, 018610862, 0973011720",Yangon Region,South Okkalapa ,Equipment & Supplies
Kaung Khant,"162, G Flr, 34th St., Upper Block,"," 01246042, 09260031221",Yangon Region,Kyauktada,Equipment & Supplies
My Media Group,"331, 1st Flr, Bo Aung Kyaw St., Upper Block,"," 09261873737, 09260909091, 09793909091",Yangon Region,Kyauktada,Equipment & Supplies
Myan Kaung,"137, 34th St., Upper Middle Block,", 01389300,Yangon Region,Kyauktada,Equipment & Supplies
Grand Media,"288, 1st Flr, Waiza Yan Tar Rd., 16/3 Ward,"," 09421036744, 095016580, 0943067028",Yangon Region,Thingangyun,Equipment & Supplies
"Cyber Web Media Co.,Ltd.","22/32,Bo Soon Pat St.,Lower Middle Block"," 01386677, 01384552, 0973206312",Yangon Region,Pabedan,Equipment & Supplies
Point,"Hlaw Gar Rd., Corner of Innwa St., Near (56) Bus Stop, Ward (57),"," 09253370004, 09976944084",Yangon Region,South Dagon,Equipment & Supplies
Publisher,"177/179, G Flr, 34th St., Upper Block,"," 0932210055, 0932210066, 0932210077, 095091388, 0932210044",Yangon Region,Kyauktada,Equipment & Supplies
"New Tech Co.,Ltd","398/B, 1st Flr, Banyar Dala Rd., Byine Ywar Ma Ward,"," 09421031078, 0943023607, 0931643051, 09420162356",Yangon Region,Tarmwe,Equipment & Supplies
Phyo Wai,"177/183, Rm 4, G Flr, 34th St., Upper Block,"," 01377369, 0973034753, 09263399336, 09421029793",Yangon Region,Kyauktada,Equipment & Supplies
Thiri Khaing,"118, 34th St., Upper Middle Block,"," 09421082240, 09262297481",Yangon Region,Kyauktada,Equipment & Supplies
The Creation,"71/A,156th St.,Tarmway Gyee (Ka/Ga-Nge) Ward"," 09421010694, 09253239925",Yangon Region,Tarmwe,Equipment & Supplies
Waing Sat,"80,1st Flr,56th St.,Upper Block"," 09450099610, 09450099620, 09450099630, 09780006484, 0973002179",Yangon Region,Pazundaung,Equipment & Supplies
Wai Hlyan Phyo,"172, 34th St., Upper Block,"," 09428194344, 09250500832, 09787004940",Yangon Region,Kyauktada,Equipment & Supplies
Tun Tauk Kyal,"160, 34th St., Upper Middle Block,"," 0943157216, 09797931926, 09428029021",Yangon Region,Kyauktada,Equipment & Supplies
Mars Printing,"942, Thudhamar Rd., Za Myin Zwel Ward,"," 09450062005, 095185492, 09792226047",Yangon Region,North Okkalapa ,Equipment & Supplies
Viriya,"96, Inya Rd., Ward (9),"," 0973241666, 095012075, 095021789",Yangon Region,Kamayut,Equipment & Supplies
"Xenon Co.,Ltd.","60/62, G Flr, 45th St., Lower Middle Block,"," 01297045, 01297606, 01398787, 01398844, 018610444, 018610455, 09428304444",Yangon Region,Botahtaung,Equipment & Supplies
AVSS [Australian Visa & Student Services],"127/A, 1st Flr, Shwe Gon Daing Rd., Infront Of Yuzana Hotel, Shwe Gon Daing (West) Ward,"," 095147227, 09450006944, 0973035503, 09450006955",Yangon Region,Bahan,Agency
"Libra Life Co.,Ltd.","233, 37th St., Upper Block,"," 01374030, 095060507, 095165027",Yangon Region,Kyauktada,Agency
Ellipia,"Bldg F, Rm 001, G Flr, Thu Mingalar Rd., Thazin Min Yeik Thar,"," 09261598004, 098760377, 09261645173",Yangon Region,Thingangyun,Equipment & Supplies
"VSK Int'l Co.,Ltd.","47/49, Phone Gyee St., Middle Block,"," 012303013, 012303014, 01224752, 01225648, 01215136, 01214085, 01216758, 01214009",Yangon Region,Lanmadaw,Home
"Super Shine Trading Co.,Ltd.","171,Bo Aung Kyaw St.,Lower Middle Block"," 01398495, 01398496~7",Yangon Region,Kyauktada,Home
"United Electrical & Electronics Co.,Ltd.","408/410, 1st Flr, Maha Bandoola Rd.,"," 01249585, 01249587, 01384153",Yangon Region,Kyauktada,Home
